sub_type,sub_type_cn,a_share_keywords,rank,code,name,market_cap_cny,market_cap_100m_cny,latest_price,change_pct,industry_boards,concept_boards,business_note,mapping_type
mapped_aapl,消费电子终端/生态链,消费电子终端/生态链;002475;000725;601138;立讯精密;京东方A;工业富联,1,601138,工业富联,1349596716235,13495.9672,68.01,-3.15,通信设备,,电子制造与AI服务器制造,直接/较接近映射
mapped_aapl,消费电子终端/生态链,消费电子终端/生态链;002475;000725;601138;立讯精密;京东方A;工业富联,2,002475,立讯精密,464928919559,4649.2892,63.53,-6.57,元器件,,苹果产业链与消费电子制造龙头,直接/较接近映射
mapped_aapl,消费电子终端/生态链,消费电子终端/生态链;002475;000725;601138;立讯精密;京东方A;工业富联,3,000725,京东方Ａ,279314233603,2793.1423,7.54,-3.21,元器件,,显示面板与消费电子显示,直接/较接近映射
mapped_abnb,在线旅游/住宿平台,在线旅游/住宿平台;601888;600754;600258;中国中免;锦江酒店;首旅酒店,1,601888,中国中免,111640013682,1116.4001,53.73,0.77,旅游服务,,旅游零售/免税龙头，旅行消费相关,近似映射
mapped_abnb,在线旅游/住宿平台,在线旅游/住宿平台;601888;600754;600258;中国中免;锦江酒店;首旅酒店,2,600754,锦江酒店,19854477027,198.5448,18.62,1.86,酒店餐饮,,酒店运营与管理,近似映射
mapped_abnb,在线旅游/住宿平台,在线旅游/住宿平台;601888;600754;600258;中国中免;锦江酒店;首旅酒店,3,600258,首旅酒店,12472456917,124.7246,11.17,1.92,酒店餐饮,,酒店运营及旅游消费场景,近似映射
mapped_adbe,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,1,688111,金山办公,98797740580,987.9774,212.92,6.44,软件服务,,办公软件、文档协作、AI办公，A股软件龙头,直接/较接近映射
mapped_adbe,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,2,002410,广联达,13380749170,133.8075,8.1,1,软件服务,,工程造价/建筑信息化软件，BIM相关,直接/较接近映射
mapped_adbe,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,3,688083,中望软件,10516370790,105.1637,61.99,7.27,软件服务,,CAD/CAE工业设计软件，国产设计软件代表,直接/较接近映射
mapped_adi,模拟芯片/混合信号芯片,模拟芯片/混合信号芯片;300661;688536;688052;圣邦股份;思瑞浦;纳芯微,1,300661,圣邦股份,85926074596,859.2607,126.99,-3.47,半导体,,模拟芯片设计,直接/较接近映射
mapped_adi,模拟芯片/混合信号芯片,模拟芯片/混合信号芯片;300661;688536;688052;圣邦股份;思瑞浦;纳芯微,2,688536,思瑞浦,45624281848,456.2428,330.43,-4.23,半导体,,高性能模拟芯片,直接/较接近映射
mapped_adi,模拟芯片/混合信号芯片,模拟芯片/混合信号芯片;300661;688536;688052;圣邦股份;思瑞浦;纳芯微,3,688052,纳芯微,41844635545,418.4464,257.31,-5.86,半导体,,传感器/信号链/汽车模拟芯片,直接/较接近映射
mapped_adp,企业服务/人力资源薪酬,企业服务/人力资源薪酬;600588;300662;603039;用友网络;科锐国际;泛微网络,1,600588,用友网络,30479616888,304.7962,8.92,1.94,软件服务,,企业管理软件/ERP,直接/较接近映射
mapped_adp,企业服务/人力资源薪酬,企业服务/人力资源薪酬;600588;300662;603039;用友网络;科锐国际;泛微网络,2,603039,泛微网络,10441272615,104.4127,33.94,4.27,软件服务,,协同办公/OA,直接/较接近映射
mapped_adp,企业服务/人力资源薪酬,企业服务/人力资源薪酬;600588;300662;603039;用友网络;科锐国际;泛微网络,3,300662,科锐国际,3389005502,33.8901,17.22,0.7,文教休闲,,人力资源服务,直接/较接近映射
mapped_adsk,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,1,688111,金山办公,98797740580,987.9774,212.92,6.44,软件服务,,办公软件、文档协作、AI办公，A股软件龙头,直接/较接近映射
mapped_adsk,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,2,002410,广联达,13380749170,133.8075,8.1,1,软件服务,,工程造价/建筑信息化软件，BIM相关,直接/较接近映射
mapped_adsk,创意设计软件/数字媒体工具,创意设计软件/数字媒体工具;688111;688083;002410;金山办公;中望软件;广联达,3,688083,中望软件,10516370790,105.1637,61.99,7.27,软件服务,,CAD/CAE工业设计软件，国产设计软件代表,直接/较接近映射
mapped_aep,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,1,600900,长江电力,656482281320,6564.8228,26.83,0.68,水力发电,,水电运营，A股公用事业市值龙头,直接/较接近映射
mapped_aep,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,2,601985,中国核电,186551778811,1865.5178,9.07,1.57,新型电力,,核电运营,直接/较接近映射
mapped_aep,公用事业/电力运营,公用事业/电力运营;600900;601985;600025;长江电力;中国核电;华能水电,3,600025,XD华能水,166934604543,1669.346,8.96,1.7,水力发电,,水电运营,直接/较接近映射
mapped_alny,创新药/生物技术,创新药/生物技术;600276;688235;603259;恒瑞医药;百济神州-U;药明康德,1,688235,百济神州,396653379062,3966.5338,257.33,10.87,生物制药,,肿瘤创新药研发与商业化,直接/较接近映射
mapped_alny,创新药/生物技术,创新药/生物技术;600276;688235;603259;恒瑞医药;百济神州-U;药明康德,2,603259,药明康德,375356650099,3753.5665,125.8,6.45,化学制药,,CXO与医药研发服务,直接/较接近映射
mapped_alny,创新药/生物技术,创新药/生物技术;600276;688235;603259;恒瑞医药;百济神州-U;药明康德,3,600276,恒瑞医药,352767173303,3527.6717,53.15,9.2,化学制药,,创新药与仿制药龙头,直接/较接近映射
mapped_amat,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,1,002371,北方华创,586407671844,5864.0767,808.07,-0.65,半导体,,刻蚀/薄膜沉积/清洗等半导体设备,直接/较接近映射
mapped_amat,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,2,688012,中微公司,405939326916,4059.3933,426.1,3.17,半导体,,刻蚀与MOCVD设备,直接/较接近映射
mapped_amat,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,3,688072,拓荆科技,235200585984,2352.0059,,,半导体,,薄膜沉积设备,直接/较接近映射
mapped_amd,CPU/GPU/AI加速芯片,CPU/GPU/AI加速芯片;688256;688041;300474;寒武纪-U;海光信息;景嘉微,1,688256,寒武纪,904729309501,9047.2931,1439.98,-1.24,半导体,,AI训练/推理芯片与智能计算加速卡,直接/较接近映射
mapped_amd,CPU/GPU/AI加速芯片,CPU/GPU/AI加速芯片;688256;688041;300474;寒武纪-U;海光信息;景嘉微,2,688041,海光信息,809009115953,8090.0912,348.06,0.92,半导体,,国产服务器CPU/DCU加速芯片,直接/较接近映射
mapped_amd,CPU/GPU/AI加速芯片,CPU/GPU/AI加速芯片;688256;688041;300474;寒武纪-U;海光信息;景嘉微,3,300474,景嘉微,27050770982,270.5077,51.76,-2.28,元器件,,图形处理芯片与军工GPU,直接/较接近映射
mapped_amgn,大药企/生物制药,大药企/生物制药;600276;600436;600196;恒瑞医药;片仔癀;复星医药,1,600276,恒瑞医药,352767173303,3527.6717,53.15,9.2,化学制药,,创新药龙头,直接/较接近映射
mapped_amgn,大药企/生物制药,大药企/生物制药;600276;600436;600196;恒瑞医药;片仔癀;复星医药,2,600436,片仔癀,68735929735,687.3593,113.93,5.49,中成药,,中成药与品牌药,直接/较接近映射
mapped_amgn,大药企/生物制药,大药企/生物制药;600276;600436;600196;恒瑞医药;片仔癀;复星医药,3,600196,复星医药,60485224211,604.8522,22.65,6.79,化学制药,,综合医药与创新药,直接/较接近映射
mapped_amzn,综合电商/云计算平台,综合电商/云计算平台;002230;000977;603613;科大讯飞;浪潮信息;国联股份,1,000977,浪潮信息,96023688470,960.2369,65.39,2.35,IT设备,,AI服务器与云基础设施,直接/较接近映射
mapped_amzn,综合电商/云计算平台,综合电商/云计算平台;002230;000977;603613;科大讯飞;浪潮信息;国联股份,2,002230,科大讯飞,94665966534,946.6597,39.41,0.74,软件服务,,AI平台与云化软件，近似映射云业务,直接/较接近映射
mapped_amzn,综合电商/云计算平台,综合电商/云计算平台;002230;000977;603613;科大讯飞;浪潮信息;国联股份,3,603613,国联股份,13178636600,131.7864,18.29,-2.09,互联网,,B2B电商平台，近似映射电商平台,直接/较接近映射
mapped_app,移动应用广告/应用变现平台,移动应用广告/应用变现平台;002555;300058;300418;三七互娱;蓝色光标;昆仑万维,1,300418,昆仑万维,50733170548,507.3317,39.48,1.88,互联网,,海外互联网平台与AI应用,直接/较接近映射
mapped_app,移动应用广告/应用变现平台,移动应用广告/应用变现平台;002555;300058;300418;三七互娱;蓝色光标;昆仑万维,2,300058,蓝色光标,46780582588,467.8058,13.03,-2.83,广告包装,,数字营销与广告服务,直接/较接近映射
mapped_app,移动应用广告/应用变现平台,移动应用广告/应用变现平台;002555;300058;300418;三七互娱;蓝色光标;昆仑万维,3,002555,三七互娱,41634313156,416.3431,18.82,2.23,互联网,,游戏发行与买量投放，近似映射,直接/较接近映射
mapped_arm,芯片IP/架构授权,芯片IP/架构授权;688521;688099;688110;芯原股份;晶晨股份;东芯股份,1,688521,芯原股份,181435510032,1814.3551,344.99,2.68,半导体,,半导体IP授权与芯片定制服务,直接/较接近映射
mapped_arm,芯片IP/架构授权,芯片IP/架构授权;688521;688099;688110;芯原股份;晶晨股份;东芯股份,2,688110,东芯股份,81300116918,813.0012,183.78,-3.54,半导体,,存储芯片设计，近似映射,直接/较接近映射
mapped_arm,芯片IP/架构授权,芯片IP/架构授权;688521;688099;688110;芯原股份;晶晨股份;东芯股份,3,688099,晶晨股份,40410126723,404.1013,95.46,-1.7,半导体,,SoC芯片设计,直接/较接近映射
mapped_asml,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,1,002371,北方华创,586407671844,5864.0767,808.07,-0.65,半导体,,刻蚀/薄膜沉积/清洗等半导体设备,近似映射
mapped_asml,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,2,688012,中微公司,405939326916,4059.3933,426.1,3.17,半导体,,刻蚀与MOCVD设备,近似映射
mapped_asml,半导体设备,半导体设备;002371;688012;688072;北方华创;中微公司;拓荆科技,3,688072,拓荆科技,235200585984,2352.0059,,,半导体,,薄膜沉积设备,近似映射
mapped_avgo,网络通信/交换路由设备,网络通信/交换路由设备;000938;000063;300308;紫光股份;中兴通讯;中际旭创,1,300308,中际旭创,1305950916957,13059.5092,1171.01,-6.61,通信设备,,光模块，AI网络基础设施,直接/较接近映射
