code,name,latest_price,change_pct,volume,turnover,market_cap_cny,float_market_cap_cny,pe_dynamic,pb,market_cap_100m_cny,float_market_cap_100m_cny,ts_code,area,industry,market,list_date,industry_boards,concept_boards,updated_at
601398,工商银行,7.25,1.4,3251401.0,2328982820.0,2583945363895.0,1954688540908.0,7.43,0.67,25839.45363895,19546.88540908,601398.SH,北京,银行,主板,20061027,银行,,2026-06-29 13:11:43
601939,建设银行,9.82,0.41,691393.0,672912418.0,2568915745927.0,94209717691.0,7.44,0.72,25689.15745927,942.09717691,601939.SH,北京,银行,主板,20070925,银行,,2026-06-29 13:11:43
601288,农业银行,6.26,1.13,3165761.0,1947461665.0,2190893792045.0,1998468759464.0,7.29,0.79,21908.93792045,19984.68759464,601288.SH,北京,银行,主板,20100715,银行,,2026-06-29 13:11:43
600941,中国移动,87.99,1.35,75049.0,651355858.0,1907571712036.0,79434544617.0,16.25,1.34,19075.71712036,794.34544617,600941.SH,北京,电信运营,主板,20220105,电信运营,,2026-06-29 13:11:43
601988,中国银行,5.79,0.52,2119281.0,1213479199.0,1865609864403.0,1220332330958.0,8.24,0.68,18656.09864403,12203.32330958,601988.SH,北京,银行,主板,20060705,银行,,2026-06-29 13:11:43
300750,宁德时代,388.9,2.07,309315.0,11993256311.66,1799295306413.0,1655551982356.0,21.69,5.51,17992.95306413,16555.51982356,300750.SZ,福建,电气设备,创业板,20180611,电气设备,,2026-06-29 13:11:43
601857,中国石油,8.95,0.22,1062561.0,946629496.0,1638037751471.0,1449202596471.0,8.47,1.04,16380.37751471,14492.02596471,601857.SH,北京,石油开采,主板,20071105,石油开采,,2026-06-29 13:11:43
600519,贵州茅台,1203.01,2.94,52026.0,6176106202.0,1503860666819.0,1503860666819.0,13.8,6.38,15038.60666819,15038.60666819,600519.SH,贵州,白酒,主板,20010827,白酒,,2026-06-29 13:11:43
601138,工业富联,68.01,-3.15,1512477.0,10434690722.0,1349596716235.0,1349596716235.0,31.85,7.66,13495.96716235,13495.96716235,601138.SH,深圳,通信设备,主板,20180608,通信设备,,2026-06-29 13:11:43
300308,中际旭创,1171.01,-6.61,256360.0,31022805817.42,1305950916957.0,1299750579436.0,56.93,37.7,13059.50916957,12997.50579436,300308.SZ,山东,通信设备,创业板,20120410,通信设备,,2026-06-29 13:11:43
