ticker,date,open,high,low,close,volume,vwap,transactions
ADBE,2024-06-17,525.51,525.94,505.38,518.74,7163820.0,515.8948,168099
ADBE,2024-06-18,514.71,530.37,513.13,522.25,4225943.0,523.217,95085
ADBE,2024-06-20,527.665,533.23,520.4,522.95,5752373.0,525.1599,96977
ADBE,2024-06-21,530.31,535.0,524.715,533.44,6614086.0,531.7105,96031
ADBE,2024-06-24,532.1,534.58,523.48,524.17,3067824.0,527.0112,76281
ADBE,2024-06-25,526.2,529.68,522.24,526.88,3144202.0,526.4423,61088
ADBE,2024-06-26,528.58,530.66,526.01,528.66,2931667.0,528.3431,56676
ADBE,2024-06-27,533.21,549.16,532.1,546.76,4734063.0,544.0886,110221
ADBE,2024-06-28,549.7,558.48,548.01,555.54,5084543.0,554.7829,105700
ADBE,2024-07-01,551.37,561.21,549.73,560.01,3070159.0,556.8512,81518
ADBE,2024-07-02,560.0,570.14,560.0,567.71,3054491.0,566.8251,67917
ADBE,2024-07-03,564.292,571.83,564.0001,570.15,1664373.0,567.9841,46200
ADBE,2024-07-05,570.91,580.55,568.92,578.34,2808635.0,576.3403,72449
ADBE,2024-07-08,573.18,576.745,563.92,575.4,3007422.0,572.0457,76621
ADBE,2024-07-09,573.05,575.01,562.46,566.02,2169020.0,566.5079,67993
ADBE,2024-07-10,564.71,566.93,558.21,564.55,2368443.0,563.8222,64258
ADBE,2024-07-11,564.0,572.62,557.09,557.63,3191358.0,560.7938,72033
ADBE,2024-07-12,555.1,562.49,552.315,559.05,2013985.0,558.7715,55263
ADBE,2024-07-15,560.23,568.23,560.23,565.71,1887763.0,564.6208,54855
ADBE,2024-07-16,564.6,570.1,562.08,566.54,1539875.0,565.9137,49090
ADBE,2024-07-17,563.93,565.0,556.46,563.09,2316265.0,562.226,65741
ADBE,2024-07-18,564.18,564.26,556.07,556.85,2184657.0,558.5708,55452
ADBE,2024-07-19,557.05,561.09,548.96,551.0,2601942.0,552.6838,51808
ADBE,2024-07-22,558.65,560.19,552.7074,554.82,2391696.0,555.5228,51599
ADBE,2024-07-23,556.49,557.249,544.44,546.01,2363881.0,548.2581,52012
ADBE,2024-07-24,543.8,544.71,530.35,531.04,2630081.0,533.7428,66070
ADBE,2024-07-25,536.8,542.28,527.59,532.15,2136496.0,535.1085,66988
ADBE,2024-07-26,535.35,545.4999,533.33,542.44,2090007.0,541.3787,54648
ADBE,2024-07-29,544.3,544.3,535.19,536.61,1590551.0,537.8865,49915
ADBE,2024-07-30,541.85,543.67,530.9501,538.71,1566875.0,538.0429,46610
ADBE,2024-07-31,547.05,555.55,543.77,551.65,2776002.0,551.8319,65445
ADBE,2024-08-01,549.99,561.98,540.24,546.41,2075410.0,547.5626,60897
ADBE,2024-08-02,535.78,536.84,519.68,526.17,2729113.0,526.0311,74255
ADBE,2024-08-05,504.23,515.9,500.0,509.32,3432155.0,508.1289,90519
ADBE,2024-08-06,513.69,519.16,509.01,514.2,2076327.0,515.0111,56585
ADBE,2024-08-07,520.95,531.005,512.86,513.62,1663682.0,520.1402,50302
ADBE,2024-08-08,520.59,531.07,519.56,530.24,2155115.0,528.0916,49090
ADBE,2024-08-09,528.02,537.28,528.02,536.3,1272635.0,534.8933,43839
ADBE,2024-08-12,536.04,538.08,525.77,530.93,1450410.0,530.1051,41989
ADBE,2024-08-13,530.93,537.72,527.9,535.22,3063918.0,533.5378,61882
ADBE,2024-08-14,536.62,542.9205,533.2,539.79,1915589.0,538.9688,45540
ADBE,2024-08-15,545.19,557.22,545.01,554.16,2182382.0,554.2021,56228
ADBE,2024-08-16,552.35,554.76,547.8,553.46,1541726.0,552.6717,43682
ADBE,2024-08-19,550.59,563.77,550.59,563.12,1423293.0,559.5681,43919
ADBE,2024-08-20,564.48,568.18,559.61,562.25,1219609.0,562.8871,39091
ADBE,2024-08-21,562.13,566.6,557.91,565.79,1401708.0,564.0496,38230
ADBE,2024-08-22,567.07,572.0,555.65,557.44,1627658.0,560.8636,47971
ADBE,2024-08-23,565.45,566.52,552.5,558.3,2023465.0,558.3679,42278
ADBE,2024-08-26,555.03,560.26,555.03,559.44,1387479.0,558.7383,35852
ADBE,2024-08-27,554.4,569.52,554.3439,567.82,1404415.0,565.5519,42440
ADBE,2024-08-28,568.22,569.59,557.67,560.54,1289699.0,561.9465,39914
ADBE,2024-08-29,567.05,578.4,567.05,569.63,1955588.0,572.5633,58861
ADBE,2024-08-30,572.2,575.65,568.2865,574.41,1982970.0,573.4728,48070
ADBE,2024-09-03,576.3,586.695,566.79,571.04,2757929.0,574.4265,73566
ADBE,2024-09-04,568.87,578.86,565.76,575.25,1615787.0,574.8257,51492
ADBE,2024-09-05,570.75,573.39,562.53,567.93,1573571.0,567.247,52982
ADBE,2024-09-06,570.9,573.31,558.0,563.41,2096790.0,563.5589,60002
ADBE,2024-09-09,567.69,574.57,564.44,569.88,1997121.0,569.6246,58007
ADBE,2024-09-10,576.75,577.8,567.14,574.48,2030076.0,572.7606,50117
ADBE,2024-09-11,573.01,581.24,559.35,580.38,2680977.0,573.42,67631
ADBE,2024-09-12,581.445,587.75,572.98,586.55,5605338.0,568.7063,148150
ADBE,2024-09-13,532.565,540.27,526.6,536.87,10423510.0,533.9299,231822
ADBE,2024-09-16,537.4,537.69,521.26,521.5,5248205.0,528.175,128244
ADBE,2024-09-17,524.29,527.0999,514.58,515.03,5164089.0,517.6115,110743
ADBE,2024-09-18,517.01,517.58,506.4901,508.13,3997267.0,509.6337,97960
ADBE,2024-09-19,518.81,527.48,518.02,526.44,3582532.0,523.4862,95115
ADBE,2024-09-20,526.44,528.625,515.72,522.3,6100685.0,521.8685,77432
ADBE,2024-09-23,525.71,532.0,524.955,527.87,2106995.0,528.5969,61019
ADBE,2024-09-24,527.72,530.2999,521.71,524.07,2842054.0,524.8209,56460
ADBE,2024-09-25,526.02,526.18,516.24,517.9,3211612.0,519.4439,70309
ADBE,2024-09-26,520.51,521.355,512.11,515.38,3282437.0,515.5234,80631
ADBE,2024-09-27,516.52,516.6799,512.3,515.48,2718323.0,514.897,61219
ADBE,2024-09-30,513.83,518.47,511.74,517.78,2588151.0,515.9441,58804
ADBE,2024-10-01,517.45,519.0,502.5,502.8,3730026.0,505.418,86625
ADBE,2024-10-02,503.87,510.19,502.8201,505.81,1981848.0,506.8015,51659
ADBE,2024-10-03,501.02,509.81,498.59,503.8,1921604.0,504.4954,53813
ADBE,2024-10-04,507.29,508.56,503.5901,507.22,1949994.0,506.5345,56446
ADBE,2024-10-07,503.96,504.87,486.4,487.3,4870534.0,492.1403,116085
ADBE,2024-10-08,492.45,500.0,486.4,496.24,3551609.0,495.1327,74838
ADBE,2024-10-09,495.88,495.88,492.32,494.08,2869417.0,493.8352,68572
ADBE,2024-10-10,490.54,506.45,489.35,503.57,2775102.0,501.6796,74294
ADBE,2024-10-11,504.78,507.9799,494.9,495.42,2992409.0,498.2768,80004
ADBE,2024-10-14,501.8,514.26,500.41,509.65,3411497.0,509.4664,85001
ADBE,2024-10-15,513.82,517.772,506.8,508.03,3605675.0,510.2295,82358
ADBE,2024-10-16,506.39,506.84,500.25,502.54,1859116.0,503.0201,60762
ADBE,2024-10-17,506.51,507.5,495.23,496.83,2769241.0,497.6952,62380
ADBE,2024-10-18,491.29,499.0,491.0501,494.9,2011121.0,495.6705,56196
ADBE,2024-10-21,494.6,500.6499,492.96,497.71,1679657.0,497.3958,52651
ADBE,2024-10-22,496.43,497.34,488.36,493.11,2388721.0,492.5627,64364
ADBE,2024-10-23,492.0,493.83,483.391,485.03,2021316.0,486.7018,65463
ADBE,2024-10-24,486.63,488.47,480.06,482.87,2100308.0,483.1353,62677
ADBE,2024-10-25,483.42,488.34,482.52,483.72,2426769.0,484.4953,57783
ADBE,2024-10-28,487.65,488.49,480.48,481.04,2302255.0,482.7574,55095
ADBE,2024-10-29,481.92,487.56,479.33,485.39,2089505.0,484.7979,59419
ADBE,2024-10-30,482.24,492.2,482.24,486.68,2728573.0,487.7436,61495
ADBE,2024-10-31,486.0,486.05,477.38,478.08,2978688.0,479.4053,73007
ADBE,2024-11-01,475.41,485.16,475.05,482.8,2852008.0,482.1153,65914
ADBE,2024-11-04,479.03,483.76,477.37,481.35,1955249.0,481.5113,55888
ADBE,2024-11-05,483.09,486.659,480.47,486.42,1588149.0,485.0259,45899
ADBE,2024-11-06,492.93,506.21,492.93,504.83,2969855.0,502.987,88098
ADBE,2024-11-07,510.655,510.655,495.3,500.92,2640295.0,500.3022,80956
ADBE,2024-11-08,503.83,505.0,493.69,494.68,2856859.0,495.6036,68689
ADBE,2024-11-11,493.6,507.72,493.6,504.48,3536599.0,503.2256,69400
ADBE,2024-11-12,504.39,528.91,504.27,526.42,4125288.0,523.8823,123685
ADBE,2024-11-13,523.79,539.92,520.59,532.5,3470174.0,532.6108,100165
ADBE,2024-11-14,530.55,534.6399,523.46,529.87,3098800.0,530.3104,73549
ADBE,2024-11-15,520.3,524.4999,498.81,503.37,4612417.0,506.2918,108308
ADBE,2024-11-18,505.0,505.51,497.69,499.51,2259651.0,499.9579,63032
ADBE,2024-11-19,496.0,502.41,495.46,499.61,1961731.0,499.7889,60081
ADBE,2024-11-20,505.41,506.36,494.61,499.5,1874910.0,498.2961,55401
ADBE,2024-11-21,502.1,508.57,493.1,504.44,2002094.0,502.9518,65925
ADBE,2024-11-22,502.5,513.37,502.5,512.15,2287614.0,510.8725,64280
ADBE,2024-11-25,519.09,523.2099,513.1935,518.73,3319992.0,518.116,69831
ADBE,2024-11-26,519.95,525.76,516.3601,525.3,2415735.0,522.5827,58984
ADBE,2024-11-27,523.21,525.88,508.7161,513.68,2324217.0,514.4771,63465
ADBE,2024-11-29,517.65,517.65,513.58,515.93,1450247.0,515.8791,33160
ADBE,2024-12-02,512.85,518.77,511.53,516.2,2007213.0,515.5749,56049
ADBE,2024-12-03,511.04,516.78,504.505,516.26,2119254.0,512.8365,59619
ADBE,2024-12-04,523.02,541.77,521.005,536.49,3307041.0,536.0568,90224
ADBE,2024-12-05,534.42,540.11,529.79,538.22,2629119.0,536.9982,70935
ADBE,2024-12-06,544.15,554.37,542.9,552.96,2964064.0,551.5651,85241
ADBE,2024-12-09,556.1,557.8999,546.1101,547.93,3588653.0,550.1236,95813
ADBE,2024-12-10,547.35,552.83,544.22,547.05,2762875.0,548.3374,74923
ADBE,2024-12-11,547.05,552.3,541.74,549.93,6690565.0,537.9364,173173
ADBE,2024-12-12,487.5,494.0,470.9001,474.63,17344864.0,482.6392,410042
ADBE,2024-12-13,473.98,474.91,456.8,465.69,11395512.0,463.3136,240481
ADBE,2024-12-16,467.19,473.62,461.2,461.53,5807021.0,465.4557,134163
ADBE,2024-12-17,460.59,465.856,452.48,455.23,7514489.0,456.9265,141237
ADBE,2024-12-18,453.24,455.25,441.1,441.31,6511105.0,448.14,133480
ADBE,2024-12-19,443.41,449.0,437.11,437.39,6479517.0,440.9564,120211
ADBE,2024-12-20,433.015,451.42,432.47,447.17,8220033.0,445.0008,103029
ADBE,2024-12-23,447.0,451.4299,443.4201,446.74,3781194.0,446.6379,83373
ADBE,2024-12-24,446.5,448.8653,442.5701,447.94,1685003.0,446.604,42194
ADBE,2024-12-26,445.85,452.34,444.68,450.16,2134310.0,450.0582,58928
ADBE,2024-12-27,446.88,449.91,441.105,446.48,2947179.0,445.0936,80661
ADBE,2024-12-30,442.94,447.6,438.57,445.8,3473172.0,444.4914,78214
ADBE,2024-12-31,446.35,448.4999,442.81,444.68,2285132.0,445.0326,61790
ADBE,2025-01-02,447.76,450.12,440.56,441.0,2507887.0,444.3466,77524
ADBE,2025-01-03,429.445,433.2982,425.32,430.57,5619372.0,430.6194,138684
ADBE,2025-01-06,431.88,436.4082,427.79,431.18,3994400.0,431.5639,107360
ADBE,2025-01-07,431.37,435.18,420.51,422.63,4181405.0,425.7499,111888
ADBE,2025-01-08,417.34,422.66,415.51,419.58,3508786.0,419.8799,86089
ADBE,2025-01-10,410.0,413.1,405.32,405.92,5564262.0,408.3872,135234
ADBE,2025-01-13,404.27,409.96,403.75,408.5,4558780.0,407.789,94158
ADBE,2025-01-14,407.25,412.75,405.0701,412.71,3577116.0,409.2836,81611
ADBE,2025-01-15,421.7,423.97,415.66,417.28,4345781.0,418.9936,92628
ADBE,2025-01-16,418.21,428.89,418.0,426.93,4185552.0,426.0997,92855
ADBE,2025-01-17,434.345,435.99,425.7,429.99,4012745.0,430.4981,89544
ADBE,2025-01-21,433.26,439.98,431.5,436.36,3833294.0,436.4249,86287
ADBE,2025-01-22,438.0,439.73,433.43,437.32,3391642.0,437.3455,76630
ADBE,2025-01-23,435.88,437.73,432.49,437.28,2716742.0,435.6863,68259
ADBE,2025-01-24,437.28,441.8799,434.73,435.38,2631804.0,436.8003,60817
ADBE,2025-01-27,430.23,445.4499,430.12,438.6,5086254.0,438.7653,117810
ADBE,2025-01-28,436.27,445.805,431.64,442.84,5376392.0,442.0871,98688
ADBE,2025-01-29,439.92,444.36,438.825,441.68,2997604.0,441.3168,70896
ADBE,2025-01-30,439.67,448.42,439.23,446.0,3290128.0,445.8374,78464
ADBE,2025-01-31,446.975,447.0095,435.83,437.45,4689083.0,439.067,99505
ADBE,2025-02-03,437.8,442.74,430.88,438.6,3348717.0,438.527,90958
ADBE,2025-02-04,435.43,443.58,434.26,440.23,2647701.0,440.411,63345
ADBE,2025-02-05,440.75,444.95,436.27,437.63,2938540.0,438.3597,70993
ADBE,2025-02-06,437.63,439.96,434.35,435.4,2568120.0,436.5102,58409
ADBE,2025-02-07,436.24,441.0,432.41,433.07,2693470.0,435.1863,63326
ADBE,2025-02-10,439.25,453.37,439.0,451.1,3946729.0,450.5952,90651
ADBE,2025-02-11,449.0,461.549,448.29,458.82,3256999.0,458.2614,84375
ADBE,2025-02-12,458.0,463.0,451.3,462.76,3308534.0,459.7891,76193
ADBE,2025-02-13,465.21,465.6999,457.03,459.22,2794395.0,459.8862,71690
ADBE,2025-02-14,463.35,464.99,458.0,460.16,2622973.0,460.4094,65455
ADBE,2025-02-18,462.65,464.33,453.07,464.11,2973775.0,460.4994,79761
ADBE,2025-02-19,463.61,463.61,455.32,456.99,2965546.0,457.3559,65758
ADBE,2025-02-20,457.44,461.0,451.57,454.69,2337598.0,454.6286,65546
ADBE,2025-02-21,453.275,453.75,440.69,444.32,3375996.0,446.2831,82316
ADBE,2025-02-24,445.11,446.28,440.91,444.42,2807937.0,444.2236,60599
ADBE,2025-02-25,443.47,447.49,439.1738,443.41,2612652.0,443.2516,67445
ADBE,2025-02-26,443.8,447.65,438.4,441.5,1947626.0,442.4372,56086
ADBE,2025-02-27,441.79,444.57,436.82,437.19,2340232.0,439.6174,61263
ADBE,2025-02-28,438.16,440.37,432.103,438.56,3936914.0,437.279,65927
ADBE,2025-03-03,440.65,448.09,438.21,440.72,2607694.0,442.5925,68990
ADBE,2025-03-04,439.25,448.8159,434.7,446.03,2942168.0,442.7971,80171
ADBE,2025-03-05,443.65,453.26,443.11,451.24,2406219.0,450.0381,57236
ADBE,2025-03-06,444.73,452.19,441.1861,444.78,2732076.0,445.8437,75926
