ticker,date,open,high,low,close,volume,vwap,transactions
ADSK,2024-06-17,235.0,242.82,230.6,240.51,5019817.0,238.751,89651
ADSK,2024-06-18,240.51,245.74,240.51,244.12,3377136.0,243.4182,54138
ADSK,2024-06-20,243.56,244.61,240.9,243.51,2763225.0,243.1809,47871
ADSK,2024-06-21,244.3,244.32,237.645,242.31,5677377.0,241.841,52416
ADSK,2024-06-24,239.67,241.84,239.0,239.17,2799030.0,240.0084,42603
ADSK,2024-06-25,240.89,243.07,240.12,242.53,2760667.0,242.1853,30201
ADSK,2024-06-26,240.49,245.3494,240.49,243.28,1717459.0,243.2348,26250
ADSK,2024-06-27,243.45,246.545,242.4025,243.68,1239495.0,244.2427,27783
ADSK,2024-06-28,243.04,248.1999,243.04,247.45,2851358.0,246.9871,51250
ADSK,2024-07-01,248.62,249.0,242.2811,245.83,1172639.0,245.1697,30199
ADSK,2024-07-02,245.84,248.95,245.77,247.86,1062737.0,247.5277,20742
ADSK,2024-07-03,248.17,248.31,245.48,246.3,907920.0,246.7489,19004
ADSK,2024-07-05,246.27,248.71,245.765,247.87,1344912.0,247.6974,22768
ADSK,2024-07-08,246.1,249.33,245.4,247.96,1230197.0,247.8021,21501
ADSK,2024-07-09,243.17,245.99,241.18,243.96,1709432.0,243.7989,29434
ADSK,2024-07-10,243.68,247.33,241.42,247.05,1666348.0,244.6812,24162
ADSK,2024-07-11,247.82,252.63,247.82,248.77,1268348.0,249.5591,30868
ADSK,2024-07-12,249.12,255.55,248.63,253.45,1130333.0,253.6121,24804
ADSK,2024-07-15,253.33,255.47,252.11,253.17,870302.0,253.6821,21107
ADSK,2024-07-16,254.8,256.05,252.34,253.82,835911.0,254.1298,21206
ADSK,2024-07-17,248.5,253.0,248.08,250.18,1239686.0,250.8266,28777
ADSK,2024-07-18,249.68,249.68,240.64,242.81,1399128.0,243.46,27907
ADSK,2024-07-19,242.95,243.54,239.62,242.45,1120472.0,241.9646,22756
ADSK,2024-07-22,245.48,245.79,242.9,245.26,712528.0,244.8301,16982
ADSK,2024-07-23,244.96,247.31,244.63,246.23,693924.0,246.2465,16174
ADSK,2024-07-24,244.59,245.23,239.01,239.45,1510935.0,240.2876,22503
ADSK,2024-07-25,240.17,245.65,239.66,242.23,1680251.0,242.3751,26661
ADSK,2024-07-26,243.8,245.3423,239.99,240.86,1267132.0,241.7443,21777
ADSK,2024-07-29,242.55,244.03,240.345,242.58,723502.0,242.252,19388
ADSK,2024-07-30,244.19,245.63,240.06,243.34,1141886.0,243.0104,23797
ADSK,2024-07-31,246.4,250.745,243.54,247.52,1289105.0,247.4993,22506
ADSK,2024-08-01,247.09,248.61,238.57,241.78,1299610.0,241.7541,25240
ADSK,2024-08-02,236.67,238.0,230.65,231.37,2812417.0,233.0845,39829
ADSK,2024-08-05,226.7,228.25,223.03,225.72,2341177.0,225.4428,39755
ADSK,2024-08-06,230.44,236.49,229.32,234.23,2183782.0,233.0239,34524
ADSK,2024-08-07,236.56,240.03,232.36,232.57,875724.0,234.6866,23217
ADSK,2024-08-08,236.17,239.4,233.43,239.29,911309.0,238.128,21170
ADSK,2024-08-09,238.16,242.28,237.84,240.44,876398.0,240.146,23435
ADSK,2024-08-12,240.17,241.7477,238.01,239.57,1000099.0,239.6342,17885
ADSK,2024-08-13,242.1,245.59,241.6,244.61,1088042.0,244.6302,23887
ADSK,2024-08-14,244.61,246.935,243.79,246.22,790843.0,245.8596,19060
ADSK,2024-08-15,248.18,250.5,247.22,250.21,933858.0,249.7546,22674
ADSK,2024-08-16,248.39,249.275,246.33,248.23,1075389.0,247.7013,22893
