ticker,date,open,high,low,close,volume,vwap,transactions
AEP,2024-06-17,87.4,88.6,86.89,87.75,1856118.0,87.8744,28864
AEP,2024-06-18,87.58,88.17,87.12,87.55,1825997.0,87.6759,27539
AEP,2024-06-20,87.37,88.57,87.28,87.88,3058242.0,87.9059,37569
AEP,2024-06-21,87.49,88.65,86.97,87.05,5915033.0,87.3648,44268
AEP,2024-06-24,87.55,88.46,87.16,88.14,3737393.0,87.9558,39881
AEP,2024-06-25,87.89,88.25,86.7,86.89,1702060.0,87.0681,27169
AEP,2024-06-26,86.5,87.34,85.93,87.16,1693681.0,86.8725,25045
AEP,2024-06-27,86.84,88.3575,86.84,88.3,3586224.0,87.9684,40838
AEP,2024-06-28,88.64,88.7499,87.5475,87.74,3685946.0,87.8326,41064
AEP,2024-07-01,88.22,88.84,87.0301,87.28,1427410.0,87.5254,26784
AEP,2024-07-02,87.51,88.0799,87.11,87.62,2007541.0,87.6119,24961
AEP,2024-07-03,87.72,88.67,87.48,87.56,1154376.0,87.7626,17998
AEP,2024-07-05,87.69,88.48,87.3,87.86,1260619.0,87.8441,20397
AEP,2024-07-08,87.9,87.91,87.0,87.11,2059146.0,87.2529,28700
AEP,2024-07-09,86.98,87.84,86.83,87.69,1994841.0,87.4712,34155
AEP,2024-07-10,88.0,88.295,87.51,88.25,1845487.0,88.1058,26542
AEP,2024-07-11,88.7,90.98,88.61,90.84,2692818.0,90.5221,45363
AEP,2024-07-12,91.25,91.8,90.62,90.96,2431778.0,91.2378,36097
AEP,2024-07-15,89.9,90.96,89.84,90.94,2678892.0,90.6067,35059
AEP,2024-07-16,91.58,92.01,91.18,91.85,1853288.0,91.7518,36481
AEP,2024-07-17,92.08,94.18,92.02,93.52,3277650.0,93.6811,55507
AEP,2024-07-18,93.25,94.72,93.06,93.49,1976758.0,93.702,31613
AEP,2024-07-19,93.81,93.81,92.58,93.14,2072893.0,93.1104,26637
AEP,2024-07-22,93.44,94.66,93.1,94.35,2754624.0,94.3131,36692
AEP,2024-07-23,94.2,94.24,93.35,93.64,3048857.0,93.7012,31411
AEP,2024-07-24,94.29,95.5746,93.78,95.02,2523419.0,95.0084,44386
AEP,2024-07-25,95.86,97.315,95.18,95.84,3340161.0,95.9516,50483
AEP,2024-07-26,96.35,96.85,95.8,96.45,2275133.0,96.4205,36880
AEP,2024-07-29,96.63,97.42,95.7,97.07,2356262.0,96.8245,37679
AEP,2024-07-30,96.01,98.18,96.0025,98.14,3979023.0,97.243,55422
AEP,2024-07-31,98.92,98.92,97.29,98.12,4727078.0,98.0869,48149
AEP,2024-08-01,98.39,101.37,98.01,101.24,4628685.0,100.5527,61447
AEP,2024-08-02,103.59,104.35,99.7201,101.79,4453719.0,101.3383,72953
AEP,2024-08-05,104.24,104.41,97.97,98.06,3951260.0,99.0186,63119
AEP,2024-08-06,97.28,99.42,97.22,98.29,4524593.0,98.4727,56470
AEP,2024-08-07,98.85,100.61,98.3563,99.57,4490093.0,99.7115,56085
AEP,2024-08-08,99.1,99.94,97.87,98.04,3077749.0,98.6348,47775
AEP,2024-08-09,97.43,97.95,96.11,97.53,3029748.0,97.2421,45907
AEP,2024-08-12,97.49,97.49,96.62,97.14,3129968.0,97.0377,43858
AEP,2024-08-13,97.53,98.37,97.48,98.13,2764080.0,98.0667,42482
AEP,2024-08-14,97.36,98.295,97.045,97.24,3292849.0,97.4408,45822
AEP,2024-08-15,96.98,97.18,96.17,96.56,3008658.0,96.5383,47994
AEP,2024-08-16,96.42,97.17,95.95,96.94,2978604.0,96.6731,45030
AEP,2024-08-19,97.18,97.74,96.73,97.54,1903922.0,97.4023,33134
AEP,2024-08-20,97.4,97.9,97.31,97.64,1802139.0,97.6347,29810
AEP,2024-08-21,97.99,98.74,97.64,98.01,2220024.0,98.1381,31593
AEP,2024-08-22,97.67,98.38,97.65,98.29,1974691.0,98.1266,33902
AEP,2024-08-23,98.56,99.21,98.03,98.25,3530580.0,98.4199,39726
AEP,2024-08-26,98.6,99.81,98.5,99.02,1720876.0,99.0542,31746
AEP,2024-08-27,99.02,99.42,98.2,98.54,2447207.0,98.6401,33439
AEP,2024-08-28,98.95,99.84,98.5,98.54,3244968.0,98.7503,33741
AEP,2024-08-29,98.67,99.79,98.09,99.75,2749675.0,99.3219,42263
AEP,2024-08-30,99.94,100.98,99.66,100.28,2892139.0,100.2633,37228
AEP,2024-09-03,100.19,101.99,99.995,101.57,3379890.0,101.3855,48968
AEP,2024-09-04,101.95,103.1005,101.56,102.43,2843893.0,102.3464,46404
AEP,2024-09-05,103.04,103.4,101.41,103.1,3209321.0,102.733,49365
AEP,2024-09-06,103.48,103.55,101.97,102.05,3659214.0,102.371,48080
AEP,2024-09-09,102.65,103.86,102.045,103.66,2538384.0,103.4619,47471
AEP,2024-09-10,104.1,104.41,102.73,103.23,2932038.0,103.4849,47447
AEP,2024-09-11,103.12,103.265,101.68,103.05,2429451.0,102.7009,44618
AEP,2024-09-12,102.77,103.4,102.26,102.99,2098125.0,102.8035,35660
AEP,2024-09-13,103.21,104.2,102.57,104.17,1425946.0,103.7556,31116
AEP,2024-09-16,104.32,105.18,104.04,104.95,2171964.0,104.8727,33033
AEP,2024-09-17,104.71,104.94,103.92,104.21,1724441.0,104.3182,31539
AEP,2024-09-18,104.15,104.36,102.55,103.22,1890229.0,103.408,40917
AEP,2024-09-19,102.27,102.84,101.275,101.74,4300371.0,102.1071,50285
AEP,2024-09-20,102.0,102.255,101.07,102.15,5395288.0,101.961,58204
AEP,2024-09-23,102.94,102.985,101.95,102.53,2720562.0,102.5041,37856
AEP,2024-09-24,101.84,103.02,101.28,101.41,3226896.0,101.7052,39747
AEP,2024-09-25,101.56,101.91,100.7899,101.15,2650123.0,101.1965,39613
AEP,2024-09-26,101.0,101.4,100.54,100.74,2436611.0,100.9008,38418
AEP,2024-09-27,101.24,102.14,101.0,101.84,2019138.0,101.7846,34248
AEP,2024-09-30,101.87,102.92,101.41,102.6,2890479.0,102.4947,40766
AEP,2024-10-01,102.28,102.9,101.67,102.22,2072225.0,102.2473,38533
AEP,2024-10-02,101.39,102.1924,101.2701,101.81,2580378.0,101.7375,34894
AEP,2024-10-03,101.95,102.45,101.235,101.37,3054304.0,101.6839,39022
AEP,2024-10-04,100.47,100.84,99.61,100.28,1900833.0,100.1923,36079
AEP,2024-10-07,99.63,99.78,97.68,98.06,2928891.0,98.1442,42843
AEP,2024-10-08,98.08,98.69,97.9,98.2,2194225.0,98.2496,37472
AEP,2024-10-09,98.04,98.49,97.41,97.72,1777061.0,97.8368,37049
AEP,2024-10-10,97.73,98.34,97.045,97.22,1669364.0,97.3881,31161
AEP,2024-10-11,97.3,98.37,97.26,98.25,1849142.0,98.1659,26966
AEP,2024-10-14,98.35,98.94,98.1601,98.79,2510985.0,98.7035,34330
AEP,2024-10-15,99.37,100.61,99.28,99.66,3174182.0,99.8246,48574
AEP,2024-10-16,100.1,101.7062,99.86,101.32,2695156.0,101.1404,38351
AEP,2024-10-17,101.75,101.815,100.57,100.91,2008881.0,100.96,33758
AEP,2024-10-18,100.83,100.84,99.76,100.69,3111829.0,100.4924,36838
AEP,2024-10-21,100.78,101.08,99.66,100.16,2548122.0,100.2214,35495
AEP,2024-10-22,99.67,100.25,99.21,99.89,1981777.0,99.8608,33871
AEP,2024-10-23,100.0,100.87,99.68,100.83,1863643.0,100.5755,35342
AEP,2024-10-24,101.29,101.43,99.18,99.39,2099418.0,99.7572,37427
AEP,2024-10-25,99.79,99.9,98.05,98.19,2338992.0,98.5691,38690
AEP,2024-10-28,98.85,99.33,98.56,99.11,2420510.0,99.0597,36602
AEP,2024-10-29,98.73,98.73,97.07,97.39,2660593.0,97.4685,42425
AEP,2024-10-30,97.39,97.85,96.6901,97.4,3362348.0,97.3108,37954
AEP,2024-10-31,97.45,99.34,97.26,98.75,4884891.0,98.7249,49324
AEP,2024-11-01,98.53,99.23,97.07,97.25,3807230.0,97.5888,44563
AEP,2024-11-04,96.75,98.44,96.6872,98.4,3879984.0,97.753,46885
AEP,2024-11-05,98.63,100.48,98.19,100.4,5926215.0,99.9154,58926
AEP,2024-11-06,99.13,100.0,96.18,96.25,6428236.0,97.2747,91492
AEP,2024-11-07,96.18,96.905,95.31,96.33,3510024.0,96.1683,53375
AEP,2024-11-08,95.87,97.15,95.59,96.4,2581086.0,96.4353,43441
AEP,2024-11-11,96.0,96.37,94.25,94.51,3411586.0,95.012,56583
AEP,2024-11-12,94.32,94.74,92.6,92.96,3484789.0,93.2066,52193
AEP,2024-11-13,93.05,93.47,92.51,93.33,2561491.0,93.1538,38807
AEP,2024-11-14,93.18,94.59,92.95,93.76,2571099.0,93.9667,43572
AEP,2024-11-15,94.12,96.44,93.805,96.31,5558396.0,95.9586,51696
AEP,2024-11-18,96.31,97.38,96.1,96.49,3399380.0,96.679,47539
AEP,2024-11-19,96.1,96.76,95.375,96.7,1879773.0,96.4206,32721
AEP,2024-11-20,96.25,96.859,95.9,96.8,2527616.0,96.5447,33396
AEP,2024-11-21,97.11,98.15,96.405,98.08,2849792.0,97.6204,38611
AEP,2024-11-22,98.19,98.523,97.5411,97.59,2048838.0,97.8728,36695
AEP,2024-11-25,97.89,98.5,97.1175,98.1,3384392.0,97.9718,36887
AEP,2024-11-26,98.73,99.47,98.31,99.33,2277618.0,99.1137,32655
AEP,2024-11-27,99.6,100.72,99.6,99.89,1558665.0,100.0526,30530
AEP,2024-11-29,99.93,100.28,99.3,99.86,1260574.0,99.8423,19348
AEP,2024-12-02,99.96,100.0,97.732,98.22,2188262.0,98.3945,35339
AEP,2024-12-03,98.9,98.9,97.01,97.02,1917910.0,97.4978,31810
AEP,2024-12-04,97.24,97.34,95.88,96.25,2832293.0,96.4482,39714
AEP,2024-12-05,96.35,97.98,96.21,97.45,2234706.0,97.4609,37959
AEP,2024-12-06,97.18,97.43,95.655,95.85,2677482.0,96.0794,38891
AEP,2024-12-09,95.85,96.86,95.3,95.58,2651122.0,95.9675,40268
AEP,2024-12-10,95.58,95.58,93.59,95.1,2045457.0,94.8956,36950
AEP,2024-12-11,95.21,95.21,93.235,93.63,2925563.0,93.6969,37076
AEP,2024-12-12,93.3,94.2,92.8,92.85,1983938.0,93.2611,33626
AEP,2024-12-13,92.56,93.38,92.165,92.71,1810496.0,92.8498,34257
AEP,2024-12-16,92.71,92.86,91.7,91.77,2410693.0,92.0689,37462
AEP,2024-12-17,91.47,93.04,91.2947,91.92,2749285.0,92.1367,39045
AEP,2024-12-18,91.83,92.245,90.8574,90.91,3451294.0,91.3528,42090
AEP,2024-12-19,90.55,92.03,90.42,91.24,3148135.0,91.4153,44719
AEP,2024-12-20,91.84,93.07,91.225,92.75,6781854.0,92.4845,41565
AEP,2024-12-23,92.47,92.98,91.59,92.86,2282491.0,92.6063,30680
AEP,2024-12-24,92.55,93.11,92.25,92.37,1404390.0,92.5207,22750
AEP,2024-12-26,92.05,92.56,91.8,92.06,2066494.0,92.1367,30562
AEP,2024-12-27,91.62,92.66,91.31,92.51,1722698.0,92.4284,30043
AEP,2024-12-30,92.59,92.64,91.23,92.06,1661240.0,91.9592,32190
AEP,2024-12-31,92.18,92.4799,91.5,92.23,1594689.0,92.089,26821
AEP,2025-01-02,92.57,93.23,91.59,91.94,1758243.0,92.0751,35045
AEP,2025-01-03,92.4,93.06,92.025,92.05,1688550.0,92.3473,27765
AEP,2025-01-06,92.05,92.05,90.01,90.32,3457335.0,90.5121,53705
AEP,2025-01-07,90.1,91.9099,90.1,90.47,2706061.0,90.773,41926
AEP,2025-01-08,90.25,92.35,89.91,92.26,2591652.0,91.7098,34184
AEP,2025-01-10,93.15,94.67,92.67,93.51,7730952.0,93.6086,86719
AEP,2025-01-13,95.15,95.92,92.76,94.54,6013945.0,94.1682,66336
AEP,2025-01-14,93.67,94.54,93.43,94.5,3172362.0,94.2164,43184
AEP,2025-01-15,95.38,95.61,94.53,95.12,3104703.0,95.1105,35441
AEP,2025-01-16,94.88,96.85,94.7,96.82,2456586.0,96.4045,35604
AEP,2025-01-17,97.64,97.975,96.8,97.25,2728874.0,97.4316,35939
AEP,2025-01-21,98.0,98.73,97.595,97.81,2439941.0,97.9774,41565
AEP,2025-01-22,97.58,98.13,96.85,97.49,3503993.0,97.5859,44040
AEP,2025-01-23,98.29,99.5,97.38,97.47,4428051.0,98.1629,58806
AEP,2025-01-24,97.08,98.5,97.05,98.18,2140389.0,98.1004,33137
AEP,2025-01-27,99.34,103.05,98.16,102.63,5428327.0,101.2675,98337
AEP,2025-01-28,102.47,102.47,99.75,100.0,3524295.0,100.4377,61475
AEP,2025-01-29,100.03,100.73,97.355,98.05,3345809.0,98.2961,57188
AEP,2025-01-30,98.55,99.15,97.56,98.03,3590720.0,98.0846,47850
AEP,2025-01-31,97.84,99.0529,97.52,98.36,4913005.0,98.4247,50552
AEP,2025-02-03,98.36,99.685,97.32,99.36,2659345.0,99.1436,43040
AEP,2025-02-04,98.52,99.065,97.8,97.88,2126457.0,98.2307,34936
AEP,2025-02-05,98.67,99.89,98.4,99.39,2280543.0,99.0882,36524
AEP,2025-02-06,99.64,100.665,98.87,100.17,3152592.0,100.0516,47759
AEP,2025-02-07,100.14,100.435,99.41,100.35,2861565.0,100.1972,39160
AEP,2025-02-10,99.76,100.955,99.11,100.83,2473838.0,100.4841,38510
AEP,2025-02-11,100.59,102.11,99.47,101.88,3165950.0,101.287,47524
AEP,2025-02-12,100.73,102.52,100.595,102.35,3163014.0,102.0329,50657
AEP,2025-02-13,101.37,102.57,100.32,100.99,4938973.0,101.1763,73034
AEP,2025-02-14,101.21,102.915,100.84,101.83,2770900.0,101.9933,44298
AEP,2025-02-18,101.29,103.24,101.0,102.2,3146403.0,102.2496,52363
AEP,2025-02-19,102.67,103.16,101.715,103.09,2510807.0,102.7679,42416
AEP,2025-02-20,102.97,104.65,102.195,104.35,2702099.0,104.0548,45332
AEP,2025-02-21,104.35,105.73,104.06,105.33,4001985.0,105.1945,53998
AEP,2025-02-24,105.87,107.36,105.21,106.29,3074950.0,106.3647,56183
AEP,2025-02-25,106.7,107.84,105.97,107.64,3408687.0,107.1345,52555
AEP,2025-02-26,107.23,107.51,106.37,106.89,2446487.0,107.0171,41936
AEP,2025-02-27,106.2,106.78,104.8,105.16,3661302.0,105.4144,57050
AEP,2025-02-28,106.1,107.11,104.6601,106.05,4391030.0,105.7521,55824
AEP,2025-03-03,105.85,107.82,105.69,107.7,3451963.0,107.1374,54206
AEP,2025-03-04,108.53,109.52,105.14,105.24,5609604.0,107.056,78167
AEP,2025-03-05,104.5,105.46,103.19,103.39,3665626.0,103.7878,54300
AEP,2025-03-06,103.3,103.31,101.42,102.59,3031045.0,102.4904,57378
AEP,2025-03-07,102.84,104.875,102.675,104.62,4042360.0,104.394,54493
AEP,2025-03-10,104.91,108.67,104.91,107.32,5535443.0,107.2802,91407
AEP,2025-03-11,107.67,107.99,104.39,104.43,4282726.0,104.9626,64674
AEP,2025-03-12,102.875,103.79,102.35,102.96,3284601.0,102.9855,54513
AEP,2025-03-13,102.81,104.29,102.695,104.24,1909589.0,103.9075,36519
AEP,2025-03-14,104.06,105.95,103.59,105.56,4419415.0,105.1909,51057
AEP,2025-03-17,105.67,106.83,105.1324,105.86,5577081.0,106.0417,55369
AEP,2025-03-18,106.29,106.49,105.38,105.99,2757770.0,105.9381,48315
AEP,2025-03-19,105.85,106.3,105.14,105.84,2786985.0,105.7063,48258
AEP,2025-03-20,105.8,106.59,105.55,106.21,2946596.0,106.0592,48053
AEP,2025-03-21,106.14,106.65,104.4,105.11,5649258.0,105.2297,44630
AEP,2025-03-24,105.25,105.69,104.025,104.18,2619410.0,104.4036,43513
AEP,2025-03-25,103.0,103.0,101.96,102.5,24651799.0,102.4909,135397
