ticker,date,open,high,low,close,volume,vwap,transactions
ALNY,2024-06-17,159.78,165.47,156.51,157.3,777709.0,158.9604,20254
ALNY,2024-06-18,157.3,157.32,152.3,153.86,587748.0,154.2787,15518
ALNY,2024-06-20,154.2,158.27,153.23,157.4,793732.0,156.3487,16593
ALNY,2024-06-21,160.81,166.76,158.38,165.7,2204886.0,164.5295,26109
ALNY,2024-06-24,219.37,231.64,209.23,222.9,9193815.0,222.7533,115932
ALNY,2024-06-25,221.37,242.0,220.5,240.15,4502539.0,235.9393,67417
ALNY,2024-06-26,237.7,249.33,236.5,245.17,2854588.0,244.6373,37584
ALNY,2024-06-27,244.99,252.87,242.57,247.0,2617418.0,247.8926,37928
ALNY,2024-06-28,249.12,249.31,241.0,243.0,3246490.0,243.5856,29678
ALNY,2024-07-01,240.0,246.06,239.85,243.32,1491693.0,243.6375,25274
ALNY,2024-07-02,243.0,250.11,242.075,247.61,1579313.0,247.2528,27039
ALNY,2024-07-03,247.3,249.67,245.48,248.68,950141.0,247.301,11737
ALNY,2024-07-05,246.95,252.48,246.95,251.03,685719.0,250.1713,14657
ALNY,2024-07-08,252.83,255.4,248.3,255.11,936733.0,253.8638,17031
ALNY,2024-07-09,254.6,256.24,253.0,254.74,890605.0,254.9644,18218
ALNY,2024-07-10,256.0,257.97,253.82,257.76,926832.0,256.4592,15477
ALNY,2024-07-11,258.12,262.82,257.03,261.02,889810.0,260.5523,19371
ALNY,2024-07-12,261.65,263.73,258.795,260.51,1039655.0,262.1383,21741
ALNY,2024-07-15,259.74,260.62,255.39,256.18,800032.0,257.5865,19143
ALNY,2024-07-16,258.0,260.9,249.3,249.83,1134387.0,253.9121,25814
ALNY,2024-07-17,245.17,246.97,239.14,240.02,1172523.0,241.7536,24912
ALNY,2024-07-18,240.65,242.07,232.47,236.7,892886.0,236.1089,20601
ALNY,2024-07-19,238.16,240.91,235.3,237.83,878604.0,238.2099,15106
ALNY,2024-07-22,239.6,240.64,234.16,235.59,537400.0,236.1981,14947
ALNY,2024-07-23,236.12,238.53,231.01,234.29,745979.0,235.1683,15346
ALNY,2024-07-24,233.11,240.24,233.11,236.48,622806.0,237.4296,14826
ALNY,2024-07-25,235.99,242.98,235.48,237.88,615688.0,239.1274,13796
ALNY,2024-07-26,237.2,240.31,233.42,234.84,524476.0,235.3565,13193
ALNY,2024-07-29,235.33,237.02,233.72,236.28,455963.0,235.8723,12554
ALNY,2024-07-30,236.91,238.105,232.2,233.81,529837.0,233.8324,13599
ALNY,2024-07-31,236.29,239.745,234.08,237.46,874657.0,237.6536,16418
ALNY,2024-08-01,250.0,271.005,245.1691,268.61,2420035.0,263.2857,38289
ALNY,2024-08-02,260.18,274.93,258.09,272.05,1714383.0,268.2675,30603
ALNY,2024-08-05,256.0,265.97,252.52,265.0,1362524.0,261.4638,24328
ALNY,2024-08-06,266.66,266.66,258.56,262.56,1350033.0,262.3943,22790
ALNY,2024-08-07,266.39,269.55,259.95,260.17,1160005.0,262.9525,19216
ALNY,2024-08-08,262.86,271.82,261.795,270.46,829778.0,268.9612,16848
ALNY,2024-08-09,270.09,270.53,265.28,269.52,529266.0,268.277,13495
ALNY,2024-08-12,269.52,274.88,267.6219,270.18,492954.0,271.1087,12336
ALNY,2024-08-13,268.46,271.7345,266.04,267.63,477260.0,268.0206,13669
ALNY,2024-08-14,267.48,267.55,262.69,262.89,808583.0,264.0494,14779
ALNY,2024-08-15,262.88,265.51,258.78,262.7,486806.0,262.0047,13589
ALNY,2024-08-16,266.33,272.7,261.92,268.24,846013.0,267.3414,19227
ALNY,2024-08-19,269.27,274.9,268.4375,274.48,558603.0,273.2357,14563
ALNY,2024-08-20,274.92,282.68,274.6,280.76,1052628.0,279.5203,21914
ALNY,2024-08-21,279.14,285.0,275.66,279.17,663687.0,279.3669,17815
ALNY,2024-08-22,279.17,280.17,272.0,277.33,528622.0,275.5381,11945
ALNY,2024-08-23,278.21,280.0,271.19,272.64,359258.0,273.1739,10471
ALNY,2024-08-26,274.71,275.0,268.42,269.14,622577.0,270.6306,15493
ALNY,2024-08-27,268.29,282.535,265.1,280.26,1193057.0,273.5678,18894
ALNY,2024-08-28,280.0,286.0,274.0,280.7,993929.0,282.9977,18979
ALNY,2024-08-29,279.41,287.5499,279.41,287.01,1261089.0,285.6678,19551
ALNY,2024-08-30,266.0,273.24,256.91,262.69,3762558.0,263.1259,61270
ALNY,2024-09-03,260.44,263.095,252.76,253.78,1621244.0,256.3798,30669
ALNY,2024-09-04,253.51,255.155,248.1801,253.14,1008460.0,252.5806,20668
ALNY,2024-09-05,251.86,255.24,249.95,251.48,508886.0,252.2952,13281
ALNY,2024-09-06,252.35,253.44,244.88,246.78,682407.0,247.1925,15536
ALNY,2024-09-09,246.65,255.48,246.65,253.16,865552.0,253.6565,20165
ALNY,2024-09-10,251.13,257.0,249.893,256.21,599701.0,254.6334,13709
ALNY,2024-09-11,256.75,263.65,256.11,261.91,652248.0,260.8947,17773
ALNY,2024-09-12,260.42,266.8,259.99,261.73,530020.0,262.9925,15342
ALNY,2024-09-13,261.0,265.52,259.006,265.27,437667.0,264.197,11728
ALNY,2024-09-16,266.66,271.1648,264.37,270.37,485831.0,269.2259,12932
ALNY,2024-09-17,271.21,274.5699,270.24,274.46,758137.0,272.8992,15530
ALNY,2024-09-18,275.55,277.585,271.38,273.15,655928.0,273.7308,14936
ALNY,2024-09-19,276.53,279.85,273.53,276.33,603885.0,276.5177,16091
ALNY,2024-09-20,275.39,275.39,270.17,273.88,907221.0,273.5959,12809
ALNY,2024-09-23,275.22,275.74,270.97,271.83,571383.0,272.9472,14220
ALNY,2024-09-24,271.56,271.6594,267.13,271.0,489552.0,270.227,12662
ALNY,2024-09-25,271.61,275.1099,268.3375,272.73,680094.0,272.2532,14472
ALNY,2024-09-26,271.84,278.24,270.835,274.57,548760.0,274.3468,15464
ALNY,2024-09-27,275.5,276.07,271.48,274.91,459539.0,274.2899,11356
ALNY,2024-09-30,275.5,277.84,272.55,275.03,849758.0,274.719,14775
ALNY,2024-10-01,274.88,277.94,268.13,276.06,601529.0,274.5071,18691
ALNY,2024-10-02,275.62,276.5,264.84,271.55,552825.0,271.5548,16808
ALNY,2024-10-03,271.55,272.49,268.35,269.53,678442.0,270.2173,13574
ALNY,2024-10-04,269.01,270.94,264.56,267.99,409945.0,267.1771,12050
ALNY,2024-10-07,268.55,268.55,264.15,266.77,610033.0,266.6001,12052
ALNY,2024-10-08,266.0,274.6,264.72,271.19,620984.0,271.6539,15072
ALNY,2024-10-09,272.0,273.225,269.0,270.9,431646.0,270.8992,11952
ALNY,2024-10-10,270.5,282.45,269.0,278.62,782797.0,277.8414,16004
ALNY,2024-10-11,278.8,286.02,278.26,284.32,618135.0,283.3775,13627
ALNY,2024-10-14,284.09,285.72,280.8247,283.32,856193.0,284.0125,15922
ALNY,2024-10-15,284.85,289.67,283.7534,287.36,850339.0,286.5154,17073
ALNY,2024-10-16,286.39,301.87,286.39,300.55,1258129.0,297.8009,25657
ALNY,2024-10-17,299.15,304.39,296.59,296.75,1205441.0,299.7686,24967
ALNY,2024-10-18,296.01,298.94,295.51,295.93,968699.0,297.0516,17092
ALNY,2024-10-21,294.33,295.385,288.34,292.01,1381650.0,291.3942,13623
ALNY,2024-10-22,292.1,297.505,291.9,296.48,447936.0,295.8667,11694
ALNY,2024-10-23,296.48,299.17,292.2,294.87,578713.0,295.013,16544
ALNY,2024-10-24,293.92,301.045,293.45,293.69,626725.0,295.9483,13685
ALNY,2024-10-25,293.69,293.74,283.78,284.86,1168531.0,286.4654,20917
ALNY,2024-10-28,288.35,290.9425,285.845,286.91,521372.0,287.669,15085
ALNY,2024-10-29,285.93,287.02,282.2159,284.69,701870.0,284.2134,17081
ALNY,2024-10-30,284.1,287.87,281.39,281.49,976405.0,284.1936,17244
ALNY,2024-10-31,275.41,276.0,263.65,266.59,1572752.0,267.8826,31505
ALNY,2024-11-01,267.05,274.03,264.0,273.91,866294.0,270.6716,19419
ALNY,2024-11-04,268.82,272.92,263.6709,269.95,781879.0,270.2766,17848
ALNY,2024-11-05,268.47,268.89,264.23,265.29,970282.0,266.1466,22162
ALNY,2024-11-06,266.21,278.21,265.52,273.01,1376885.0,272.5146,22065
ALNY,2024-11-07,273.01,275.07,270.04,272.22,607443.0,272.2079,16157
ALNY,2024-11-08,271.63,279.505,270.98,277.43,848533.0,275.3346,22691
ALNY,2024-11-11,276.1,286.58,276.1,279.82,907136.0,281.6805,21879
ALNY,2024-11-12,268.22,270.77,264.11,268.95,1088857.0,268.3933,22025
ALNY,2024-11-13,269.2,271.08,264.31,264.6,651061.0,265.4,17276
ALNY,2024-11-14,262.18,262.825,256.75,257.91,648243.0,259.4695,17320
ALNY,2024-11-15,253.11,254.17,234.88,235.56,1761297.0,240.2286,31720
ALNY,2024-11-18,235.8,242.49,229.855,232.27,1561757.0,232.8873,24632
ALNY,2024-11-19,232.19,235.94,231.23,234.27,830851.0,233.8482,16286
ALNY,2024-11-20,235.78,249.1,234.43,248.79,1058682.0,244.9898,20780
ALNY,2024-11-21,247.46,250.71,245.32,246.8,687266.0,247.8202,16390
ALNY,2024-11-22,248.9,248.9,243.35,244.89,526152.0,245.3982,11811
ALNY,2024-11-25,247.36,255.46,247.36,250.98,1213316.0,251.9905,21582
