ticker,date,open,high,low,close,volume,vwap,transactions
AMAT,2024-06-17,236.67,243.28,236.27,242.86,4974631.0,240.9679,80568
AMAT,2024-06-18,242.78,249.42,242.09,247.83,5256914.0,246.9824,92158
AMAT,2024-06-20,247.0,247.83,238.655,239.99,7045020.0,241.8237,104702
AMAT,2024-06-21,238.32,238.48,232.83,235.41,15389140.0,235.7398,89556
AMAT,2024-06-24,233.0,235.41,229.4301,229.84,5928654.0,231.271,90033
AMAT,2024-06-25,231.04,234.55,228.54,234.27,4779039.0,233.561,60675
AMAT,2024-06-26,235.0,236.92,230.8,232.17,4818654.0,232.8089,70815
AMAT,2024-06-27,237.5,237.82,231.8,232.53,4309553.0,233.5931,67748
AMAT,2024-06-28,235.35,241.29,233.91,235.99,6387433.0,236.8847,78393
AMAT,2024-07-01,236.86,238.36,233.08,237.41,4239557.0,236.3358,74647
AMAT,2024-07-02,235.02,241.0,235.02,240.86,3510604.0,239.8185,55511
AMAT,2024-07-03,241.64,244.72,239.85,243.31,2768843.0,242.8458,43750
AMAT,2024-07-05,244.69,244.715,240.87,242.59,4076227.0,242.5016,65629
AMAT,2024-07-08,243.11,247.18,243.11,246.29,3782098.0,245.7556,56023
AMAT,2024-07-09,248.0,252.13,247.48,251.47,4890692.0,250.4685,82068
AMAT,2024-07-10,253.0,255.89,250.66,254.97,4258139.0,253.9356,71873
AMAT,2024-07-11,255.57,255.57,241.1,241.26,5627387.0,244.3059,95802
AMAT,2024-07-12,241.61,248.77,240.54,243.4,5396287.0,244.7046,86090
AMAT,2024-07-15,244.52,248.81,243.61,245.55,3674325.0,245.9266,69305
AMAT,2024-07-16,246.96,247.52,241.94,245.84,4124766.0,245.0503,70804
AMAT,2024-07-17,231.24,233.32,219.76,220.07,10538858.0,224.5231,184610
AMAT,2024-07-18,222.15,222.325,213.25,217.65,7715764.0,217.1404,139344
AMAT,2024-07-19,217.5,218.28,209.67,210.26,6517081.0,212.0667,103579
AMAT,2024-07-22,216.23,224.09,213.36,223.47,7515582.0,221.2315,106692
AMAT,2024-07-23,220.45,221.95,218.622,219.65,3635340.0,220.0574,69169
AMAT,2024-07-24,217.37,217.77,205.53,206.53,9263428.0,208.7818,134215
AMAT,2024-07-25,207.15,209.21,200.333,202.32,9961355.0,204.2426,157667
AMAT,2024-07-26,206.99,208.36,202.81,206.47,5208974.0,205.8509,79469
AMAT,2024-07-29,208.3,212.53,204.89,205.57,4199228.0,206.8531,61318
AMAT,2024-07-30,208.26,209.17,195.3432,196.74,7652609.0,198.5194,112569
AMAT,2024-07-31,206.095,212.87,204.5,212.2,11123667.0,209.9763,137601
AMAT,2024-08-01,204.13,209.08,192.32,196.3,11268284.0,197.8013,163194
AMAT,2024-08-02,187.87,189.57,179.63,181.81,12991632.0,182.8783,191484
AMAT,2024-08-05,175.16,187.17,171.61,181.89,10079131.0,180.6829,163185
