ticker,date,open,high,low,close,volume,vwap,transactions
AMD,2024-06-17,158.0,159.23,154.135,158.4,44507742.0,156.7464,466561
AMD,2024-06-18,156.99,157.24,153.34,154.63,51852033.0,154.9268,500906
AMD,2024-06-20,155.825,166.82,155.5,161.78,93245732.0,162.4388,822602
AMD,2024-06-21,161.75,163.2,157.89,161.23,61334699.0,161.0302,437513
AMD,2024-06-24,159.75,163.4,158.19,160.25,45954054.0,160.8874,424419
AMD,2024-06-25,160.73,161.0,156.45,160.25,40975277.0,158.7256,387552
AMD,2024-06-26,160.6,160.74,156.0,157.54,36973440.0,157.7316,350609
AMD,2024-06-27,157.18,160.61,156.81,159.47,34018216.0,158.9457,322846
AMD,2024-06-28,160.23,166.45,159.41,162.21,56204617.0,162.9725,456727
AMD,2024-07-01,161.25,161.5068,153.64,157.69,50436691.0,156.3662,531158
AMD,2024-07-02,157.04,164.58,156.7,164.31,57838610.0,160.9668,496457
AMD,2024-07-03,164.2,165.26,162.51,163.9,26980906.0,163.7978,268241
AMD,2024-07-05,165.97,174.0396,165.68,171.9,61857052.0,170.8895,594821
AMD,2024-07-08,174.9,178.95,173.22,178.69,60223422.0,176.1448,580297
AMD,2024-07-09,177.97,180.41,174.7,177.1,43471169.0,176.9829,450560
AMD,2024-07-10,179.99,187.28,177.8,183.96,90246965.0,183.1197,760292
AMD,2024-07-11,184.07,187.11,177.25,181.94,59231412.0,181.6416,573706
AMD,2024-07-12,182.015,186.99,179.69,181.61,50827368.0,184.0856,499607
AMD,2024-07-15,184.45,185.5,178.54,179.83,42202726.0,181.6543,460580
AMD,2024-07-16,179.69,179.75,174.53,177.55,40633058.0,176.7067,411713
AMD,2024-07-17,169.8,169.8,159.37,159.43,76954198.0,163.3368,921399
AMD,2024-07-18,163.41,163.41,153.2,155.77,69420335.0,156.6714,738413
AMD,2024-07-19,154.86,155.81,150.62,151.58,47513063.0,152.6567,519158
AMD,2024-07-22,154.23,156.7,152.545,155.87,43912459.0,154.9745,420949
AMD,2024-07-23,154.95,157.05,153.8,154.0,31950579.0,155.1252,338749
AMD,2024-07-24,152.72,153.68,144.53,144.63,49203120.0,147.8616,528623
AMD,2024-07-25,144.07,144.75,136.81,138.32,60578529.0,140.7771,642176
AMD,2024-07-26,140.32,141.29,138.27,139.99,49435825.0,139.9616,438215
AMD,2024-07-29,141.19,144.585,138.75,139.75,47447194.0,141.1355,410153
AMD,2024-07-30,139.88,141.7,134.05,138.44,68801709.0,139.0066,646329
