ticker,date,open,high,low,close,volume,vwap,transactions
AMGN,2024-06-17,298.49,303.97,296.5575,303.28,1875926.0,302.1304,44078
AMGN,2024-06-18,302.75,306.55,302.02,305.99,2166202.0,305.154,44722
AMGN,2024-06-20,304.83,310.3,303.55,309.89,2890230.0,308.5369,48536
AMGN,2024-06-21,313.13,313.44,307.29,308.16,6933277.0,309.5508,53568
AMGN,2024-06-24,310.0,318.34,307.92,318.15,3389250.0,316.3851,53054
AMGN,2024-06-25,319.23,326.12,318.3968,319.31,3427686.0,320.7802,59582
AMGN,2024-06-26,317.18,317.485,311.72,312.82,2800189.0,313.936,48111
AMGN,2024-06-27,311.73,316.79,310.72,313.69,2082203.0,313.6117,41612
AMGN,2024-06-28,313.7,316.675,310.59,312.45,3518174.0,312.6372,42372
AMGN,2024-07-01,313.34,319.0,310.23,311.01,1769413.0,312.254,36405
AMGN,2024-07-02,310.25,312.43,307.64,310.77,1542804.0,310.4418,35856
AMGN,2024-07-03,311.49,312.5399,306.11,309.38,1000711.0,308.9148,23175
AMGN,2024-07-05,311.03,313.41,308.57,310.88,1274377.0,310.806,27638
AMGN,2024-07-08,311.36,315.48,310.61,311.46,1167252.0,311.9992,29742
AMGN,2024-07-09,311.62,316.085,307.63,315.91,1852588.0,314.1826,33695
AMGN,2024-07-10,317.06,322.88,314.635,321.67,2192177.0,320.6562,41895
AMGN,2024-07-11,322.0,327.9899,320.18,325.09,2254266.0,325.2026,42044
AMGN,2024-07-12,327.82,333.85,326.0102,330.83,2191328.0,331.0344,47237
AMGN,2024-07-15,331.88,332.81,327.87,330.15,1688833.0,330.2341,38998
AMGN,2024-07-16,330.46,335.91,328.0,333.14,1879457.0,333.2555,38756
AMGN,2024-07-17,330.0,336.61,328.6,335.67,1933188.0,334.6524,40264
AMGN,2024-07-18,334.2,338.98,330.67,330.97,2228392.0,334.1395,44336
AMGN,2024-07-19,333.65,333.98,328.43,331.29,1848897.0,331.0847,34544
AMGN,2024-07-22,333.23,337.09,332.47,335.97,1733695.0,335.3739,37069
AMGN,2024-07-23,334.36,337.04,331.31,333.24,1458270.0,333.6799,30740
AMGN,2024-07-24,333.25,337.18,330.34,335.61,2459389.0,335.3797,39747
AMGN,2024-07-25,335.99,346.85,333.02,334.3,2435727.0,337.6237,49775
AMGN,2024-07-26,334.56,338.94,333.28,334.85,1515471.0,335.2571,36713
AMGN,2024-07-29,334.08,334.84,331.295,332.51,1611168.0,332.8384,33022
AMGN,2024-07-30,333.0,338.57,331.67,333.28,1583991.0,333.7212,34121
AMGN,2024-07-31,331.55,336.405,330.57,332.47,2120545.0,333.5946,38503
AMGN,2024-08-01,336.09,340.89,333.46,335.53,2387652.0,335.8322,43824
AMGN,2024-08-02,337.42,338.35,325.73,333.99,2106216.0,332.626,47001
AMGN,2024-08-05,332.72,333.34,321.41,325.22,2975133.0,325.9119,60145
AMGN,2024-08-06,325.23,332.98,323.52,328.95,2436489.0,329.2199,49204
AMGN,2024-08-07,320.99,323.0,306.59,312.5,4618377.0,312.3152,89489
AMGN,2024-08-08,314.0,325.12,312.79,324.69,2746667.0,321.552,51927
AMGN,2024-08-09,323.75,325.04,319.325,322.49,1786545.0,322.2336,34199
AMGN,2024-08-12,323.9,323.9,317.93,320.0,1828671.0,320.4352,31449
