ticker,date,open,high,low,close,volume,vwap,transactions
ARM,2024-06-17,160.17,162.7,153.6201,160.29,12826931.0,158.8056,166365
ARM,2024-06-18,160.03,177.31,159.32,174.13,22339063.0,169.5475,248779
ARM,2024-06-20,173.13,173.85,156.0,160.77,22162341.0,164.9223,316069
ARM,2024-06-21,156.562,162.2,151.3725,160.3,21934971.0,158.849,182982
ARM,2024-06-24,156.87,157.77,150.6,151.07,9260941.0,153.4006,143850
ARM,2024-06-25,151.57,161.95,149.5,160.61,10333156.0,157.0568,133855
ARM,2024-06-26,161.63,166.8,159.51,164.72,11598298.0,163.8949,145088
ARM,2024-06-27,162.556,168.82,160.79,166.935,8980296.0,165.0385,117824
ARM,2024-06-28,167.25,170.88,162.33,163.62,7095948.0,165.7871,101912
ARM,2024-07-01,163.43,163.85,152.55,158.83,8387526.0,157.4933,117984
ARM,2024-07-02,156.85,163.6197,155.27,163.46,5753481.0,160.8498,79771
ARM,2024-07-03,162.42,170.66,159.31,168.24,6649290.0,166.1887,88452
ARM,2024-07-05,172.0,182.65,169.6001,181.19,14231323.0,178.1788,189015
ARM,2024-07-08,181.04,186.38,179.5146,184.7,9516780.0,183.3957,139462
ARM,2024-07-09,186.1,188.75,179.11,182.28,9258555.0,184.1499,134990
ARM,2024-07-10,183.39,187.47,178.5,186.46,6986366.0,185.0858,104124
ARM,2024-07-11,186.84,187.28,173.0301,173.19,10662180.0,178.2135,174981
ARM,2024-07-12,174.07,183.05,173.5,181.18,8999709.0,180.1768,131586
ARM,2024-07-15,182.11,183.74,176.86,177.53,5469526.0,180.4595,88275
ARM,2024-07-16,180.0,180.95,172.54,178.77,5767464.0,176.6024,89355
ARM,2024-07-17,169.98,172.36,161.53,161.7,12350620.0,165.2883,196564
ARM,2024-07-18,165.85,166.66,152.22,158.33,10996288.0,157.5831,171671
ARM,2024-07-19,162.85,165.05,160.63,163.4,7106840.0,163.1096,102919
ARM,2024-07-22,165.47,168.79,162.68,163.55,6179128.0,165.3886,93674
ARM,2024-07-23,163.2399,173.23,161.87,171.7,8036757.0,170.1572,110725
ARM,2024-07-24,167.15,167.15,157.18,157.68,9321071.0,161.3718,132161
ARM,2024-07-25,151.68,155.63,140.0,149.14,15995964.0,149.431,221703
ARM,2024-07-26,155.36,155.51,145.61,149.0,8156191.0,149.2354,113165
ARM,2024-07-29,146.38,149.95,138.71,141.44,9603111.0,142.9636,145436
ARM,2024-07-30,140.73,142.07,129.1,132.96,11738909.0,133.8853,170694
ARM,2024-07-31,143.41,145.48,138.94,144.17,16512997.0,139.3381,224349
ARM,2024-08-01,128.71,134.87,118.18,121.51,31205165.0,124.357,431390
ARM,2024-08-02,114.74,115.63,108.73,113.45,14669989.0,112.5173,220631
ARM,2024-08-05,98.5,113.5,96.66,110.45,15552582.0,107.2965,213132
ARM,2024-08-06,115.53,117.97,109.5,113.39,11424968.0,114.4647,141704
ARM,2024-08-07,117.8,120.09,106.53,107.09,13228487.0,111.0946,160598
ARM,2024-08-08,111.8,118.68,107.94,118.43,9931650.0,114.6226,129021
ARM,2024-08-09,118.98,120.29,115.77,117.0,6421299.0,117.9257,92390
ARM,2024-08-12,117.66,122.0,115.32,117.13,6345188.0,118.0006,82609
ARM,2024-08-13,119.7,125.7,118.3,123.79,8894429.0,122.7289,113194
ARM,2024-08-14,128.82,130.6999,123.79,125.92,11101703.0,127.1462,123622
ARM,2024-08-15,129.76,132.05,128.43,130.44,8011345.0,130.1912,97957
ARM,2024-08-16,131.2,133.1,129.8,130.3,6100567.0,131.0167,79577
ARM,2024-08-19,130.62,132.44,126.29,132.31,6272107.0,129.7545,71582
ARM,2024-08-20,132.215,135.6,128.02,129.95,5847701.0,131.2281,77398
ARM,2024-08-21,131.41,131.46,127.79,131.2,6235306.0,130.2004,58606
ARM,2024-08-22,132.43,133.63,128.55,129.72,4736284.0,131.0882,64156
ARM,2024-08-23,130.0,138.05,129.74,135.63,7286758.0,134.7039,90887
ARM,2024-08-26,134.505,135.3,127.36,128.9,6042284.0,129.9289,91066
ARM,2024-08-27,127.465,131.62,125.49,131.2,4241383.0,129.3248,61231
ARM,2024-08-28,130.0,131.3,121.88,125.32,7388108.0,125.1314,102922
ARM,2024-08-29,125.5,134.94,125.37,131.93,9715222.0,131.6582,109256
ARM,2024-08-30,133.32,137.1,131.84,132.88,4763139.0,134.1007,65239
ARM,2024-09-03,129.865,130.39,122.04,123.74,6382503.0,125.1951,95750
ARM,2024-09-04,121.7,123.4,117.42,120.95,6041559.0,120.474,85805
ARM,2024-09-05,118.8,124.4668,118.63,123.09,4660243.0,122.792,59292
ARM,2024-09-06,122.0038,122.165,114.91,117.29,6769965.0,117.5999,87309
ARM,2024-09-09,122.635,126.24,120.08,125.54,7321547.0,123.5066,93219
ARM,2024-09-10,128.045,128.4668,123.0215,127.22,4896193.0,125.9305,68236
ARM,2024-09-11,129.2,140.63,128.1787,140.32,11056785.0,134.2717,131425
ARM,2024-09-12,136.32,141.38,135.7,139.18,7005879.0,138.9117,98474
ARM,2024-09-13,142.0,149.93,141.37,147.37,10883334.0,146.7979,132094
ARM,2024-09-16,143.0,143.76,136.55,138.4,9734693.0,139.4654,127737
ARM,2024-09-17,140.4,142.5,136.28,136.84,5117856.0,138.9048,68978
ARM,2024-09-18,137.0,143.1,136.7,138.36,6306277.0,139.9277,82991
ARM,2024-09-19,144.99,147.42,140.14,140.59,7688965.0,143.0286,100660
ARM,2024-09-20,140.0,140.85,137.41,138.9,7362039.0,138.9951,63767
ARM,2024-09-23,139.96,143.6,139.8,141.72,4567102.0,142.125,63461
ARM,2024-09-24,142.28,144.6979,139.72,143.3,4907715.0,142.7661,59961
ARM,2024-09-25,143.3,149.74,143.16,146.43,6406112.0,146.9727,96040
ARM,2024-09-26,152.0,152.3896,144.0,149.16,7025510.0,149.0938,109110
ARM,2024-09-27,150.0,150.75,144.3,145.58,4375076.0,146.5281,71420
ARM,2024-09-30,140.96,145.0,140.62,143.01,4037676.0,142.6092,63158
ARM,2024-10-01,142.84,144.39,135.85,136.08,6028077.0,138.1603,93619
ARM,2024-10-02,136.61,139.3,132.8,137.03,3884358.0,136.7608,64894
ARM,2024-10-03,136.23,141.44,136.0,138.24,3035369.0,138.7964,51234
ARM,2024-10-04,141.2,142.0,137.6001,140.55,3765664.0,139.9818,58409
ARM,2024-10-07,139.48,144.89,139.11,141.34,4763687.0,141.518,72238
ARM,2024-10-08,141.56,144.25,140.8818,143.6,3690480.0,142.8025,57653
ARM,2024-10-09,144.77,148.64,142.15,148.43,5476059.0,146.3865,81200
ARM,2024-10-10,146.24,152.0,145.02,149.33,4341701.0,149.0196,72620
ARM,2024-10-11,149.1,152.3,148.3,151.46,3399021.0,150.9224,57616
ARM,2024-10-14,153.1,164.16,153.1,161.82,9073284.0,159.6693,120769
ARM,2024-10-15,160.0,160.62,147.0,150.67,9584294.0,152.4584,155760
ARM,2024-10-16,154.0,155.2,151.2942,152.5,5052062.0,153.2349,75400
ARM,2024-10-17,157.71,158.8,154.09,154.6,5959974.0,156.3322,77675
ARM,2024-10-18,155.565,155.7399,151.96,153.03,3404374.0,153.3069,55256
ARM,2024-10-21,152.195,154.1133,149.4,152.35,6025865.0,151.6086,65121
ARM,2024-10-22,150.46,152.94,149.83,152.58,2895964.0,151.441,51403
ARM,2024-10-23,147.8,148.44,140.7,142.41,9708847.0,143.8027,135213
ARM,2024-10-24,143.3,143.59,138.4,141.04,5630347.0,140.6943,99417
ARM,2024-10-25,142.0,145.56,141.5,143.75,4425012.0,144.251,71301
ARM,2024-10-28,145.0,152.58,144.2,150.02,5720588.0,149.5144,86058
ARM,2024-10-29,150.0,157.69,148.28,157.17,5317607.0,154.891,86466
ARM,2024-10-30,152.5,155.4777,150.48,154.4,3784845.0,153.6395,69796
ARM,2024-10-31,145.26,146.23,140.25,141.3,7431878.0,142.4648,125042
ARM,2024-11-01,144.17,146.78,140.62,141.48,4716064.0,143.3372,76965
ARM,2024-11-04,140.0,142.5,137.29,137.53,3263574.0,139.8231,61214
ARM,2024-11-05,139.0,141.3,138.33,140.65,3635034.0,139.8698,63403
ARM,2024-11-06,143.73,146.06,141.01,144.68,10774420.0,142.7399,150552
ARM,2024-11-07,140.0001,154.65,139.51,150.65,16365148.0,148.68,204167
ARM,2024-11-08,148.7,149.12,144.42,147.48,6469780.0,146.4833,102988
ARM,2024-11-11,145.95,145.95,138.7,141.965,7446051.0,141.8707,119798
ARM,2024-11-12,141.52,143.12,137.3,139.92,4306975.0,139.8774,75894
ARM,2024-11-13,139.57,140.535,135.07,135.09,4945316.0,136.5168,92537
ARM,2024-11-14,137.25,138.7922,134.8004,136.35,4069480.0,136.5756,57905
ARM,2024-11-15,133.17,133.3,126.81,128.73,7740277.0,128.8085,129824
ARM,2024-11-18,127.5,130.11,126.356,128.66,5737329.0,128.3665,71243
ARM,2024-11-19,128.5,133.7,127.89,133.06,4051608.0,131.5386,64990
ARM,2024-11-20,131.02,133.77,130.0755,133.7,3913472.0,131.9901,57595
ARM,2024-11-21,136.25,138.2,131.13,133.14,4127617.0,133.5733,66828
ARM,2024-11-22,132.0,136.27,131.45,135.99,3330342.0,134.5644,54451
ARM,2024-11-25,138.67,142.24,138.09,139.68,4745683.0,139.9271,74878
ARM,2024-11-26,139.51,140.2,135.6,136.72,2605036.0,137.2786,46568
ARM,2024-11-27,134.85,135.35,129.6,133.37,5498108.0,132.2661,74449
ARM,2024-11-29,133.04,137.28,132.59,134.29,2491333.0,135.409,41336
ARM,2024-12-02,134.2,141.4,134.2,140.34,5503965.0,139.6722,77196
ARM,2024-12-03,139.5,142.2999,139.44,140.38,3954636.0,140.7521,51518
ARM,2024-12-04,142.5,144.54,141.06,141.3,2959784.0,142.2414,50621
ARM,2024-12-05,140.86,142.46,137.56,137.95,4769912.0,138.584,60498
ARM,2024-12-06,138.145,142.42,136.63,140.89,3394674.0,140.5114,54482
