ticker,date,open,high,low,close,volume,vwap,transactions
CBRS,2026-05-14,350.0,386.34,300.0,311.07,33497870.148638,333.8854,495391
CBRS,2026-05-15,298.49,306.7799,275.0,279.72,17119206.132923,295.0204,348174
CBRS,2026-05-18,291.55,303.66,272.24,296.65,10158354.830102,292.4843,191938
CBRS,2026-05-19,292.17,333.99,286.15,303.63,10379536.712922,316.2928,198077
CBRS,2026-05-20,317.525,338.325,284.25,290.69,12851706.618918,303.231,215524
CBRS,2026-05-21,293.7,294.0,275.42,281.86,5448110.954553,283.3105,125812
CBRS,2026-05-22,285.0,285.0,250.27,256.78,11783761.389283,260.4707,220349
CBRS,2026-05-26,260.0,262.29,236.1,241.71,8180275.47561,245.549,171048
CBRS,2026-05-27,243.86,269.39,243.03,266.9,6522988.92016,258.8963,125584
CBRS,2026-05-28,260.95,268.78,241.53,242.59,5692279.143933,252.2047,131258
CBRS,2026-05-29,247.12,251.35,232.5601,236.99,4350231.503027,237.7015,98226
CBRS,2026-06-01,231.875,232.37,212.6,213.28,5823744.306507,220.1911,140233
CBRS,2026-06-02,220.05,241.69,217.0,236.52,5236620.112103,231.4113,107255
CBRS,2026-06-03,230.06,230.06,213.25,214.94,3827749.652473,218.3605,90595
CBRS,2026-06-04,212.25,219.78,205.4661,215.4,4137174.995581,212.6435,80045
CBRS,2026-06-05,208.68,222.78,196.73,201.01,4393433.238029,207.0438,93270
CBRS,2026-06-08,212.6,249.76,204.13,237.83,8691315.08155,234.1318,159435
CBRS,2026-06-09,244.505,244.505,215.01,226.815,5707415.036953,227.3766,118365
CBRS,2026-06-10,226.65,253.52,226.15,237.33,5373544.406451,241.1934,104395
CBRS,2026-06-11,238.98,241.0,220.5,226.55,3908461.435121,228.8219,82646
CBRS,2026-06-12,230.29,230.3733,208.0,214.0,4739947.488786,214.4224,101726
CBRS,2026-06-15,224.3,224.8027,211.0,218.03,5061534.469324,216.4283,91159
CBRS,2026-06-16,218.5,218.5,202.2801,212.25,5006534.29994,210.0129,91557
CBRS,2026-06-17,213.925,230.99,209.84,213.67,4927808.48846,221.3546,82943
CBRS,2026-06-18,220.0,245.24,215.2,234.71,7196608.333896,231.637,107910
CBRS,2026-06-22,237.83,241.68,224.0,224.43,4738735.961653,230.7833,82324
CBRS,2026-06-23,213.75,237.0,210.0,226.72,8337404.384134,222.4189,149897
CBRS,2026-06-24,208.0,209.99,181.56,182.26,21373825.077721,191.2643,407226
CBRS,2026-06-25,189.51,189.91,161.26,168.52,18393356.031261,172.2478,278696
CBRS,2026-06-26,162.66,184.03,160.8101,181.59,10659011.259864,176.2402,156187
