ticker,date,open,high,low,close,volume,vwap,transactions
CEG,2024-06-17,213.87,214.72,208.71,212.02,3321121.0,211.5545,47142
CEG,2024-06-18,212.79,221.2,209.115,220.41,2714738.0,218.1985,55994
CEG,2024-06-20,223.82,227.77,219.29,222.31,3075132.0,222.6384,58144
CEG,2024-06-21,223.0,224.58,215.7401,218.13,5513390.0,219.1055,50618
CEG,2024-06-24,218.0,220.85,215.3511,216.1,2474103.0,217.1117,46547
CEG,2024-06-25,216.5,222.46,214.18,222.37,2305127.0,220.9395,39733
CEG,2024-06-26,220.57,222.2,207.45,210.31,4237001.0,212.8375,65942
CEG,2024-06-27,207.59,207.92,201.26,204.78,4733575.0,204.4729,79249
CEG,2024-06-28,205.25,207.3,199.44,200.27,10579113.0,200.7509,64537
CEG,2024-07-01,208.19,213.59,203.14,205.05,4168356.0,206.0581,59653
CEG,2024-07-02,203.46,211.8,203.1,206.15,1905413.0,206.0213,37562
CEG,2024-07-03,205.31,212.43,202.01,210.07,1612681.0,210.0296,29355
CEG,2024-07-05,210.0,212.76,208.07,211.29,1601740.0,211.1591,33190
CEG,2024-07-08,211.83,216.43,211.25,215.73,1634597.0,215.1755,36557
CEG,2024-07-09,217.04,222.3698,215.06,215.96,1773626.0,218.26,39801
CEG,2024-07-10,218.18,219.96,213.7401,219.55,2584461.0,218.5414,29406
CEG,2024-07-11,219.56,220.5427,215.1901,216.84,2438194.0,217.0141,41382
CEG,2024-07-12,216.26,221.1399,212.307,217.14,1760776.0,218.2297,31111
CEG,2024-07-15,217.0,219.65,211.638,212.88,2164543.0,213.6868,39748
CEG,2024-07-16,214.14,215.01,204.06,204.88,4049649.0,206.8118,66778
CEG,2024-07-17,202.13,203.06,185.77,186.67,6748654.0,190.4315,106548
CEG,2024-07-18,190.37,192.84,178.07,187.28,5484917.0,183.8947,88208
CEG,2024-07-19,188.02,189.94,186.4,189.3,2826978.0,188.5475,43996
CEG,2024-07-22,192.24,196.82,188.61,190.42,1868849.0,190.8611,35589
CEG,2024-07-23,189.67,192.1618,188.3,189.87,1856639.0,190.4512,28769
CEG,2024-07-24,188.29,188.29,174.7,175.08,4910286.0,177.5516,81000
CEG,2024-07-25,176.7,176.84,165.87,170.43,5542015.0,170.499,83105
CEG,2024-07-26,176.54,177.07,171.44,175.04,3469481.0,174.5632,46100
CEG,2024-07-29,176.05,177.1499,171.1282,172.68,2100141.0,173.5025,36727
CEG,2024-07-30,173.47,175.03,165.75,168.69,3517101.0,168.9281,53468
CEG,2024-07-31,193.28,196.5,183.0,189.8,7483724.0,188.4791,95543
CEG,2024-08-01,188.292,194.27,176.62,177.57,4482086.0,181.5236,71454
CEG,2024-08-02,174.47,175.33,161.438,167.08,6099151.0,167.0912,92391
CEG,2024-08-05,156.24,172.76,155.6,169.97,5430815.0,168.3314,84596
CEG,2024-08-06,173.64,183.83,168.39,181.04,6322082.0,180.1264,78187
CEG,2024-08-07,190.09,190.09,176.9,179.66,6154894.0,182.0603,68212
CEG,2024-08-08,183.25,187.63,176.42,187.03,3338797.0,185.5022,49855
CEG,2024-08-09,187.08,190.1,183.07,189.87,3204019.0,188.4449,46577
CEG,2024-08-12,190.0,190.83,183.7,187.33,2232380.0,187.3324,34697
CEG,2024-08-13,189.34,190.85,187.07,189.41,2349082.0,189.1343,37500
CEG,2024-08-14,188.96,189.8899,182.21,186.15,2327865.0,186.6223,36786
CEG,2024-08-15,186.4,192.58,185.49,190.39,4241891.0,190.5414,43125
CEG,2024-08-16,191.22,191.36,185.83,189.98,2572264.0,189.2864,37638
CEG,2024-08-19,189.61,192.88,185.56,192.78,2025073.0,190.1358,33649
CEG,2024-08-20,193.0,193.5,189.6388,190.72,2506982.0,190.8821,24762
CEG,2024-08-21,191.48,197.33,190.98,196.74,2404394.0,196.1241,34272
CEG,2024-08-22,195.57,198.8075,194.71,194.95,1520453.0,195.8438,28647
CEG,2024-08-23,195.01,197.33,192.52,194.99,2683276.0,195.2413,34558
CEG,2024-08-26,195.5,197.99,193.08,194.89,1953522.0,195.0129,27061
CEG,2024-08-27,194.89,198.3,193.57,196.14,1703202.0,196.0389,25434
CEG,2024-08-28,197.19,197.45,192.41,193.77,2493220.0,194.74,31290
CEG,2024-08-29,195.91,199.11,192.31,194.44,2463939.0,195.6204,38223
CEG,2024-08-30,195.26,197.81,195.15,196.7,2239499.0,196.6671,31265
CEG,2024-09-03,195.5,195.8,177.18,177.78,4252261.0,181.4743,68214
CEG,2024-09-04,177.68,182.75,176.0,177.52,3310387.0,179.3784,54406
CEG,2024-09-05,177.97,179.75,175.11,176.07,2444994.0,176.8409,41558
CEG,2024-09-06,175.81,176.64,171.94,173.11,3390254.0,173.6279,48703
CEG,2024-09-09,176.35,176.35,171.04,174.92,2184576.0,173.9946,41498
CEG,2024-09-10,176.85,181.205,173.86,180.25,2301825.0,178.4766,40550
CEG,2024-09-11,181.53,188.15,179.145,187.25,2846883.0,184.9339,48100
CEG,2024-09-12,187.0,191.68,184.19,189.93,2154903.0,189.2091,38767
CEG,2024-09-13,191.45,197.81,189.18,195.98,2613638.0,195.2334,42604
CEG,2024-09-16,195.0,199.53,192.69,199.25,2263977.0,197.0727,37750
CEG,2024-09-17,200.0,204.7,198.25,201.23,2881736.0,201.8138,50713
CEG,2024-09-18,201.96,204.953,198.42,200.33,1796071.0,201.2204,37120
CEG,2024-09-19,205.11,208.64,202.47,208.5,3432608.0,207.2118,47125
CEG,2024-09-20,235.16,255.24,233.0,254.98,15031402.0,245.3352,200798
CEG,2024-09-23,259.56,271.85,252.11,257.12,10269985.0,259.5151,165252
CEG,2024-09-24,254.08,259.44,251.0883,253.49,4562659.0,254.9323,80776
CEG,2024-09-25,254.44,267.09,253.24,262.86,6246205.0,261.4717,91337
CEG,2024-09-26,263.83,270.12,254.5,256.77,4072226.0,259.9468,71133
CEG,2024-09-27,257.18,262.4,255.3401,257.0,2598113.0,257.5635,48961
CEG,2024-09-30,257.75,261.12,251.275,260.02,2901955.0,258.3374,48091
CEG,2024-10-01,259.1,266.0,253.96,265.61,3179847.0,261.3217,56453
CEG,2024-10-02,264.91,269.72,261.65,265.38,3233567.0,265.6697,54449
CEG,2024-10-03,272.15,279.51,268.0,277.37,4274243.0,275.899,77072
CEG,2024-10-04,277.91,286.0,275.6,285.52,3831511.0,282.4401,62650
CEG,2024-10-07,285.0,288.7533,274.0,278.56,3477026.0,280.8573,65840
CEG,2024-10-08,278.89,281.4,273.1,279.39,2599138.0,278.0394,46949
CEG,2024-10-09,276.05,276.05,257.5,262.28,5235788.0,263.2674,98963
CEG,2024-10-10,261.06,267.76,259.03,262.31,2733477.0,263.7477,51654
CEG,2024-10-11,256.39,266.9,249.05,266.22,4477730.0,261.5039,74925
CEG,2024-10-14,267.57,272.8199,265.21,271.74,2229257.0,270.5852,45910
CEG,2024-10-15,269.8,269.8,262.34,266.15,3000926.0,265.9412,45216
CEG,2024-10-16,268.22,280.24,264.12,279.8,2469297.0,275.0249,49502
CEG,2024-10-17,285.0,285.0,270.5401,271.2,3209916.0,276.9072,64793
CEG,2024-10-18,267.78,272.58,265.0,270.16,1708815.0,270.0148,39602
CEG,2024-10-21,273.08,274.12,268.01,273.72,1650884.0,272.3362,39908
CEG,2024-10-22,270.37,271.425,265.85,266.0,2134113.0,267.2731,46654
CEG,2024-10-23,265.0,267.9257,262.61,266.05,2633729.0,265.299,46643
CEG,2024-10-24,267.79,267.8,262.57,264.5,1553707.0,265.0314,33295
CEG,2024-10-25,269.0,269.74,263.09,264.41,2016507.0,266.0442,40413
CEG,2024-10-28,266.89,271.19,265.01,266.98,1542744.0,268.3904,36850
CEG,2024-10-29,266.28,267.23,261.7,265.0,1829658.0,265.2123,42454
CEG,2024-10-30,266.88,268.0,261.43,261.78,1831022.0,263.4109,39080
CEG,2024-10-31,261.74,264.1899,259.3501,262.96,2290851.0,262.1776,47175
CEG,2024-11-01,262.73,264.77,256.82,258.1,2804488.0,260.1469,57152
CEG,2024-11-04,232.5,235.4976,224.68,225.95,10719375.0,230.1144,182378
CEG,2024-11-05,230.35,236.86,227.0,233.75,6347426.0,232.4152,94734
CEG,2024-11-06,238.82,242.0,233.76,234.99,4790137.0,236.6136,84736
CEG,2024-11-07,242.52,248.35,238.3973,241.59,4154924.0,242.6749,77891
CEG,2024-11-08,243.25,247.9999,236.83,239.37,5162116.0,240.0003,86918
CEG,2024-11-11,241.99,243.91,234.29,237.27,3382066.0,237.1345,61047
CEG,2024-11-12,235.44,235.98,225.69,228.7,4460014.0,228.8469,76644
CEG,2024-11-13,231.0,232.77,225.61,225.96,2979471.0,227.6907,56163
CEG,2024-11-14,228.2,231.54,225.12,225.38,2513207.0,227.5201,49287
CEG,2024-11-15,224.85,227.75,221.66,224.28,2717700.0,223.9886,49203
CEG,2024-11-18,225.99,232.04,221.18,230.28,3295002.0,228.7912,51554
CEG,2024-11-19,226.305,234.89,226.1,234.58,2197506.0,232.2299,39679
CEG,2024-11-20,238.14,241.48,232.14,235.42,2567642.0,235.5003,46536
CEG,2024-11-21,237.31,252.19,234.11,251.84,3586407.0,247.6393,69045
CEG,2024-11-22,251.21,253.23,245.03,249.89,2471550.0,249.0242,50994
CEG,2024-11-25,253.5,255.61,243.0,248.93,3459596.0,248.3618,55822
CEG,2024-11-26,249.55,267.13,249.2,266.73,3881649.0,262.8575,71860
CEG,2024-11-27,265.0,266.0,250.85,253.39,2298224.0,254.4937,52663
CEG,2024-11-29,257.98,260.789,255.2,256.56,1185697.0,257.2057,28105
CEG,2024-12-02,257.0,258.44,249.51,249.58,1908429.0,251.6979,44556
CEG,2024-12-03,251.4705,254.18,246.58,247.51,1784572.0,248.6129,37397
CEG,2024-12-04,252.68,257.66,251.0,254.2,2701156.0,254.1883,48776
CEG,2024-12-05,253.72,259.76,253.1,256.09,2118166.0,256.4053,35868
CEG,2024-12-06,256.45,258.57,250.4201,253.63,1330068.0,253.1753,34098
CEG,2024-12-09,253.79,254.0,236.33,239.85,3262442.0,240.7785,64590
CEG,2024-12-10,237.88,239.5,230.71,232.34,2771458.0,233.2745,51607
CEG,2024-12-11,234.77,239.4483,232.12,236.6,2386746.0,236.4333,36427
CEG,2024-12-12,242.96,248.13,238.92,239.02,2822002.0,242.7334,50920
CEG,2024-12-13,241.99,243.42,236.5,239.07,2005086.0,239.0666,36167
CEG,2024-12-16,240.05,243.7,237.2481,239.3,1974357.0,240.0719,37380
CEG,2024-12-17,237.66,238.08,228.86,234.24,2506472.0,233.0705,45720
CEG,2024-12-18,234.32,236.99,224.77,225.76,3173728.0,229.577,52160
CEG,2024-12-19,228.86,233.79,224.98,225.17,3626785.0,226.6017,46034
CEG,2024-12-20,221.82,231.7,219.64,227.02,4985567.0,226.896,49731
CEG,2024-12-23,227.0,229.36,221.7,228.28,1935150.0,227.24,40529
CEG,2024-12-24,229.245,230.11,227.1559,229.79,978377.0,229.0385,19480
CEG,2024-12-26,228.57,230.2295,227.319,228.64,920665.0,228.924,21403
CEG,2024-12-27,228.18,228.18,222.7401,226.54,1466446.0,225.6122,34744
CEG,2024-12-30,223.52,229.0,222.25,226.32,1587399.0,226.4076,34843
CEG,2024-12-31,226.35,227.03,222.88,223.71,1885954.0,224.391,35516
CEG,2025-01-02,226.38,243.72,225.1375,242.6,4552486.0,237.3142,83794
CEG,2025-01-03,250.5,254.1792,244.35,252.4,4578769.0,251.6359,85282
CEG,2025-01-06,257.88,267.82,251.51,264.28,4115974.0,261.6552,85772
CEG,2025-01-07,263.5,265.48,249.56,255.63,3112396.0,255.8674,64481
CEG,2025-01-08,255.51,255.99,228.05,243.84,8414175.0,240.6588,127182
CEG,2025-01-10,282.49,310.0,280.13,305.19,14707183.0,298.3234,237765
CEG,2025-01-13,297.495,300.46,278.86,279.24,6920564.0,284.2207,122796
CEG,2025-01-14,283.895,294.4,281.4,288.87,4852380.0,289.215,80918
CEG,2025-01-15,297.09,305.1084,293.0202,300.77,4140669.0,300.9011,77974
CEG,2025-01-16,302.47,320.51,302.4698,315.24,5269115.0,313.6975,95821
CEG,2025-01-17,320.16,320.16,311.0401,316.36,2819968.0,315.5794,57884
CEG,2025-01-21,326.0,330.3399,318.33,323.64,4032296.0,324.6179,80798
CEG,2025-01-22,329.0,336.4475,319.0,332.47,4576601.0,331.8021,90252
CEG,2025-01-23,333.13,352.0,333.0,346.22,4853539.0,346.0768,103563
CEG,2025-01-24,347.75,350.0,341.95,347.44,3226556.0,346.3686,69261
CEG,2025-01-27,292.46,302.67,270.44,275.0,16083204.0,282.2259,284946
CEG,2025-01-28,281.55,284.37,259.09,278.8,9989311.0,270.9332,171982
CEG,2025-01-29,279.03,294.19,276.06,291.89,6638519.0,288.0589,116587
CEG,2025-01-30,301.0,310.69,298.79,308.55,6023142.0,305.7634,108215
CEG,2025-01-31,312.0,312.0,297.945,299.98,4725954.0,301.2347,93308
CEG,2025-02-03,285.4,308.65,284.02,306.31,3723535.0,301.3915,76864
CEG,2025-02-04,298.2266,307.09,293.5,306.33,2996304.0,302.7683,60966
CEG,2025-02-05,310.53,318.37,302.85,313.83,3580102.0,312.4604,72544
CEG,2025-02-06,315.325,316.58,305.87,311.8,2480096.0,311.2732,50364
CEG,2025-02-07,314.48,319.61,309.305,309.79,2297980.0,312.8694,52728
CEG,2025-02-10,312.63,322.0,312.575,321.83,2729799.0,318.7528,53855
CEG,2025-02-11,317.31,319.16,309.44,313.58,2642897.0,313.6124,50530
CEG,2025-02-12,305.43,317.43,303.79,313.8,1766373.0,312.911,44422
CEG,2025-02-13,316.36,317.7376,305.09,311.49,2707225.0,310.3293,53546
CEG,2025-02-14,311.185,318.19,306.22,317.3,2192984.0,315.2106,49055
CEG,2025-02-18,323.84,329.5699,315.815,325.6,3252998.0,324.4076,71941
CEG,2025-02-19,323.81,329.888,318.1301,321.665,3079053.0,323.1253,64419
CEG,2025-02-20,317.49,322.0,304.18,309.42,3860027.0,311.24,82715
CEG,2025-02-21,310.0,310.46,277.77,284.44,6477999.0,287.7958,128877
CEG,2025-02-24,290.01,290.01,262.65,267.72,7221426.0,268.7444,141703
