ticker,date,open,high,low,close,volume,vwap,transactions
COST,2024-06-17,854.49,870.56,853.37,867.91,1904926.0,863.9211,82796
COST,2024-06-18,868.0,873.9599,867.7,870.75,1763802.0,870.7033,70255
COST,2024-06-20,871.31,873.85,860.56,862.44,1944601.0,865.8237,89191
COST,2024-06-21,866.64,866.9653,847.65,848.31,3852859.0,855.3551,89408
COST,2024-06-24,850.0,850.63,841.51,848.16,1722886.0,847.6078,79829
COST,2024-06-25,849.32,855.69,845.0,855.51,1675700.0,853.1537,60537
COST,2024-06-26,852.72,859.74,850.06,856.84,1505286.0,856.949,57823
COST,2024-06-27,857.705,858.3306,848.64,850.62,1254904.0,851.7241,63352
COST,2024-06-28,851.25,857.24,846.81,849.99,2131691.0,850.8104,63990
COST,2024-07-01,853.5,856.0,840.5001,845.67,1989003.0,846.0542,69944
COST,2024-07-02,845.69,860.36,843.08,859.36,1377857.0,855.4359,63564
COST,2024-07-03,855.0,863.52,855.0,862.66,814423.0,860.1432,45465
COST,2024-07-05,864.56,886.94,858.72,885.67,2620714.0,881.643,88311
COST,2024-07-08,886.79,887.95,877.66,880.84,1611317.0,880.6531,82486
COST,2024-07-09,883.85,896.67,882.965,886.85,1358498.0,888.9417,72513
COST,2024-07-10,887.4,890.27,880.7,884.31,1755823.0,887.2204,84969
COST,2024-07-11,890.76,890.76,846.52,846.59,6021054.0,857.7239,233529
COST,2024-07-12,849.89,850.0,838.38,842.9,3288384.0,844.2816,148431
COST,2024-07-15,846.86,857.8999,844.67,848.73,2064036.0,850.4871,98343
COST,2024-07-16,847.8,851.235,841.34,850.77,1687592.0,846.3803,103393
COST,2024-07-17,848.01,849.95,842.65,846.28,1783079.0,846.9274,87832
COST,2024-07-18,849.43,855.3,825.11,839.37,2338477.0,838.6096,120409
COST,2024-07-19,836.51,848.88,835.56,838.13,1984385.0,839.6682,68712
COST,2024-07-22,845.75,849.59,838.6,847.42,1920228.0,845.5414,97440
COST,2024-07-23,848.9,854.5799,845.5786,852.11,1744123.0,851.2921,65007
COST,2024-07-24,844.6,846.0,829.5,830.82,2511321.0,833.3761,89918
COST,2024-07-25,835.79,836.65,814.28,815.95,2183740.0,822.5682,89568
COST,2024-07-26,818.0,822.28,809.01,817.6,1441455.0,816.6297,66906
COST,2024-07-29,822.56,823.74,814.09,815.56,1320420.0,817.3159,57445
COST,2024-07-30,818.0,822.0,803.28,810.03,2017248.0,811.106,68989
COST,2024-07-31,820.42,825.48,811.27,822.0,2135049.0,819.9553,70709
COST,2024-08-01,818.55,824.17,809.68,816.89,1861405.0,815.7821,71527
COST,2024-08-02,816.2,830.285,805.0101,822.08,2598467.0,819.1463,87415
COST,2024-08-05,798.0,810.82,793.0,801.83,2820885.0,801.3729,121749
COST,2024-08-06,805.06,833.09,805.06,816.88,2476255.0,821.5272,86188
COST,2024-08-07,824.11,833.83,809.26,810.3,1702040.0,817.9793,66242
COST,2024-08-08,821.5,842.76,820.45,839.43,2345030.0,836.5744,82165
COST,2024-08-09,838.5,857.771,837.63,854.93,1710588.0,851.3056,73981
COST,2024-08-12,857.25,870.25,852.4,863.57,1748173.0,863.2697,75562
COST,2024-08-13,864.92,868.05,856.16,864.82,1484055.0,862.2327,67208
COST,2024-08-14,864.87,866.7327,858.5,862.71,1341493.0,862.8288,51202
COST,2024-08-15,872.87,880.325,869.0,877.35,1923809.0,875.4111,70579
COST,2024-08-16,877.35,877.35,868.62,870.59,1516332.0,871.7717,56411
COST,2024-08-19,870.59,873.63,868.7,872.35,1318382.0,871.295,54827
COST,2024-08-20,872.0,876.755,871.17,876.2,1104595.0,875.2954,48944
COST,2024-08-21,880.74,891.12,877.22,881.42,1465505.0,882.6339,63449
COST,2024-08-22,882.3,884.0,873.18,877.56,1440919.0,877.9353,51019
COST,2024-08-23,882.49,884.556,871.6684,879.21,1305753.0,878.6172,52091
COST,2024-08-26,883.17,893.2499,881.4411,892.51,1737024.0,890.1082,61793
COST,2024-08-27,892.69,918.928,887.07,908.9,2098899.0,906.4674,85590
COST,2024-08-28,910.96,912.22,881.655,888.05,1668378.0,892.4756,82907
COST,2024-08-29,891.0,900.46,885.17,886.63,1709893.0,890.2195,66772
COST,2024-08-30,890.5,896.3299,883.1,892.38,1933485.0,891.3354,60687
COST,2024-09-03,896.68,896.89,874.44,878.57,1784179.0,882.3884,82633
COST,2024-09-04,877.45,891.755,876.5866,890.02,1425160.0,885.3787,63823
COST,2024-09-05,888.63,888.63,868.7,885.98,1998837.0,880.4357,78817
COST,2024-09-06,891.261,893.2,871.0,876.68,2074604.0,877.5379,76148
COST,2024-09-09,884.74,898.8316,881.7,896.49,1953977.0,893.64,72484
COST,2024-09-10,892.6,900.69,887.5201,894.29,1360818.0,894.2635,57561
COST,2024-09-11,895.0,902.0,877.87,900.4,1796084.0,894.6772,68076
COST,2024-09-12,900.42,915.7,896.51,915.03,1868674.0,911.5445,71612
COST,2024-09-13,913.63,923.8299,909.36,916.0,1327509.0,917.391,64292
COST,2024-09-16,922.0,922.63,905.35,907.87,1661046.0,910.1329,74526
COST,2024-09-17,908.43,908.6,895.45,897.27,1386963.0,899.9677,66860
COST,2024-09-18,899.94,904.98,890.9497,892.52,1338163.0,895.4235,60687
COST,2024-09-19,904.26,905.13,895.5001,900.74,1747482.0,901.0626,67195
COST,2024-09-20,901.57,907.8073,895.7,906.98,4658159.0,905.2186,63473
COST,2024-09-23,906.98,919.5,900.78,917.08,1697643.0,915.1334,69664
COST,2024-09-24,912.01,912.77,897.53,901.54,2432552.0,902.9208,100914
COST,2024-09-25,903.0,910.36,901.125,908.42,1728137.0,907.3513,64110
COST,2024-09-26,905.3,909.2399,898.13,901.44,2738553.0,901.2328,113734
COST,2024-09-27,893.26,893.49,874.0,885.62,3459054.0,884.2207,150439
COST,2024-09-30,891.37,910.0,881.41,886.52,2146353.0,890.908,88240
COST,2024-10-01,885.25,886.99,872.75,877.38,1836683.0,877.2799,94034
COST,2024-10-02,874.65,881.23,867.16,878.53,1317146.0,876.8458,64912
COST,2024-10-03,874.44,881.18,872.665,875.67,1451942.0,875.8247,64192
COST,2024-10-04,877.99,884.29,875.67,883.11,1517311.0,881.6412,66273
COST,2024-10-07,881.6,887.71,872.3264,873.59,1963158.0,877.3215,78917
COST,2024-10-08,876.7,891.305,876.7,890.42,1697910.0,887.2402,64675
COST,2024-10-09,892.24,910.0,887.87,909.1,1956453.0,904.1974,85099
COST,2024-10-10,910.0,910.0,891.84,893.63,1765785.0,896.0942,84984
COST,2024-10-11,894.5,894.5,885.5001,889.03,1527294.0,889.4713,68444
COST,2024-10-14,892.45,895.1716,886.26,889.76,1431497.0,889.9126,59866
COST,2024-10-15,892.09,900.65,889.55,894.61,1613905.0,894.907,64248
COST,2024-10-16,889.92,891.325,879.5001,887.38,1475495.0,886.1978,74425
COST,2024-10-17,891.555,895.33,882.8,885.29,1321463.0,886.0662,60614
COST,2024-10-18,885.76,890.61,883.75,889.56,1654015.0,888.2718,52998
COST,2024-10-21,889.0,891.4,883.7,886.77,1184880.0,887.3479,51050
COST,2024-10-22,890.98,894.89,884.31,893.49,1189653.0,891.035,51239
COST,2024-10-23,896.02,905.68,894.99,899.17,2193473.0,899.2134,76148
COST,2024-10-24,901.5,903.5,888.26,893.42,1649565.0,894.1081,59771
COST,2024-10-25,895.65,901.6191,890.0,891.22,1425842.0,894.5392,60501
COST,2024-10-28,895.99,895.99,890.0,890.96,912507.0,892.0795,47623
COST,2024-10-29,890.0,891.17,874.09,886.99,1361681.0,885.8133,66717
COST,2024-10-30,886.38,886.5699,877.37,879.09,1412209.0,881.0873,67663
COST,2024-10-31,877.2,877.65,868.65,874.18,1771876.0,873.5332,81702
COST,2024-11-01,874.27,879.4108,867.3401,877.31,1625161.0,875.8375,71797
COST,2024-11-04,881.34,887.0,876.73,886.07,1577144.0,884.0759,65086
COST,2024-11-05,888.0,895.58,886.7975,890.17,1622264.0,889.9203,58085
COST,2024-11-06,898.28,899.9,886.28,899.25,2437420.0,895.0795,94999
COST,2024-11-07,898.62,919.48,894.37,913.93,2145454.0,912.8823,93269
COST,2024-11-08,914.0,962.0,913.75,943.8,3277090.0,941.8598,132612
COST,2024-11-11,943.8,951.28,931.435,932.88,2181815.0,936.8312,82292
