ticker,date,open,high,low,close,volume,vwap,transactions
CPRT,2024-06-17,52.89,54.37,52.75,54.35,3774007.0,53.9828,41703
CPRT,2024-06-18,54.24,55.0091,53.935,54.86,3251462.0,54.6748,35065
CPRT,2024-06-20,54.94,54.9794,53.355,54.01,4462498.0,53.8939,51058
CPRT,2024-06-21,54.28,54.38,53.81,54.24,5559554.0,54.2257,37638
CPRT,2024-06-24,54.29,55.0,54.06,54.9,3711345.0,54.8102,41408
CPRT,2024-06-25,55.14,55.33,54.69,55.27,3676246.0,55.0776,35180
CPRT,2024-06-26,54.83,55.15,54.415,54.63,3817696.0,54.6973,38454
CPRT,2024-06-27,54.81,54.95,54.46,54.76,3876420.0,54.7045,43909
CPRT,2024-06-28,54.88,55.345,54.01,54.16,25202544.0,54.2671,58896
CPRT,2024-07-01,54.12,54.38,53.18,53.35,3609596.0,53.4559,41874
CPRT,2024-07-02,53.25,54.71,52.9,54.69,3214733.0,54.4168,39984
CPRT,2024-07-03,54.63,54.725,53.65,53.89,2265871.0,53.9834,22195
CPRT,2024-07-05,53.85,54.42,53.56,54.22,4272489.0,54.1451,34995
CPRT,2024-07-08,54.44,54.87,54.11,54.79,2894425.0,54.6212,33413
CPRT,2024-07-09,55.01,55.22,54.3425,54.44,2687509.0,54.5454,31943
CPRT,2024-07-10,54.37,54.51,53.9,54.13,3527863.0,54.1599,30265
CPRT,2024-07-11,54.185,55.01,54.125,54.84,4654689.0,54.6408,49387
CPRT,2024-07-12,55.21,56.055,55.13,55.54,3309548.0,55.6705,32066
CPRT,2024-07-15,55.47,55.65,54.6,54.72,5415453.0,54.9928,44523
CPRT,2024-07-16,54.78,54.85,53.7,54.0,4762755.0,54.1591,57687
CPRT,2024-07-17,53.64,53.75,52.97,52.99,6821223.0,53.2028,58513
CPRT,2024-07-18,52.89,53.02,51.485,51.65,7614417.0,52.0067,79640
CPRT,2024-07-19,51.88,52.45,51.52,51.71,4743220.0,51.8686,40278
CPRT,2024-07-22,52.17,52.56,51.665,52.53,3848189.0,52.3457,38198
CPRT,2024-07-23,52.52,52.75,52.23,52.32,3408012.0,52.3863,28201
CPRT,2024-07-24,52.25,52.395,51.12,51.16,4235928.0,51.4629,46090
CPRT,2024-07-25,51.5,51.62,50.405,50.43,4661091.0,50.7485,51553
CPRT,2024-07-26,50.88,51.36,50.585,51.05,3969340.0,51.0427,41322
CPRT,2024-07-29,51.13,51.32,50.73,51.05,3163133.0,51.0945,30958
CPRT,2024-07-30,51.42,51.845,51.25,51.72,4807909.0,51.577,40700
CPRT,2024-07-31,52.31,52.64,51.86,52.33,4360279.0,52.3003,42664
CPRT,2024-08-01,52.27,53.19,51.68,52.23,4140895.0,52.1906,48475
CPRT,2024-08-02,52.22,52.27,50.8901,51.73,3767234.0,51.4914,44260
CPRT,2024-08-05,51.36,51.59,50.32,50.93,4545858.0,50.9346,56893
CPRT,2024-08-06,50.78,50.835,49.21,49.66,7245867.0,49.9863,77074
CPRT,2024-08-07,50.02,50.45,49.13,49.19,5222760.0,49.6626,52103
CPRT,2024-08-08,49.415,50.2,49.07,50.09,4756886.0,49.9162,43966
CPRT,2024-08-09,49.97,51.17,49.84,50.99,2904276.0,50.8318,33443
CPRT,2024-08-12,50.78,51.0099,50.1,50.26,2790540.0,50.2946,30835
CPRT,2024-08-13,50.6,51.11,50.12,50.97,4335171.0,50.7532,44718
CPRT,2024-08-14,50.99,51.14,50.62,50.99,4110313.0,50.9352,32610
CPRT,2024-08-15,51.41,51.925,51.15,51.6,6035947.0,51.5288,45040
CPRT,2024-08-16,51.4,51.66,51.08,51.31,3376348.0,51.3711,34694
CPRT,2024-08-19,51.385,51.6,51.15,51.59,3399758.0,51.442,32138
CPRT,2024-08-20,51.59,52.04,51.53,51.98,2853704.0,51.9232,30263
CPRT,2024-08-21,52.21,52.59,51.88,52.45,2592617.0,52.4005,29892
CPRT,2024-08-22,52.61,52.61,52.07,52.24,2483248.0,52.2588,30640
CPRT,2024-08-23,52.53,53.06,52.47,52.76,2126029.0,52.7659,31128
CPRT,2024-08-26,52.88,53.23,52.48,52.56,2442285.0,52.7037,30488
CPRT,2024-08-27,52.54,52.7,52.18,52.59,2884105.0,52.5094,27679
CPRT,2024-08-28,52.74,53.25,52.67,53.21,3615622.0,53.0752,38708
CPRT,2024-08-29,53.18,53.31,52.145,52.4,6025440.0,52.5479,48057
CPRT,2024-08-30,52.57,53.56,52.43,52.96,4919942.0,52.9731,42195
CPRT,2024-09-03,53.06,54.145,53.03,53.52,7222909.0,53.5967,62470
CPRT,2024-09-04,53.5,54.02,52.93,53.05,5999467.0,53.1365,57352
CPRT,2024-09-05,50.0,50.24,48.375,49.51,11425616.0,49.3655,121807
CPRT,2024-09-06,49.7,50.08,48.945,49.46,7844381.0,49.44,67433
CPRT,2024-09-09,49.82,49.97,49.16,49.42,5243885.0,49.4129,53794
CPRT,2024-09-10,49.42,49.6,48.74,49.51,4155087.0,49.2608,45324
CPRT,2024-09-11,49.3,49.45,48.05,49.38,4591573.0,49.0173,47515
CPRT,2024-09-12,49.31,49.721,49.14,49.47,3862042.0,49.4509,45458
CPRT,2024-09-13,49.64,50.38,49.5,50.23,3081075.0,50.1492,36483
CPRT,2024-09-16,50.59,51.03,49.69,49.75,5211541.0,49.9685,51023
CPRT,2024-09-17,50.07,50.815,49.91,50.72,4207612.0,50.6087,49449
CPRT,2024-09-18,51.0,51.92,50.865,51.0,4337344.0,51.2823,53340
CPRT,2024-09-19,51.86,52.115,51.37,51.8,4154857.0,51.8149,45500
CPRT,2024-09-20,51.84,51.84,51.15,51.44,8641146.0,51.4613,41156
CPRT,2024-09-23,51.51,52.01,51.46,51.69,2857422.0,51.7648,31985
CPRT,2024-09-24,51.72,52.495,51.535,52.45,3441603.0,52.1641,35474
CPRT,2024-09-25,52.53,52.59,51.99,52.05,5095099.0,52.1197,36664
CPRT,2024-09-26,52.53,52.7,52.07,52.11,3152165.0,52.2476,36341
CPRT,2024-09-27,52.17,52.3,51.76,52.06,3035714.0,52.0437,36033
CPRT,2024-09-30,52.12,52.5,51.88,52.4,4069191.0,52.3056,44480
CPRT,2024-10-01,52.36,52.83,51.8,52.48,5122847.0,52.4298,38788
CPRT,2024-10-02,52.39,52.8319,52.16,52.65,2519364.0,52.6097,32233
CPRT,2024-10-03,52.43,52.66,52.045,52.19,2681118.0,52.2682,33970
CPRT,2024-10-04,52.8,53.025,52.35,52.9,3682181.0,52.7261,36312
CPRT,2024-10-07,52.58,52.86,52.45,52.76,5239913.0,52.7289,40041
CPRT,2024-10-08,52.98,54.54,52.8,54.44,6713687.0,54.1489,52897
CPRT,2024-10-09,54.51,56.6197,54.51,55.84,7662905.0,55.8261,81403
CPRT,2024-10-10,55.4,56.0,54.99,55.6,6259462.0,55.5801,55613
CPRT,2024-10-11,55.78,56.585,55.73,55.92,3840744.0,56.0649,41415
CPRT,2024-10-14,55.94,55.94,54.995,55.25,3604973.0,55.2212,45980
CPRT,2024-10-15,55.29,55.93,54.5901,54.85,3957610.0,55.0961,47452
CPRT,2024-10-16,54.71,54.91,54.2301,54.54,3864817.0,54.486,38056
CPRT,2024-10-17,54.9,54.95,53.551,53.69,3800584.0,53.8497,38052
CPRT,2024-10-18,53.69,54.075,53.17,53.88,8538483.0,53.8475,42735
CPRT,2024-10-21,53.7,53.85,52.5,52.56,4097637.0,52.8907,47256
CPRT,2024-10-22,52.46,52.46,51.82,52.07,3409121.0,52.0799,40804
CPRT,2024-10-23,51.69,52.13,51.25,51.36,2377402.0,51.4947,28828
CPRT,2024-10-24,51.33,51.575,51.03,51.38,2584991.0,51.3592,33035
CPRT,2024-10-25,51.6409,52.05,51.52,51.71,2311371.0,51.7174,29858
CPRT,2024-10-28,52.17,52.23,51.63,51.85,3030746.0,51.8048,31385
CPRT,2024-10-29,51.52,52.48,51.52,52.18,2258160.0,52.213,29888
CPRT,2024-10-30,52.05,52.52,51.95,52.3,2754501.0,52.3003,30998
CPRT,2024-10-31,52.265,52.42,51.455,51.47,3179402.0,51.6515,36646
CPRT,2024-11-01,51.07,51.88,51.0028,51.49,5209665.0,51.5369,34348
CPRT,2024-11-04,51.46,52.47,51.455,52.445,2541425.0,52.3002,36858
CPRT,2024-11-05,52.59,53.44,52.58,52.89,3858928.0,52.9589,34297
CPRT,2024-11-06,54.48,55.53,54.21,55.44,5501983.0,55.2408,51891
CPRT,2024-11-07,55.53,56.195,55.43,55.77,3958351.0,55.808,38469
CPRT,2024-11-08,55.87,56.57,55.8,56.12,3186506.0,56.1955,36550
CPRT,2024-11-11,56.24,56.99,56.24,56.75,2425721.0,56.7759,28114
CPRT,2024-11-12,56.87,57.24,56.515,57.18,3133031.0,57.0525,38206
CPRT,2024-11-13,57.18,58.075,57.05,57.93,3366695.0,57.841,43061
CPRT,2024-11-14,57.57,58.16,57.29,57.34,3226197.0,57.5614,40120
CPRT,2024-11-15,57.2,57.36,56.455,56.67,3041790.0,56.7481,35557
CPRT,2024-11-18,56.87,57.085,56.54,56.63,3933055.0,56.7585,39347
CPRT,2024-11-19,56.46,56.92,56.17,56.52,4571533.0,56.595,40577
CPRT,2024-11-20,56.37,56.75,55.135,55.42,8155163.0,55.5533,60812
CPRT,2024-11-21,55.94,57.17,55.34,56.9,8778804.0,56.4163,69200
CPRT,2024-11-22,59.82,62.9,59.0501,62.7,9911140.0,62.1419,84363
CPRT,2024-11-25,63.37,64.1925,63.03,63.75,9658766.0,63.7562,64219
CPRT,2024-11-26,63.75,64.19,63.37,63.8,4528088.0,63.8074,39366
CPRT,2024-11-27,64.24,64.38,63.43,63.51,5355127.0,63.5919,59024
CPRT,2024-11-29,63.75,64.06,63.36,63.39,2414853.0,63.4909,22715
CPRT,2024-12-02,63.32,63.39,61.93,62.02,4775655.0,62.1706,38749
CPRT,2024-12-03,62.12,62.36,61.56,62.24,4295267.0,62.0421,41716
CPRT,2024-12-04,62.15,63.24,62.04,62.97,3483799.0,62.9836,35415
CPRT,2024-12-05,62.62,62.7,61.74,61.91,2906996.0,62.0695,31083
CPRT,2024-12-06,62.31,62.43,61.708,62.08,2906421.0,62.0297,30162
CPRT,2024-12-09,62.01,62.4,61.36,61.77,4251885.0,61.7926,38296
CPRT,2024-12-10,61.87,61.91,61.24,61.52,3883276.0,61.5226,40223
CPRT,2024-12-11,61.69,62.78,61.52,62.61,3292419.0,62.5163,29005
CPRT,2024-12-12,62.5,62.83,62.01,62.08,2237681.0,62.2742,26990
CPRT,2024-12-13,62.06,62.08,61.09,61.23,2702567.0,61.299,27601
CPRT,2024-12-16,61.38,61.53,60.91,61.11,2945899.0,61.1962,30787
CPRT,2024-12-17,60.94,61.39,60.47,60.67,3748737.0,60.7737,39653
CPRT,2024-12-18,60.62,61.121,58.9251,58.97,3514204.0,59.4411,39163
CPRT,2024-12-19,58.98,59.29,58.4,58.45,3703360.0,58.5813,36843
CPRT,2024-12-20,58.18,58.98,58.09,58.22,9008924.0,58.3134,39961
CPRT,2024-12-23,58.13,58.485,57.69,58.36,3687712.0,58.2591,33332
CPRT,2024-12-24,58.62,59.115,58.255,59.11,1892504.0,58.9669,15646
CPRT,2024-12-26,58.78,59.18,58.735,59.07,2103846.0,59.0578,19865
CPRT,2024-12-27,58.55,58.85,58.03,58.46,2290666.0,58.3985,27670
CPRT,2024-12-30,58.15,58.2599,57.185,58.13,4803974.0,58.036,54874
CPRT,2024-12-31,58.285,58.4,57.26,57.39,2606311.0,57.4497,30947
CPRT,2025-01-02,57.9,58.015,56.26,56.32,5590571.0,56.5557,42966
CPRT,2025-01-03,56.68,57.305,56.2,56.91,3049667.0,56.9279,30523
CPRT,2025-01-06,56.9,57.24,56.47,56.58,3152552.0,56.7816,39898
CPRT,2025-01-07,56.47,56.89,55.949,56.24,2663206.0,56.2967,32472
CPRT,2025-01-08,56.54,57.04,56.17,56.78,4632136.0,56.7592,32543
CPRT,2025-01-10,56.21,56.295,55.37,55.64,4060081.0,55.6992,42983
CPRT,2025-01-13,55.43,55.82,55.1213,55.63,2882382.0,55.517,34228
CPRT,2025-01-14,55.76,56.41,55.62,56.22,4107504.0,56.1068,37075
