ticker,date,open,high,low,close,volume,vwap,transactions
DDOG,2024-06-17,117.06,118.16,114.691,117.17,3645562.0,116.4149,51617
DDOG,2024-06-18,117.0,118.0,116.05,116.5,2474640.0,116.7826,39865
DDOG,2024-06-20,116.18,116.3,114.68,116.08,3275523.0,115.8294,54875
DDOG,2024-06-21,117.24,117.95,115.93,117.57,4956288.0,117.2258,49169
DDOG,2024-06-24,116.7,120.23,116.6,118.49,2297174.0,118.9568,38946
DDOG,2024-06-25,119.04,120.1399,118.18,119.13,3228888.0,119.3788,38364
DDOG,2024-06-26,118.81,124.165,118.3,123.19,3964944.0,122.8627,62332
DDOG,2024-06-27,123.19,128.88,122.65,128.45,4411402.0,127.4203,69329
DDOG,2024-06-28,129.89,131.1292,128.3,129.69,7170825.0,129.6056,67496
DDOG,2024-07-01,129.04,131.99,127.96,130.5,3938228.0,130.7045,58272
DDOG,2024-07-02,130.09,132.36,129.88,131.75,2855964.0,131.4521,40968
DDOG,2024-07-03,130.83,133.15,130.83,131.5,1773639.0,131.9166,23846
DDOG,2024-07-05,131.0,134.8,130.75,134.56,2535002.0,134.1168,40343
DDOG,2024-07-08,131.58,132.81,129.07,132.4,3769869.0,131.4429,53095
DDOG,2024-07-09,131.7,131.7,125.35,126.63,4834613.0,127.1679,73758
DDOG,2024-07-10,127.55,128.14,123.91,126.29,2717646.0,125.6397,44035
DDOG,2024-07-11,126.41,129.71,125.8,127.19,4250217.0,127.7635,55582
DDOG,2024-07-12,126.99,128.85,125.09,127.8,2863667.0,127.8385,37754
DDOG,2024-07-15,129.375,130.5979,126.17,129.415,2503284.0,129.5935,35884
DDOG,2024-07-16,131.5,131.65,129.31,130.77,3156854.0,130.361,45098
DDOG,2024-07-17,123.5,125.07,120.25,121.16,6842693.0,122.1775,95133
DDOG,2024-07-18,121.7,123.21,117.86,118.82,3715621.0,119.9409,61061
DDOG,2024-07-19,118.58,120.52,118.205,119.03,2538558.0,119.1629,39721
