ticker,date,open,high,low,close,volume,vwap,transactions
GILD,2024-06-17,64.75,64.9444,64.0,64.27,5915788.0,64.4481,57703
GILD,2024-06-18,64.17,64.34,62.685,63.15,6684551.0,63.233,61959
GILD,2024-06-20,65.03,69.47,64.86,68.49,25061693.0,67.9059,210663
GILD,2024-06-21,71.55,72.18,69.56,70.67,31302588.0,70.7491,183255
GILD,2024-06-24,71.0,72.07,70.56,70.73,10915468.0,71.1205,100061
GILD,2024-06-25,70.64,71.4831,69.525,69.61,9401473.0,69.944,77976
GILD,2024-06-26,69.19,70.23,68.9,69.31,5795227.0,69.3605,58943
GILD,2024-06-27,69.14,69.59,68.52,68.83,7176254.0,68.9075,60936
GILD,2024-06-28,68.83,69.0,68.06,68.61,9590049.0,68.6025,58238
GILD,2024-07-01,68.63,69.99,68.5,68.64,5250960.0,68.9628,55142
GILD,2024-07-02,68.3001,68.49,67.58,68.4,4846198.0,68.2059,56512
GILD,2024-07-03,68.24,68.33,66.58,66.59,3995673.0,66.918,43733
GILD,2024-07-05,66.62,66.93,66.01,66.69,4211698.0,66.5834,48611
GILD,2024-07-08,67.865,68.18,67.03,67.55,5746976.0,67.6296,64630
GILD,2024-07-09,67.1,67.97,66.34,67.76,5364467.0,67.4008,58103
GILD,2024-07-10,67.83,68.86,67.65,68.75,4101571.0,68.5364,44502
GILD,2024-07-11,68.22,70.3,68.14,69.97,9598371.0,69.6767,64771
GILD,2024-07-12,70.25,70.68,69.91,69.96,5101030.0,70.1786,50700
GILD,2024-07-15,70.4,71.245,70.21,70.81,7569321.0,70.8394,57545
GILD,2024-07-16,70.33,72.05,70.33,71.64,5129668.0,71.6128,58217
GILD,2024-07-17,72.01,73.98,72.01,73.3,7220076.0,73.0199,80456
GILD,2024-07-18,72.6,74.92,72.4983,73.51,8120132.0,73.8713,83908
GILD,2024-07-19,73.51,73.74,71.96,72.56,5571805.0,72.6089,62730
GILD,2024-07-22,72.89,73.32,72.02,72.41,6420756.0,72.4509,49212
GILD,2024-07-23,71.95,72.29,70.78,71.17,4502431.0,71.219,56778
GILD,2024-07-24,71.66,73.5999,71.42,73.5,6599992.0,73.0598,71874
GILD,2024-07-25,74.75,77.34,74.38,76.51,11733380.0,76.2977,131936
GILD,2024-07-26,76.03,78.29,75.74,77.01,7453639.0,77.2127,77994
GILD,2024-07-29,77.12,77.98,76.81,77.73,4571229.0,77.6233,58761
GILD,2024-07-30,77.42,78.45,76.6201,78.05,6120753.0,77.88,72292
GILD,2024-07-31,77.89,77.97,75.87,76.06,7051985.0,76.6246,68442
GILD,2024-08-01,76.11,77.21,75.805,76.49,5662514.0,76.5718,70390
GILD,2024-08-02,77.79,78.21,75.54,76.77,6458108.0,76.6739,71235
GILD,2024-08-05,76.88,77.18,74.29,74.83,7349147.0,75.0818,82204
GILD,2024-08-06,74.5,75.51,74.15,74.19,5311082.0,74.5689,53371
GILD,2024-08-07,74.51,75.32,73.95,74.0,4214724.0,74.3324,50323
GILD,2024-08-08,74.05,75.75,73.77,75.59,7786349.0,75.2136,71428
GILD,2024-08-09,74.94,76.252,72.81,73.66,9545056.0,73.707,90915
GILD,2024-08-12,73.34,73.49,72.43,72.99,5606870.0,72.958,58265
GILD,2024-08-13,72.95,74.25,72.67,73.98,4356873.0,73.8832,52638
GILD,2024-08-14,73.51,74.345,72.99,74.14,4747771.0,73.9948,47784
GILD,2024-08-15,74.38,75.01,73.75,74.34,5196720.0,74.25,50586
GILD,2024-08-16,73.94,74.24,72.885,73.78,5148098.0,73.6496,57459
