ticker,date,open,high,low,close,volume,vwap,transactions
GOOGL,2024-06-17,175.46,178.36,174.81,177.24,19618497.0,176.6844,284595
GOOGL,2024-06-18,177.14,177.385,174.1042,175.09,21869857.0,175.2896,321696
GOOGL,2024-06-20,175.37,177.29,174.99,176.3,20160085.0,175.9804,305841
GOOGL,2024-06-21,177.0,180.85,176.61,179.63,58582743.0,179.2658,422118
GOOGL,2024-06-24,180.16,180.89,178.67,179.22,18298012.0,179.4463,309075
GOOGL,2024-06-25,179.62,184.29,179.42,184.03,23235589.0,182.6747,322242
GOOGL,2024-06-26,182.63,184.51,182.48,183.88,19838972.0,183.7422,284945
GOOGL,2024-06-27,184.18,186.05,184.02,185.41,18848884.0,185.2016,281443
GOOGL,2024-06-28,184.32,185.13,181.96,182.15,29156644.0,183.0921,342724
GOOGL,2024-07-01,183.03,183.88,181.3,182.99,16006128.0,182.6625,281132
GOOGL,2024-07-02,182.05,185.57,181.56,185.24,17372485.0,184.2201,248414
GOOGL,2024-07-03,184.85,186.09,184.0,185.82,10242126.0,185.3835,225534
GOOGL,2024-07-05,185.855,190.86,185.8,190.6,20967450.0,189.8235,341295
GOOGL,2024-07-08,189.895,190.17,187.78,189.03,21035886.0,189.0051,329804
GOOGL,2024-07-09,190.31,191.36,188.72,188.98,15141312.0,189.6468,282781
GOOGL,2024-07-10,189.15,191.75,189.03,191.18,15952454.0,190.7479,262866
GOOGL,2024-07-11,189.845,190.86,185.08,185.57,25625784.0,186.7038,411474
GOOGL,2024-07-12,185.08,187.11,184.49,185.07,22898406.0,185.5846,370733
GOOGL,2024-07-15,184.92,188.24,184.92,186.53,16474043.0,186.6856,325579
GOOGL,2024-07-16,187.36,188.68,183.3736,183.92,18290722.0,184.9697,330943
GOOGL,2024-07-17,182.965,183.55,179.9,181.02,20734071.0,181.1635,439794
GOOGL,2024-07-18,181.93,182.5,176.47,177.69,25315727.0,178.1415,466137
GOOGL,2024-07-19,178.88,180.29,177.13,177.66,18881885.0,178.3717,325218
GOOGL,2024-07-22,180.59,182.7,180.23,181.67,24100345.0,181.7048,375270
GOOGL,2024-07-23,182.05,183.61,181.54,181.79,36352714.0,182.438,528118
GOOGL,2024-07-24,173.6,176.19,171.82,172.63,49585203.0,173.4359,770621
GOOGL,2024-07-25,172.52,173.42,167.19,167.28,44851973.0,169.7029,712312
GOOGL,2024-07-26,167.15,168.09,164.06,167.0,41336886.0,166.2856,596946
GOOGL,2024-07-29,168.83,170.43,167.99,169.53,20293822.0,169.3871,327469
GOOGL,2024-07-30,170.24,171.2299,168.44,170.29,18959686.0,169.9609,327934
GOOGL,2024-07-31,173.24,174.245,170.01,171.54,25729090.0,171.5752,345903
GOOGL,2024-08-01,170.25,174.05,168.88,170.76,24531392.0,170.9791,413336
GOOGL,2024-08-02,166.44,168.51,164.67,166.66,29130102.0,166.1927,494021
GOOGL,2024-08-05,155.5,164.43,154.93,159.25,53630673.0,160.0875,947908
GOOGL,2024-08-06,159.33,160.57,156.41,158.29,49004561.0,158.7165,610681
GOOGL,2024-08-07,161.25,162.98,158.47,158.94,25138573.0,160.1829,437084
GOOGL,2024-08-08,160.51,163.69,160.21,162.03,25578839.0,162.2956,351853
GOOGL,2024-08-09,160.01,163.79,159.06,163.67,28602285.0,161.3255,381362
GOOGL,2024-08-12,164.35,164.9,161.84,162.29,15895286.0,162.8653,271755
GOOGL,2024-08-13,163.41,164.73,162.97,164.16,18551690.0,163.8423,280745
GOOGL,2024-08-14,162.4,163.22,157.71,160.37,40591126.0,159.5615,516290
GOOGL,2024-08-15,160.5,161.635,159.61,161.3,31524252.0,160.8501,383965
GOOGL,2024-08-16,161.47,165.06,161.13,162.96,24208647.0,163.2723,360419
GOOGL,2024-08-19,165.28,166.69,164.26,166.67,22416185.0,165.655,323388
GOOGL,2024-08-20,166.9,168.64,166.82,167.18,18341533.0,167.539,277233
GOOGL,2024-08-21,165.15,166.85,164.67,165.85,22901997.0,165.7994,312962
GOOGL,2024-08-22,167.26,167.59,163.31,163.8,22493275.0,164.697,324776
GOOGL,2024-08-23,164.72,166.18,163.83,165.62,13955741.0,165.2105,266190
GOOGL,2024-08-26,166.38,167.55,164.455,166.16,14190417.0,165.9735,247950
GOOGL,2024-08-27,165.835,166.4426,164.46,164.68,11821941.0,165.3595,227941
GOOGL,2024-08-28,165.035,165.6,161.5284,162.85,16407444.0,162.7868,289246
GOOGL,2024-08-29,164.31,165.97,160.25,161.78,19699767.0,162.8693,347578
GOOGL,2024-08-30,162.615,163.66,161.6925,163.38,22123811.0,162.9369,277939
GOOGL,2024-09-03,161.72,161.85,156.48,157.36,38945301.0,158.9041,498887
GOOGL,2024-09-04,156.655,159.0,155.9616,156.45,19353759.0,157.0674,367710
GOOGL,2024-09-05,156.3,159.45,155.9805,157.24,18688747.0,157.4711,328458
GOOGL,2024-09-06,157.3,157.83,150.55,150.92,37912130.0,152.1901,521892
GOOGL,2024-09-09,152.51,153.4,147.215,148.71,39260451.0,149.2494,549274
GOOGL,2024-09-10,150.45,151.27,148.34,148.66,31118765.0,149.3434,408215
GOOGL,2024-09-11,149.92,151.5,147.52,151.16,29607693.0,149.9714,419822
GOOGL,2024-09-12,153.8,154.82,152.65,154.69,29695048.0,154.0366,434119
GOOGL,2024-09-13,155.43,158.38,155.21,157.46,29591152.0,157.1671,392712
GOOGL,2024-09-16,157.31,158.25,156.6,158.06,18379775.0,157.7764,317510
GOOGL,2024-09-17,159.02,160.55,158.375,159.32,20715612.0,159.2795,314578
GOOGL,2024-09-18,159.86,160.5,158.595,159.81,23677315.0,159.6647,390384
GOOGL,2024-09-19,163.71,163.79,161.34,162.14,26587733.0,162.5534,361428
GOOGL,2024-09-20,163.5,163.73,162.06,163.59,40896438.0,163.3363,319691
GOOGL,2024-09-23,164.35,165.49,161.67,161.85,24150852.0,162.7782,311175
GOOGL,2024-09-24,163.03,163.2158,160.69,162.29,23332147.0,162.2446,273882
GOOGL,2024-09-25,161.47,162.81,161.3,161.49,18869199.0,161.8517,280359
GOOGL,2024-09-26,163.64,164.08,162.28,162.73,20319336.0,162.9269,263392
GOOGL,2024-09-27,162.81,165.7,162.6261,163.95,21101307.0,164.1979,292054
GOOGL,2024-09-30,163.32,166.15,163.26,165.85,20481303.0,165.1576,291009
GOOGL,2024-10-01,167.685,169.16,164.58,166.99,28338123.0,166.7153,409707
GOOGL,2024-10-02,166.42,167.52,164.73,165.86,17760179.0,165.6769,284543
GOOGL,2024-10-03,164.41,166.64,163.923,165.86,15073101.0,165.6269,246872
GOOGL,2024-10-04,168.06,168.23,165.48,167.06,19093724.0,166.7164,276149
GOOGL,2024-10-07,167.72,168.48,162.75,162.98,22463140.0,164.5103,325249
GOOGL,2024-10-08,163.94,164.725,162.87,164.38,23072733.0,163.8325,235550
GOOGL,2024-10-09,163.45,164.84,159.74,161.86,31181774.0,161.6624,475082
GOOGL,2024-10-10,160.87,163.07,160.395,162.08,14144068.0,162.0478,255064
GOOGL,2024-10-11,162.13,163.9,161.235,163.24,15344251.0,163.0984,250890
GOOGL,2024-10-14,163.64,166.226,163.4,164.96,19016141.0,164.9699,251253
GOOGL,2024-10-15,165.785,167.68,164.625,165.46,20247195.0,165.7582,320945
GOOGL,2024-10-16,164.53,165.8,163.74,165.16,16406030.0,164.8869,240255
GOOGL,2024-10-17,165.73,166.37,162.76,162.93,21453395.0,163.7807,326872
GOOGL,2024-10-18,163.19,164.71,163.08,163.42,19757661.0,163.6768,259571
GOOGL,2024-10-21,162.95,164.5,162.62,164.07,20946455.0,163.8926,253661
GOOGL,2024-10-22,162.98,165.77,162.98,165.14,16568121.0,164.8323,238533
GOOGL,2024-10-23,164.76,165.82,161.925,162.78,18280518.0,163.0988,285297
GOOGL,2024-10-24,162.83,163.33,161.01,162.72,22412527.0,162.5212,303088
GOOGL,2024-10-25,163.67,165.59,163.42,165.27,19828884.0,164.9835,298665
GOOGL,2024-10-28,168.75,168.75,163.95,166.72,32138641.0,166.7405,463018
GOOGL,2024-10-29,167.73,170.38,167.0896,169.68,42169025.0,171.0696,583786
GOOGL,2024-10-30,180.68,182.02,174.0599,174.46,68890787.0,178.1847,935794
GOOGL,2024-10-31,173.13,176.82,171.0,171.11,44768981.0,172.8801,605352
GOOGL,2024-11-01,170.07,172.32,168.88,171.29,31796477.0,171.2424,432223
GOOGL,2024-11-04,169.93,170.73,168.011,169.24,21492744.0,169.2764,324562
GOOGL,2024-11-05,169.43,170.53,168.84,169.74,18242050.0,169.7269,248015
GOOGL,2024-11-06,173.8,176.94,173.5,176.51,33695538.0,175.5983,488421
GOOGL,2024-11-07,177.41,181.08,177.19,180.75,25352939.0,179.68,395830
GOOGL,2024-11-08,180.645,180.9,178.08,178.35,22006182.0,178.806,322850
GOOGL,2024-11-11,178.58,180.545,178.47,180.35,17450354.0,179.9466,254287
GOOGL,2024-11-12,179.82,182.49,179.39,181.62,25134905.0,181.2314,301849
GOOGL,2024-11-13,180.46,180.96,178.54,178.88,23184003.0,179.2539,282857
GOOGL,2024-11-14,178.28,178.82,174.3218,175.58,31007457.0,175.7098,345251
GOOGL,2024-11-15,173.73,174.14,171.22,172.49,32504649.0,172.4589,347620
GOOGL,2024-11-18,173.42,175.438,172.9,175.3,20206613.0,174.6029,255227
GOOGL,2024-11-19,173.72,178.87,173.56,178.12,23434925.0,177.0223,315070
GOOGL,2024-11-20,177.34,177.675,173.78,175.98,18997111.0,175.485,250271
GOOGL,2024-11-21,173.9,174.13,163.7,167.63,59734379.0,166.7868,832139
GOOGL,2024-11-22,165.85,166.46,163.9,164.76,38604587.0,165.1778,490822
GOOGL,2024-11-25,166.09,168.63,165.6072,167.65,33135263.0,167.5123,358441
GOOGL,2024-11-26,167.63,169.82,167.58,169.12,20486720.0,168.9513,268773
GOOGL,2024-11-27,169.0,169.4832,168.02,169.23,19266511.0,169.1236,204928
GOOGL,2024-11-29,168.5,169.43,167.16,168.95,14257244.0,168.6929,184272
GOOGL,2024-12-02,168.765,172.075,168.57,171.49,23789084.0,171.2541,273500
GOOGL,2024-12-03,171.49,172.68,170.85,171.34,22248705.0,171.422,240842
GOOGL,2024-12-04,171.145,174.91,171.06,174.37,31615137.0,173.6317,302782
GOOGL,2024-12-05,175.36,176.06,172.33,172.64,21356243.0,173.5498,279424
GOOGL,2024-12-06,172.03,175.08,171.86,174.71,21462393.0,174.3944,265162
GOOGL,2024-12-09,173.96,176.26,173.65,175.37,25389631.0,175.2252,315848
GOOGL,2024-12-10,182.845,186.36,181.05,185.17,54813022.0,183.9698,768708
GOOGL,2024-12-11,185.31,195.61,184.85,195.4,67894071.0,192.4492,821975
GOOGL,2024-12-12,195.0,195.18,191.71,191.96,34817486.0,193.4107,462229
GOOGL,2024-12-13,191.01,192.73,189.64,189.82,25143495.0,190.7944,328990
GOOGL,2024-12-16,192.87,199.0,192.62,196.66,44934901.0,196.6063,490169
GOOGL,2024-12-17,197.25,201.42,194.98,195.42,43504025.0,196.9303,514813
GOOGL,2024-12-18,195.22,197.0,187.74,188.4,34166074.0,191.5092,423247
GOOGL,2024-12-19,191.625,193.03,188.38,188.51,32265241.0,189.9432,417946
GOOGL,2024-12-20,185.78,192.89,185.22,191.41,63462934.0,190.4917,424231
GOOGL,2024-12-23,192.62,195.1,190.15,194.63,25675014.0,193.7025,310992
GOOGL,2024-12-24,194.84,196.11,193.78,196.11,10403259.0,195.5292,155818
GOOGL,2024-12-26,195.15,196.748,194.375,195.6,12057210.0,195.8087,196317
GOOGL,2024-12-27,194.95,195.32,190.65,192.76,18891362.0,192.4079,284116
GOOGL,2024-12-30,189.8,192.55,189.12,191.24,14264659.0,191.1967,255690
GOOGL,2024-12-31,191.075,191.96,188.51,189.3,17466919.0,189.9262,239949
GOOGL,2025-01-02,190.65,192.0,187.5,189.43,20370828.0,189.585,328515
GOOGL,2025-01-03,191.37,193.21,189.975,191.79,18596159.0,191.744,261756
GOOGL,2025-01-06,193.98,198.2222,193.85,196.87,29563638.0,196.6983,385128
GOOGL,2025-01-07,197.11,201.0,194.6,195.49,26487244.0,196.9118,363663
GOOGL,2025-01-08,192.57,196.29,192.38,193.95,24864766.0,194.3292,339162
GOOGL,2025-01-10,194.295,196.52,190.31,192.04,26665206.0,192.7975,379247
GOOGL,2025-01-13,190.07,191.18,187.36,191.01,21823699.0,190.091,299678
GOOGL,2025-01-14,191.24,191.98,188.3082,189.66,17174854.0,190.0464,236897
GOOGL,2025-01-15,193.09,196.36,191.86,195.55,21775969.0,194.8156,270843
GOOGL,2025-01-16,194.14,195.48,192.81,192.91,17815432.0,193.805,243139
GOOGL,2025-01-17,196.53,197.23,193.75,196.0,27735089.0,195.9514,277088
GOOGL,2025-01-21,199.07,202.29,197.87,198.05,29971292.0,198.9273,440060
GOOGL,2025-01-22,199.06,200.48,197.53,198.37,26200617.0,198.8199,343060
GOOGL,2025-01-23,198.14,200.3,195.2,197.98,26951357.0,197.9201,332356
GOOGL,2025-01-24,198.1,200.9,198.0,200.21,23877521.0,199.7579,293405
GOOGL,2025-01-27,192.41,196.88,190.73,191.81,41728893.0,192.9207,617250
GOOGL,2025-01-28,192.745,195.48,190.68,195.3,24157929.0,194.4465,332199
GOOGL,2025-01-29,195.555,196.785,193.43,195.41,18218256.0,195.138,276385
