ticker,date,open,high,low,close,volume,vwap,transactions
HON,2024-06-17,196.0415,199.9717,195.6079,199.7644,3289872.408,198.5297,47469
HON,2024-06-18,198.9067,200.9661,198.3318,200.6315,2592403.899,200.158,46202
HON,2024-06-20,201.131,202.8181,200.6315,201.8285,4288802.847,201.8957,58947
HON,2024-06-21,203.3789,203.6569,201.2442,202.7238,8412719.928,202.7117,57251
HON,2024-06-24,202.8369,205.8058,202.5542,203.4779,3112165.518,204.207,47574
HON,2024-06-25,204.3638,204.3638,201.4326,202.1206,3151841.613,202.1939,36676
HON,2024-06-26,201.2724,201.7625,199.4345,201.1593,2306468.643,201.0898,38155
HON,2024-06-27,201.9793,202.9689,200.7634,202.0547,2029924.298,202.134,40938
HON,2024-06-28,201.8285,203.7229,199.0009,201.263,5097909.776,201.1038,50675
HON,2024-07-01,200.886,203.1385,198.7465,198.8219,2279526.67,199.6462,39499
HON,2024-07-02,199.5947,201.0179,198.8313,200.9708,2024951.391,200.5319,36780
HON,2024-07-03,200.754,201.0085,199.8783,200.2451,1153014.164,200.417,20648
HON,2024-07-05,200.3487,200.6692,198.6239,200.0377,1437952.08,199.9184,31292
HON,2024-07-08,199.7078,200.9708,198.8878,199.4628,1950219.856,199.5418,34126
HON,2024-07-09,199.5193,199.9057,198.4543,198.492,1459274.997,198.9741,25816
HON,2024-07-10,199.0575,202.5825,198.6475,202.1583,1901075.397,201.606,32428
HON,2024-07-11,202.639,204.213,201.3666,202.4976,2866345.611,202.8492,47429
HON,2024-07-12,203.1385,204.3827,200.1207,202.7427,2216831.119,202.7422,42538
HON,2024-07-15,202.0735,203.8926,201.1404,203.3176,1837873.749,202.8303,36382
HON,2024-07-16,203.4402,206.4185,203.2516,205.9095,3160157.731,205.5044,47462
HON,2024-07-17,206.409,208.0207,205.3205,207.5495,2852118.662,207.2736,49743
HON,2024-07-18,207.3327,208.0961,205.0141,205.1555,2297532.901,206.1608,41970
HON,2024-07-19,205.2121,205.5985,201.9237,202.2714,2822885.99,203.0854,39817
HON,2024-07-22,202.8935,204.6277,201.3478,204.4958,2954479.698,203.8551,36337
HON,2024-07-23,204.5052,206.2771,203.7747,204.8822,1900514.128,205.136,34313
HON,2024-07-24,204.8822,205.2451,200.8765,201.3666,3739724.737,202.0259,51639
HON,2024-07-25,191.131,193.4278,187.5589,190.8106,7091395.09,191.1504,92086
HON,2024-07-26,191.3572,195.853,186.8426,191.0839,7907135.391,190.7174,97824
HON,2024-07-29,191.8285,192.0452,187.6814,189.8209,3049318.244,189.4216,50878
HON,2024-07-30,190.3393,192.2243,189.8822,190.9896,2767587.731,191.0465,43438
HON,2024-07-31,192.0452,194.8728,190.5184,192.9783,3526616.521,193.3355,49789
HON,2024-08-01,192.5825,194.8728,189.9152,192.8181,3971282.682,192.017,64905
HON,2024-08-02,196.2771,196.9463,189.7306,191.9793,3583822.458,192.0563,62264
HON,2024-08-05,190.886,190.886,185.5796,188.2281,4154318.975,188.1778,73905
HON,2024-08-06,188.2187,190.5561,187.0782,187.3704,3850454.941,188.3541,67851
HON,2024-08-07,189.0198,192.2279,186.3336,186.541,3492998.736,188.743,52546
HON,2024-08-08,186.541,189.0104,186.541,188.3318,2611265.296,188.1088,41638
HON,2024-08-09,187.5825,187.7097,186.164,186.8332,2003328.211,186.9556,36960
