ticker,date,open,high,low,close,volume,vwap,transactions
INSM,2024-06-17,62.99,64.98,61.66,64.7,3074122.0,64.0675,35952
INSM,2024-06-18,64.8,65.98,63.64,65.58,3088536.0,65.1876,40729
INSM,2024-06-20,65.41,66.98,63.8,64.71,2365940.0,64.984,29315
INSM,2024-06-21,65.28,68.08,64.7901,67.99,5547096.0,67.4315,35236
INSM,2024-06-24,67.38,69.74,67.37,68.43,3283959.0,68.7756,40125
INSM,2024-06-25,69.54,70.65,68.75,69.71,3882363.0,69.7458,38622
INSM,2024-06-26,70.0,70.0,67.75,68.98,2018330.0,68.9689,25043
INSM,2024-06-27,69.35,70.48,66.69,66.95,2382015.0,67.9158,30370
INSM,2024-06-28,67.25,67.4999,65.14,67.0,4800029.0,66.6989,32002
INSM,2024-07-01,66.45,67.35,65.08,66.34,3966947.0,66.2732,34912
INSM,2024-07-02,65.83,66.88,63.88,64.5,2824770.0,64.6435,30152
INSM,2024-07-03,64.29,64.68,61.52,62.0,1993076.0,62.5899,21366
INSM,2024-07-05,63.06,70.0,62.84,70.0,4139258.0,67.7748,42007
INSM,2024-07-08,69.59,70.75,67.92,70.05,2679797.0,69.7969,30001
INSM,2024-07-09,70.05,71.32,68.75,70.27,3013202.0,70.045,24941
INSM,2024-07-10,71.25,73.2799,70.28,73.1,2283130.0,72.0371,27315
INSM,2024-07-11,73.77,77.26,73.43,77.03,3687908.0,75.8131,37141
INSM,2024-07-12,77.0,77.93,75.57,76.71,4877109.0,76.6061,32838
INSM,2024-07-15,76.39,78.03,75.04,77.47,2183535.0,77.2124,25424
INSM,2024-07-16,78.3,78.87,76.245,77.98,2077625.0,77.5647,31038
INSM,2024-07-17,77.45,77.74,74.64,75.54,2271967.0,75.5167,30726
INSM,2024-07-18,75.57,77.1194,73.7,75.06,2390655.0,74.9683,27694
INSM,2024-07-19,75.66,77.0001,74.34,75.97,1260725.0,76.1771,18339
INSM,2024-07-22,76.54,77.4,75.2375,76.28,1659137.0,76.0669,22090
INSM,2024-07-23,75.61,76.95,75.6,75.99,1218270.0,76.0927,18935
INSM,2024-07-24,75.32,75.86,73.2417,74.43,1580535.0,74.5576,20520
INSM,2024-07-25,74.27,76.13,73.62,74.5,1718631.0,75.0687,23092
INSM,2024-07-26,75.28,75.28,72.9,74.54,1423882.0,74.1305,19474
INSM,2024-07-29,75.0,75.68,73.15,74.56,1206333.0,74.2366,16112
INSM,2024-07-30,74.56,77.1,72.88,72.91,1770364.0,74.3347,23974
INSM,2024-07-31,73.45,74.62,72.055,72.75,1576972.0,73.1667,22198
INSM,2024-08-01,72.85,75.64,72.33,75.33,1782560.0,74.8222,24681
INSM,2024-08-02,73.45,74.08,71.07,71.81,1862893.0,71.8932,28198
INSM,2024-08-05,67.31,72.4,67.22,71.19,2129422.0,70.7792,26661
INSM,2024-08-06,72.29,74.2,71.15,72.68,1306224.0,72.7879,20875
INSM,2024-08-07,73.67,73.67,70.29,70.99,1219912.0,71.2048,19821
INSM,2024-08-08,69.04,72.82,68.25,71.81,1586880.0,70.7003,24025
INSM,2024-08-09,72.81,74.01,71.895,73.98,1535316.0,73.4298,20471
INSM,2024-08-12,73.5,74.14,72.2,74.09,2219149.0,73.3251,28092
INSM,2024-08-13,75.81,77.05,74.95,76.38,1909282.0,76.086,26719
INSM,2024-08-14,76.5,76.9317,74.41,74.87,1665378.0,75.2984,24718
INSM,2024-08-15,75.41,75.55,70.56,74.14,2854887.0,73.444,36762
INSM,2024-08-16,73.34,78.5,73.26,76.2,5121134.0,76.0271,53545
INSM,2024-08-19,75.9,77.64,75.5,77.59,2425767.0,77.0374,28588
INSM,2024-08-20,77.23,77.5,74.625,76.19,2216387.0,76.0484,21748
INSM,2024-08-21,76.15,77.19,75.64,77.01,1725063.0,76.6163,24031
INSM,2024-08-22,77.2,80.53,76.51,79.01,3396093.0,78.7465,35468
INSM,2024-08-23,79.09,80.3,76.74,78.84,4967392.0,78.724,50054
INSM,2024-08-26,79.0,79.06,75.02,75.21,2381301.0,75.9918,31504
INSM,2024-08-27,74.99,77.3599,74.06,77.11,1636417.0,76.2984,25628
INSM,2024-08-28,76.97,77.7594,76.01,76.53,1520251.0,76.8014,19742
INSM,2024-08-29,76.7,78.24,76.23,76.33,1166758.0,77.0513,19014
INSM,2024-08-30,76.49,76.785,74.74,76.47,1721936.0,76.092,20953
INSM,2024-09-03,77.55,78.1,73.18,73.305,2175793.0,74.2096,28649
INSM,2024-09-04,72.62,75.49,71.8201,75.25,1347439.0,74.5828,21823
INSM,2024-09-05,75.39,75.68,72.73,72.91,889557.0,73.3638,18344
INSM,2024-09-06,72.72,73.22,70.19,71.04,1752036.0,71.1965,27326
INSM,2024-09-09,71.29,72.88,71.06,71.82,2344995.0,72.1435,31132
INSM,2024-09-10,71.46,72.12,70.6325,71.57,2057965.0,71.5108,26208
INSM,2024-09-11,71.25,74.43,71.13,72.76,1567524.0,73.0843,25794
INSM,2024-09-12,72.73,74.93,72.68,73.91,1366141.0,74.1879,21425
INSM,2024-09-13,74.14,74.91,73.52,74.66,1495656.0,74.4315,20162
INSM,2024-09-16,74.93,75.56,72.44,73.23,1402957.0,73.4181,24042
INSM,2024-09-17,73.58,75.48,72.38,73.26,1368213.0,73.6233,26800
INSM,2024-09-18,73.58,74.53,72.58,72.87,1489359.0,73.1373,26338
INSM,2024-09-19,74.1,76.26,73.67,74.97,1873729.0,75.0019,26095
INSM,2024-09-20,74.86,75.53,73.8325,74.21,7110696.0,74.3423,34270
INSM,2024-09-23,74.01,74.615,71.19,71.82,1737361.0,72.0145,28156
INSM,2024-09-24,71.79,72.78,70.0,72.63,1900758.0,71.8977,28059
INSM,2024-09-25,72.74,73.46,72.22,72.735,1457025.0,72.8015,22101
INSM,2024-09-26,73.33,73.8,72.1602,72.87,1560937.0,72.8358,19382
INSM,2024-09-27,73.05,73.28,72.04,72.48,879133.0,72.553,16282
INSM,2024-09-30,72.63,74.19,71.65,73.0,1780769.0,73.086,26099
INSM,2024-10-01,73.0,73.12,71.74,72.88,1291180.0,72.583,21242
INSM,2024-10-02,72.0,73.6,71.17,73.02,2059617.0,72.8502,21260
INSM,2024-10-03,72.62,73.81,71.11,71.4,1121943.0,72.0821,16668
INSM,2024-10-04,72.31,72.68,71.17,72.27,1251808.0,71.8693,15546
INSM,2024-10-07,72.14,72.36,70.2,70.5,960338.0,70.7807,14772
INSM,2024-10-08,70.78,72.59,70.4,71.37,1033454.0,71.7976,15575
INSM,2024-10-09,71.27,71.39,69.71,69.96,1150596.0,70.1314,16308
INSM,2024-10-10,69.36,71.75,69.08,71.7,911660.0,71.001,15720
INSM,2024-10-11,72.15,74.59,71.54,74.56,1327808.0,73.7816,21430
INSM,2024-10-14,74.56,75.46,73.74,75.08,1028965.0,74.9137,15675
INSM,2024-10-15,75.27,75.67,74.0567,74.66,813455.0,74.8471,14072
INSM,2024-10-16,74.87,77.7,74.6766,76.65,991959.0,76.4649,14888
INSM,2024-10-17,76.51,76.9,73.99,74.27,1211499.0,74.7806,21671
INSM,2024-10-18,74.46,75.75,74.16,74.54,906260.0,74.844,15280
