ticker,date,open,high,low,close,volume,vwap,transactions
KDP,2024-06-17,34.24,34.73,33.93,34.69,8986824.0,34.4592,53593
KDP,2024-06-18,34.67,34.77,34.28,34.49,4621904.0,34.4871,32339
KDP,2024-06-20,34.43,34.52,33.94,34.21,7070331.0,34.1856,43314
KDP,2024-06-21,34.41,34.675,34.11,34.38,17518647.0,34.3908,45504
KDP,2024-06-24,34.41,34.7,34.26,34.67,7818520.0,34.5488,41116
KDP,2024-06-25,34.68,34.81,34.28,34.41,7249163.0,34.4262,38048
KDP,2024-06-26,34.19,34.45,33.97,34.36,4762809.0,34.3485,34697
KDP,2024-06-27,34.51,34.58,33.99,34.12,9231925.0,34.1889,53972
KDP,2024-06-28,33.87,33.87,33.31,33.4,12137923.0,33.4675,56790
KDP,2024-07-01,33.4,33.61,32.8,32.84,5835990.0,32.9777,43371
KDP,2024-07-02,32.96,33.0082,32.57,32.78,9243341.0,32.784,55721
KDP,2024-07-03,32.76,32.93,32.57,32.72,5340776.0,32.7824,26881
KDP,2024-07-05,32.72,32.8,32.47,32.66,7262886.0,32.6274,36275
KDP,2024-07-08,32.54,32.64,32.17,32.29,12206976.0,32.3578,45755
KDP,2024-07-09,32.38,32.4,31.93,31.95,6775049.0,32.1267,44789
KDP,2024-07-10,31.99,32.3171,31.842,31.95,10725614.0,31.9949,61969
KDP,2024-07-11,31.8,32.58,31.8,32.43,6835811.0,32.3755,53741
KDP,2024-07-12,32.37,32.8,32.37,32.62,4638680.0,32.6287,37018
KDP,2024-07-15,32.52,32.85,32.42,32.67,9470051.0,32.6942,40236
KDP,2024-07-16,32.68,32.98,32.54,32.66,7813614.0,32.675,39254
KDP,2024-07-17,32.87,33.18,32.79,33.08,13082562.0,32.9971,61496
KDP,2024-07-18,33.02,33.61,32.95,33.14,6338483.0,33.2855,48561
KDP,2024-07-19,33.39,33.43,32.725,32.98,4626739.0,32.9597,36837
KDP,2024-07-22,32.98,33.12,32.745,32.83,7473132.0,32.9228,47402
KDP,2024-07-23,32.78,32.955,32.56,32.63,6729975.0,32.6966,49878
KDP,2024-07-24,32.76,32.84,32.265,32.77,11507850.0,32.6231,71923
