ticker,date,open,high,low,close,volume,vwap,transactions
LIN,2024-06-17,436.36,443.28,435.005,440.63,1939053.0,439.8759,37449
LIN,2024-06-18,439.61,440.75,435.23,440.02,1384539.0,439.2192,30905
LIN,2024-06-20,439.08,445.22,438.48,442.63,1626052.0,442.5701,37428
LIN,2024-06-21,443.4,443.98,440.0,442.75,4046155.0,442.6921,31918
LIN,2024-06-24,444.74,446.48,442.14,443.14,1441134.0,443.7172,32571
LIN,2024-06-25,443.98,445.07,440.33,441.17,1522986.0,441.517,23835
LIN,2024-06-26,439.78,440.67,436.35,438.42,1634386.0,438.4656,31209
LIN,2024-06-27,440.67,441.53,437.55,440.22,1236489.0,439.4864,30481
LIN,2024-06-28,440.12,442.255,438.12,438.81,2470164.0,439.2938,35498
LIN,2024-07-01,439.15,440.78,425.4001,428.94,2462891.0,429.2742,46526
LIN,2024-07-02,428.0,430.5,424.63,430.09,1886562.0,428.1737,38974
LIN,2024-07-03,429.62,433.67,429.495,432.94,865090.0,432.2198,20533
LIN,2024-07-05,432.41,435.95,429.2,435.72,1499382.0,434.0597,30230
LIN,2024-07-08,436.63,437.925,434.32,435.74,1502415.0,435.7045,29689
LIN,2024-07-09,434.2,435.6,430.75,431.2,1052132.0,431.8882,26191
LIN,2024-07-10,433.11,436.05,430.31,434.95,1554099.0,434.2311,27681
LIN,2024-07-11,435.1,438.12,433.6029,434.89,1368648.0,435.1991,29704
LIN,2024-07-12,437.59,444.4303,436.65,440.7,1843894.0,440.9485,37028
LIN,2024-07-15,440.7,441.14,437.525,438.18,1271495.0,438.9714,27384
LIN,2024-07-16,438.06,447.995,438.06,445.73,1173359.0,445.4939,27160
LIN,2024-07-17,447.1,451.76,446.73,449.29,1896543.0,449.4034,33452
LIN,2024-07-18,445.54,451.36,445.54,446.04,1458658.0,447.417,30230
LIN,2024-07-19,445.37,445.595,441.92,444.75,1503763.0,444.2411,27259
LIN,2024-07-22,447.88,448.71,444.45,446.1,1096765.0,446.6313,27052
LIN,2024-07-23,447.89,448.62,445.01,447.41,1060932.0,447.2643,23599
LIN,2024-07-24,448.47,449.57,442.625,443.76,1700670.0,444.5142,33991
LIN,2024-07-25,444.98,448.4,441.98,443.03,1777266.0,444.6596,36697
LIN,2024-07-26,444.12,452.75,443.455,451.39,1307402.0,450.5618,28197
LIN,2024-07-29,451.47,453.22,449.06,449.96,1015242.0,450.3878,25014
LIN,2024-07-30,452.57,456.73,450.64,450.85,1755633.0,452.028,36556
LIN,2024-07-31,453.57,458.175,452.515,453.5,1874030.0,454.6061,35589
LIN,2024-08-01,456.07,459.47,449.91,453.34,2243978.0,453.3983,44382
LIN,2024-08-02,449.61,457.79,443.71,454.0,2714589.0,451.4262,59519
LIN,2024-08-05,453.99,455.67,441.23,443.5,2281767.0,444.9324,52225
LIN,2024-08-06,444.07,451.22,443.6001,445.66,1598269.0,447.2934,36774
LIN,2024-08-07,449.32,451.0,441.315,441.86,1619371.0,444.5878,31897
LIN,2024-08-08,442.23,447.84,440.93,447.54,1491256.0,446.6619,33237
LIN,2024-08-09,446.98,448.16,442.16,447.02,1108634.0,446.4273,24310
LIN,2024-08-12,447.02,448.395,445.1,446.78,853023.0,446.5963,21715
LIN,2024-08-13,448.51,450.27,445.75,449.7,1174857.0,449.1177,24101
LIN,2024-08-14,451.66,451.99,449.15,451.18,906764.0,450.768,26337
LIN,2024-08-15,452.05,456.775,451.39,456.14,1105151.0,455.4059,26175
LIN,2024-08-16,456.14,457.4,452.31,456.82,1115354.0,456.0398,22969
LIN,2024-08-19,457.21,458.75,456.16,458.58,1013716.0,457.996,23552
LIN,2024-08-20,458.62,460.97,456.59,458.07,1115635.0,458.3269,23521
LIN,2024-08-21,459.95,462.13,458.39,461.75,853900.0,460.978,21546
LIN,2024-08-22,461.84,464.66,459.91,461.71,1179129.0,461.6766,28516
LIN,2024-08-23,464.5,466.44,461.54,465.74,1307962.0,464.7608,29793
LIN,2024-08-26,465.64,469.76,465.07,468.46,1216330.0,468.1042,23404
LIN,2024-08-27,472.71,472.79,468.62,472.34,1293524.0,471.5985,26637
LIN,2024-08-28,472.84,475.64,470.867,472.84,1327160.0,473.1549,26885
LIN,2024-08-29,473.73,476.58,470.32,472.73,944748.0,473.2133,25593
LIN,2024-08-30,475.04,479.79,471.47,478.25,1385635.0,477.0309,30750
LIN,2024-09-03,473.94,478.62,472.88,474.05,2104159.0,475.0265,40572
LIN,2024-09-04,476.21,477.58,471.57,472.13,1310432.0,473.1685,28549
LIN,2024-09-05,470.34,471.465,463.0865,465.52,1882408.0,465.363,38434
LIN,2024-09-06,464.35,467.67,456.17,456.85,2012129.0,458.4984,39463
LIN,2024-09-09,460.07,465.53,459.515,463.08,2076187.0,463.103,33773
LIN,2024-09-10,461.97,465.63,460.84,463.72,1247096.0,463.2034,29445
LIN,2024-09-11,463.875,465.85,453.5,465.11,1585448.0,462.4293,32732
LIN,2024-09-12,466.43,467.44,462.41,467.34,1917022.0,466.2071,27974
LIN,2024-09-13,465.51,471.78,465.0,468.81,1162683.0,469.0966,24869
LIN,2024-09-16,474.43,475.49,470.39,474.91,1307227.0,473.9558,25397
LIN,2024-09-17,475.52,476.98,470.51,471.66,1357093.0,472.3226,28006
LIN,2024-09-18,471.66,471.66,464.73,467.03,1149879.0,467.2254,27812
LIN,2024-09-19,472.8,473.15,468.61,469.17,1897226.0,470.5254,39254
LIN,2024-09-20,469.5,472.11,466.75,471.91,3672715.0,471.0314,33827
LIN,2024-09-23,474.7,479.19,472.1,477.36,1148395.0,476.8213,26730
LIN,2024-09-24,478.95,480.755,475.49,479.35,1588622.0,479.2017,26944
LIN,2024-09-25,481.0,481.6,475.7,477.01,1283879.0,477.3574,26267
LIN,2024-09-26,479.0,482.11,476.5,481.68,1092768.0,480.7298,28448
LIN,2024-09-27,479.7,483.3579,479.28,479.51,1252607.0,480.2815,24153
LIN,2024-09-30,479.31,479.585,474.15,476.86,1532652.0,476.6665,29419
LIN,2024-10-01,476.96,477.86,473.89,475.02,1342135.0,475.4918,30177
LIN,2024-10-02,474.06,477.44,472.66,475.84,1024605.0,475.6648,22997
LIN,2024-10-03,471.96,472.75,468.15,469.75,1072337.0,469.843,23402
LIN,2024-10-04,470.16,470.83,464.875,468.18,2131023.0,467.442,32438
LIN,2024-10-07,464.45,466.34,460.77,463.24,2019552.0,463.5435,39060
LIN,2024-10-08,465.51,470.06,465.11,469.44,1272286.0,468.7509,26544
LIN,2024-10-09,467.5,470.635,467.03,469.57,1245473.0,469.2783,25792
LIN,2024-10-10,471.91,472.63,467.735,469.42,1249525.0,469.5688,27084
LIN,2024-10-11,472.1,474.6078,470.835,474.04,1105320.0,473.5987,23081
LIN,2024-10-14,474.38,478.15,473.42,477.58,1076836.0,477.0329,19531
LIN,2024-10-15,477.58,483.35,477.2,480.71,1477106.0,480.8089,37394
LIN,2024-10-16,478.52,485.32,478.32,483.98,1210130.0,482.8122,33250
LIN,2024-10-17,486.92,487.49,484.38,486.06,1051750.0,485.6493,25827
LIN,2024-10-18,483.14,487.275,481.51,486.45,1255247.0,485.2346,25863
LIN,2024-10-21,484.95,485.49,481.06,483.36,1065694.0,483.1693,25184
LIN,2024-10-22,481.78,482.48,478.0,481.95,1429702.0,481.4288,25704
LIN,2024-10-23,479.17,482.24,476.86,477.43,1541370.0,478.6816,31133
LIN,2024-10-24,478.35,478.43,471.622,474.46,994284.0,474.5213,23837
LIN,2024-10-25,475.12,478.65,472.93,473.76,2458462.0,475.1397,26419
LIN,2024-10-28,475.81,478.0,473.71,476.0,1440395.0,475.8395,28051
LIN,2024-10-29,474.65,476.32,472.75,474.66,2056582.0,474.7176,36661
LIN,2024-10-30,473.27,475.0,472.34,473.4,1794313.0,473.4263,42142
LIN,2024-10-31,454.95,463.0,454.47,456.15,3615602.0,457.6921,71225
LIN,2024-11-01,456.51,459.33,453.5,457.31,2347398.0,457.2623,50281
LIN,2024-11-04,457.98,461.8,456.29,458.32,1616117.0,458.5178,34448
LIN,2024-11-05,458.32,460.86,454.17,454.89,1749314.0,456.9318,40192
LIN,2024-11-06,463.82,465.69,458.32,462.63,2626911.0,462.1976,51802
LIN,2024-11-07,465.0,467.98,463.59,465.47,1925468.0,465.4954,34085
LIN,2024-11-08,465.33,465.615,459.21,459.48,1496836.0,460.6917,36097
LIN,2024-11-11,459.48,462.385,455.35,456.44,1981242.0,457.7019,40558
LIN,2024-11-12,458.27,460.29,453.58,455.59,1748986.0,456.0305,36952
LIN,2024-11-13,453.84,457.54,450.86,456.24,1538420.0,455.6392,35808
LIN,2024-11-14,455.65,457.87,453.1,453.49,1666958.0,454.96,39190
LIN,2024-11-15,451.07,451.69,446.9,449.1,2417805.0,448.8745,50561
LIN,2024-11-18,446.53,449.26,445.29,448.57,1751439.0,448.2478,35215
LIN,2024-11-19,443.8,444.6656,439.76,444.06,2084551.0,443.0395,41428
LIN,2024-11-20,443.74,450.9,441.53,450.14,1928675.0,447.8497,42609
LIN,2024-11-21,451.85,455.14,449.605,455.07,2072800.0,453.2105,37634
LIN,2024-11-22,453.84,457.2,453.55,454.78,1864846.0,455.0081,39276
LIN,2024-11-25,454.58,457.0029,453.015,455.69,3835798.0,455.4324,44143
LIN,2024-11-26,453.47,456.66,451.28,456.6,2600009.0,455.9988,31418
LIN,2024-11-27,456.68,459.5984,456.68,457.12,2069423.0,457.4673,28257
LIN,2024-11-29,456.99,461.66,456.09,460.99,1351468.0,460.1052,21304
LIN,2024-12-02,460.99,461.04,456.445,459.69,1801780.0,458.9169,33690
LIN,2024-12-03,461.9,461.9,456.575,458.12,1868338.0,458.2172,33146
LIN,2024-12-04,456.28,461.41,455.31,459.45,2188342.0,459.1532,36705
LIN,2024-12-05,457.26,457.645,448.01,448.58,2303191.0,449.8723,42422
LIN,2024-12-06,448.05,450.86,446.95,449.44,2191258.0,449.4485,34957
LIN,2024-12-09,447.9,450.8,441.93,442.58,2833882.0,444.3601,42616
LIN,2024-12-10,444.81,446.3799,437.25,444.81,2326077.0,443.7629,48229
LIN,2024-12-11,443.29,445.65,440.16,440.53,1612808.0,441.9727,32822
LIN,2024-12-12,439.94,442.38,437.9,438.5,1719345.0,439.1959,35827
LIN,2024-12-13,437.61,437.8,432.755,435.3,2254458.0,435.3301,41608
LIN,2024-12-16,435.72,435.73,427.41,428.3,3691695.0,429.6325,50722
LIN,2024-12-17,428.24,433.19,425.94,430.2,3320194.0,430.2317,44982
LIN,2024-12-18,428.92,431.3041,422.05,422.27,3271876.0,424.7793,51741
LIN,2024-12-19,422.1,425.5725,419.03,419.59,3292000.0,420.6393,49907
LIN,2024-12-20,419.23,425.34,418.27,424.31,6680941.0,423.2176,44806
LIN,2024-12-23,422.43,425.66,417.68,422.33,2084301.0,421.4814,38293
LIN,2024-12-24,422.18,426.06,420.58,425.77,824227.0,424.7096,15939
LIN,2024-12-26,424.12,426.6,422.91,424.32,992356.0,424.8524,20688
LIN,2024-12-27,423.21,425.955,421.54,422.98,1444989.0,423.1984,29398
LIN,2024-12-30,419.18,420.26,415.41,417.66,1608038.0,417.6703,32614
LIN,2024-12-31,418.61,420.105,415.7524,418.67,1387116.0,418.2723,28827
LIN,2025-01-02,420.75,422.7199,413.765,414.17,2112206.0,415.5933,34677
LIN,2025-01-03,416.15,417.99,413.1,413.5,1995949.0,414.1142,34460
LIN,2025-01-06,415.43,418.38,412.12,412.91,2630831.0,413.7271,41620
LIN,2025-01-07,412.03,419.0,410.69,414.95,3209160.0,415.0636,42574
LIN,2025-01-08,416.74,420.42,414.2,420.01,2252258.0,419.0914,36650
LIN,2025-01-10,415.605,417.89,411.72,414.15,2642597.0,414.2953,46442
LIN,2025-01-13,415.79,422.675,413.7,421.43,2824504.0,420.6638,48706
LIN,2025-01-14,422.28,427.81,420.72,427.29,2344275.0,425.6477,39442
LIN,2025-01-15,433.22,433.922,426.41,427.98,2202422.0,429.0705,47083
LIN,2025-01-16,427.915,432.751,427.65,432.49,1511580.0,431.4072,30684
LIN,2025-01-17,440.0,440.0,433.53,436.0,2412198.0,436.9154,34482
LIN,2025-01-21,439.67,444.07,439.435,442.46,2281956.0,442.4717,35988
LIN,2025-01-22,445.67,448.69,442.47,442.6,2644136.0,444.4503,43739
LIN,2025-01-23,442.72,443.14,440.425,440.83,1811291.0,441.2179,36836
LIN,2025-01-24,442.87,443.3675,439.04,439.25,1547782.0,440.5278,31408
LIN,2025-01-27,438.34,441.4,434.99,439.49,2833438.0,439.1996,49983
LIN,2025-01-28,440.0,440.41,435.24,435.51,2158432.0,437.0275,45168
LIN,2025-01-29,435.22,439.017,434.49,438.32,2631137.0,437.6933,49060
LIN,2025-01-30,439.0,449.6699,439.0,446.38,2545904.0,445.6088,45020
LIN,2025-01-31,444.42,448.17,438.64,446.12,2820686.0,445.7738,45701
LIN,2025-02-03,445.03,454.81,440.46,454.21,2701167.0,451.478,48897
