ticker,date,open,high,low,close,volume,vwap,transactions
MDLZ,2024-06-17,65.74,66.43,65.37,66.08,5837727.0,66.0845,54603
MDLZ,2024-06-18,65.8,66.385,65.705,66.17,3795054.0,66.0971,45599
MDLZ,2024-06-20,66.0,66.55,65.92,66.06,5817458.0,66.1679,60164
MDLZ,2024-06-21,66.47,67.22,66.225,66.51,11855525.0,66.5106,56172
MDLZ,2024-06-24,66.87,68.52,66.76,68.42,10297113.0,67.9379,76384
MDLZ,2024-06-25,68.42,68.94,67.53,67.85,6524303.0,67.9816,69459
MDLZ,2024-06-26,67.24,67.375,66.58,66.64,5372445.0,66.8508,60529
MDLZ,2024-06-27,67.02,67.0685,66.42,66.6,4751558.0,66.648,54308
MDLZ,2024-06-28,66.15,66.26,65.005,65.44,10899642.0,65.4583,78551
MDLZ,2024-07-01,65.86,66.68,65.22,65.24,6769754.0,65.5834,64747
MDLZ,2024-07-02,65.19,66.07,65.1,66.03,9997127.0,65.8432,61035
MDLZ,2024-07-03,65.86,66.39,65.69,66.34,3462505.0,66.147,37453
MDLZ,2024-07-05,66.31,67.06,65.97,66.98,6198188.0,66.737,49799
MDLZ,2024-07-08,66.45,66.85,65.93,66.16,7929767.0,66.2712,69143
MDLZ,2024-07-09,65.88,66.035,65.22,65.24,5389979.0,65.4514,51062
MDLZ,2024-07-10,65.32,65.97,65.215,65.93,6904159.0,65.7499,62085
MDLZ,2024-07-11,65.7,65.8,64.91,65.32,7455044.0,65.3504,75693
MDLZ,2024-07-12,65.54,65.9573,65.28,65.36,8426579.0,65.5636,78919
MDLZ,2024-07-15,65.3,65.3,64.26,64.35,7712200.0,64.6635,76866
MDLZ,2024-07-16,64.22,65.88,64.18,65.83,7576706.0,65.4018,63035
MDLZ,2024-07-17,66.11,67.47,66.11,67.12,7404361.0,67.1155,77161
MDLZ,2024-07-18,66.69,68.375,66.5,66.92,5688285.0,67.4466,59358
MDLZ,2024-07-19,67.02,67.25,66.135,66.45,5012578.0,66.4656,47978
MDLZ,2024-07-22,67.16,67.26,66.09,66.54,4325909.0,66.5089,55824
MDLZ,2024-07-23,66.37,66.64,65.84,66.01,3431143.0,66.1364,38910
MDLZ,2024-07-24,66.07,66.65,65.37,66.4,5401392.0,66.2747,61395
MDLZ,2024-07-25,66.74,67.73,66.285,66.39,6593678.0,66.6496,76922
MDLZ,2024-07-26,66.0,66.8,65.91,66.42,5778491.0,66.3762,63939
MDLZ,2024-07-29,66.21,67.5,66.08,67.1,6616843.0,67.0353,60015
MDLZ,2024-07-30,66.8,67.28,66.29,67.05,7697858.0,67.0489,75399
MDLZ,2024-07-31,68.5,69.63,67.9,68.35,11088099.0,68.6794,107740
MDLZ,2024-08-01,67.645,68.68,67.4,68.31,8359502.0,68.2604,82801
MDLZ,2024-08-02,69.91,70.86,68.69,70.68,10309048.0,70.2636,115047
MDLZ,2024-08-05,72.79,73.41,68.97,69.01,10619017.0,69.8642,117332
MDLZ,2024-08-06,68.78,69.78,68.42,68.46,7453064.0,68.8246,88465
MDLZ,2024-08-07,68.8,69.78,68.6,69.42,6031233.0,69.4299,69764
MDLZ,2024-08-08,69.04,70.5,69.04,70.28,6236877.0,70.2234,67432
MDLZ,2024-08-09,70.14,70.45,68.72,69.72,5609393.0,69.5314,61361
MDLZ,2024-08-12,69.8,70.02,69.135,69.28,5429481.0,69.4716,52662
MDLZ,2024-08-13,69.56,70.47,69.42,70.34,4958891.0,70.0544,52115
MDLZ,2024-08-14,70.67,71.915,70.46,71.2,7575439.0,71.2855,62606
MDLZ,2024-08-15,71.11,71.33,70.06,70.28,5534794.0,70.3625,49645
MDLZ,2024-08-16,70.39,70.44,69.73,70.12,5130941.0,70.1535,48328
MDLZ,2024-08-19,70.45,71.0,70.08,70.89,3934932.0,70.7391,41748
MDLZ,2024-08-20,70.62,71.31,70.46,70.98,3816972.0,71.0291,41333
MDLZ,2024-08-21,71.23,71.84,70.92,71.1,3845789.0,71.1758,41085
MDLZ,2024-08-22,71.25,71.3,70.615,70.83,3630275.0,70.8464,41568
MDLZ,2024-08-23,71.19,71.3,70.7168,71.23,4586583.0,71.1424,48638
MDLZ,2024-08-26,71.5,72.14,71.29,71.39,3516865.0,71.6094,46139
MDLZ,2024-08-27,71.71,71.86,71.16,71.25,4236163.0,71.3887,44855
MDLZ,2024-08-28,71.25,71.6,71.07,71.25,3363521.0,71.2737,42382
MDLZ,2024-08-29,71.39,71.39,70.48,70.73,5462784.0,70.8258,49412
MDLZ,2024-08-30,70.92,71.98,70.64,71.81,6158437.0,71.5842,49569
MDLZ,2024-09-03,71.935,72.42,71.44,72.25,7366773.0,72.1566,68206
MDLZ,2024-09-04,72.48,75.68,72.47,75.27,9421972.0,74.9803,106018
MDLZ,2024-09-05,75.27,75.73,74.52,75.07,7607796.0,75.0589,81735
MDLZ,2024-09-06,75.22,75.94,75.06,75.31,8019940.0,75.442,86655
MDLZ,2024-09-09,75.1,76.04,74.87,75.71,8018327.0,75.6178,81996
MDLZ,2024-09-10,75.84,76.06,74.92,75.13,4770251.0,75.3587,54986
MDLZ,2024-09-11,75.2,75.2,73.74,74.35,5327505.0,74.1923,59756
MDLZ,2024-09-12,74.05,74.54,73.47,74.38,5808956.0,74.253,49391
MDLZ,2024-09-13,74.42,75.4,74.24,75.26,3603123.0,75.0788,43630
MDLZ,2024-09-16,75.74,75.98,74.98,75.53,4731140.0,75.4749,49799
MDLZ,2024-09-17,75.68,75.94,75.09,75.1,3533625.0,75.3579,51065
MDLZ,2024-09-18,75.08,75.5,74.51,75.05,4622201.0,75.0922,52752
MDLZ,2024-09-19,75.08,75.23,74.55,74.78,5091258.0,74.8324,53533
MDLZ,2024-09-20,74.77,75.49,74.19,74.28,11330174.0,74.4037,57165
MDLZ,2024-09-23,74.55,75.03,73.72,74.57,5274041.0,74.5093,51319
MDLZ,2024-09-24,74.41,74.79,74.04,74.16,8149579.0,74.2743,55139
MDLZ,2024-09-25,74.47,74.62,73.88,74.06,4949754.0,74.1233,48288
MDLZ,2024-09-26,74.06,74.65,74.03,74.32,3961504.0,74.305,53310
MDLZ,2024-09-27,74.72,75.11,74.11,74.2,4697065.0,74.3837,61788
MDLZ,2024-09-30,74.04,74.36,73.19,73.67,5792771.0,73.5697,61143
MDLZ,2024-10-01,73.66,73.9,72.91,72.99,5307595.0,73.1546,60867
MDLZ,2024-10-02,72.855,72.97,72.015,72.28,5047618.0,72.4093,52322
MDLZ,2024-10-03,72.2,72.2,71.07,71.16,4997089.0,71.3089,47722
MDLZ,2024-10-04,70.95,71.6,70.8,71.51,4379169.0,71.3604,45955
MDLZ,2024-10-07,71.5,71.59,70.8,71.0,4354569.0,71.1001,46571
MDLZ,2024-10-08,71.0,71.17,70.345,70.85,4186267.0,70.7499,47553
MDLZ,2024-10-09,70.8,71.2,70.345,71.05,4317073.0,70.9343,54402
MDLZ,2024-10-10,71.39,71.43,70.745,71.14,4572292.0,71.1025,50021
MDLZ,2024-10-11,71.41,71.41,70.58,70.66,4338547.0,70.787,51490
MDLZ,2024-10-14,70.53,70.73,69.93,70.53,5143542.0,70.3458,53870
MDLZ,2024-10-15,70.8,72.7,70.73,71.8,5888611.0,71.7786,68491
MDLZ,2024-10-16,71.86,72.06,71.33,71.91,4231507.0,71.8392,52970
MDLZ,2024-10-17,72.15,72.35,71.02,71.12,5208532.0,71.315,57801
MDLZ,2024-10-18,71.1,71.78,70.92,71.58,7373977.0,71.5297,43795
MDLZ,2024-10-21,71.5,71.82,70.395,70.43,4811746.0,70.78,54228
MDLZ,2024-10-22,70.25,71.39,70.05,71.35,5687550.0,71.2186,55717
MDLZ,2024-10-23,70.88,71.325,70.515,70.56,6588680.0,70.8243,64960
MDLZ,2024-10-24,70.3,70.8,69.92,69.95,4756803.0,70.1702,49775
MDLZ,2024-10-25,70.05,70.31,69.17,69.23,6176667.0,69.5127,65908
MDLZ,2024-10-28,69.41,70.05,69.02,69.54,4821898.0,69.5247,53689
MDLZ,2024-10-29,69.25,69.71,69.0712,69.15,8407609.0,69.2728,71282
MDLZ,2024-10-30,68.31,70.16,67.8,69.79,10475181.0,69.5527,123018
MDLZ,2024-10-31,69.65,69.85,68.46,68.48,7207838.0,68.8588,73040
MDLZ,2024-11-01,68.76,68.97,68.22,68.51,6470448.0,68.5456,60495
MDLZ,2024-11-04,68.8,68.81,67.75,68.36,5704387.0,68.2524,58105
MDLZ,2024-11-05,68.37,69.195,68.0101,69.05,5383773.0,68.9123,52774
MDLZ,2024-11-06,69.02,69.185,66.12,66.37,9758623.0,66.6984,97054
MDLZ,2024-11-07,66.42,66.58,65.59,65.72,6511632.0,65.9404,67745
MDLZ,2024-11-08,65.72,66.26,65.56,66.2,4864543.0,66.0581,55029
MDLZ,2024-11-11,65.7,66.57,65.65,66.1,7972393.0,66.145,72483
MDLZ,2024-11-12,66.33,66.74,65.8,66.52,6304294.0,66.4344,64252
MDLZ,2024-11-13,66.05,66.19,65.37,66.0,5389181.0,65.8521,59596
MDLZ,2024-11-14,66.18,66.41,65.475,65.56,6837737.0,65.7025,56927
MDLZ,2024-11-15,65.32,65.34,63.91,64.49,7204038.0,64.4881,76122
MDLZ,2024-11-18,64.67,64.68,63.72,63.84,6983698.0,64.0809,73547
MDLZ,2024-11-19,63.7,63.97,63.4,63.87,5621715.0,63.7904,52229
MDLZ,2024-11-20,63.86,64.51,63.64,64.42,5232709.0,64.2986,55892
MDLZ,2024-11-21,64.43,64.91,63.95,64.79,6971787.0,64.6408,63639
MDLZ,2024-11-22,64.56,65.1,64.03,64.4,7125277.0,64.4356,68624
MDLZ,2024-11-25,64.54,65.1,64.42,64.94,10733802.0,64.8578,73311
MDLZ,2024-11-26,64.965,65.28,64.46,64.88,8706110.0,64.7782,65999
MDLZ,2024-11-27,65.09,65.38,64.96,65.06,5045026.0,65.1039,51344
MDLZ,2024-11-29,65.06,65.28,64.86,64.95,5095986.0,65.0291,35247
MDLZ,2024-12-02,65.06,65.265,64.39,65.23,9985399.0,65.0546,66885
MDLZ,2024-12-03,65.27,65.27,64.69,64.81,6626778.0,64.8185,55264
MDLZ,2024-12-04,64.2,64.435,63.005,63.27,8302119.0,63.375,78825
MDLZ,2024-12-05,63.02,63.3,62.43,63.24,10781051.0,62.9719,87757
MDLZ,2024-12-06,63.3,63.866,62.77,62.86,6789595.0,63.1188,59755
MDLZ,2024-12-09,62.79,63.13,60.33,61.44,19609191.0,61.4852,168857
MDLZ,2024-12-10,61.4,62.15,60.48,61.75,9728116.0,61.5006,96002
MDLZ,2024-12-11,64.1,64.3,63.0,63.12,12901654.0,63.3919,121692
MDLZ,2024-12-12,62.7614,63.36,62.47,62.63,8041530.0,62.834,73704
MDLZ,2024-12-13,62.29,62.73,61.81,61.93,7120466.0,62.1708,76587
MDLZ,2024-12-16,61.95,62.59,61.45,61.49,9072643.0,61.8599,72091
MDLZ,2024-12-17,61.45,62.38,61.235,61.34,10314608.0,61.4985,74417
MDLZ,2024-12-18,60.9,61.305,59.96,60.02,14385812.0,60.3489,107850
MDLZ,2024-12-19,59.78,60.2,59.24,59.27,13498328.0,59.5659,93896
MDLZ,2024-12-20,59.135,60.25,59.1021,59.39,34652299.0,59.4528,94232
MDLZ,2024-12-23,59.37,59.746,58.9,59.28,8443803.0,59.2346,63295
MDLZ,2024-12-24,59.12,60.03,59.02,60.0,5885454.0,59.7964,40470
MDLZ,2024-12-26,59.75,60.27,59.71,59.85,6103672.0,59.8721,47422
MDLZ,2024-12-27,59.71,60.305,59.65,60.21,7608190.0,60.1067,57940
MDLZ,2024-12-30,60.1252,60.33,59.34,59.56,7580623.0,59.5889,69396
MDLZ,2024-12-31,59.38,59.93,59.13,59.73,6904399.0,59.6088,58456
MDLZ,2025-01-02,60.0,60.24,59.28,59.5,6160054.0,59.6255,60214
MDLZ,2025-01-03,59.88,60.13,59.52,59.86,7036472.0,59.8867,48704
MDLZ,2025-01-06,59.59,59.685,58.12,58.22,9337387.0,58.6536,74850
MDLZ,2025-01-07,57.81,59.11,57.81,58.29,11236755.0,58.4544,67188
MDLZ,2025-01-08,58.2,58.375,57.67,58.29,8332507.0,58.1393,76019
MDLZ,2025-01-10,57.52,58.22,56.205,56.25,11668355.0,56.7226,94277
MDLZ,2025-01-13,56.3,56.675,55.97,56.17,17172143.0,56.2858,114007
MDLZ,2025-01-14,56.11,57.11,55.98,57.1,10313585.0,56.6705,81491
MDLZ,2025-01-15,57.33,57.81,56.56,56.64,8839794.0,56.8448,69228
MDLZ,2025-01-16,56.29,58.08,56.01,58.0,10572820.0,57.4637,84064
MDLZ,2025-01-17,58.42,58.75,57.82,57.86,12663461.0,58.1996,75156
MDLZ,2025-01-21,57.46,58.19,57.25,57.6,11346880.0,57.6683,99338
MDLZ,2025-01-22,57.14,57.7616,56.13,56.31,14606182.0,56.6034,114225
MDLZ,2025-01-23,56.54,56.995,56.105,56.96,8942723.0,56.7577,63436
MDLZ,2025-01-24,56.855,57.6186,56.805,57.42,7383443.0,57.4012,58647
MDLZ,2025-01-27,58.43,59.28,57.715,58.33,11645318.0,58.3753,106020
