ticker,date,open,high,low,close,volume,vwap,transactions
META,2024-06-17,501.67,510.75,496.01,506.63,11266601.0,504.6524,222668
META,2024-06-18,504.56,506.0,495.02,499.49,13060425.0,499.662,244389
META,2024-06-20,502.0,503.67,496.77,501.7,11801182.0,500.9273,218689
META,2024-06-21,503.45,503.45,492.39,494.78,23130732.0,496.8194,231446
META,2024-06-24,499.2,507.8,494.29,498.91,13525278.0,500.3552,267698
META,2024-06-25,497.05,510.71,495.5,510.6,12109769.0,507.7856,232512
META,2024-06-26,506.645,513.81,504.6765,513.12,8882337.0,511.4409,191570
META,2024-06-27,514.25,522.8799,513.9,519.56,10121199.0,518.9361,218835
META,2024-06-28,517.15,521.88,503.84,504.22,15855137.0,510.1023,253527
META,2024-07-01,504.95,506.58,493.17,504.68,10328150.0,500.8728,243699
META,2024-07-02,500.76,510.5,499.45,509.5,7739479.0,506.9239,177222
META,2024-07-03,506.37,511.28,506.02,509.96,6005615.0,509.2765,137551
META,2024-07-05,511.6,540.87,511.6,539.91,21354093.0,531.5014,399774
META,2024-07-08,542.35,542.81,526.65,529.32,14917495.0,531.3638,346302
META,2024-07-09,533.75,537.48,528.1901,530.0,8769088.0,532.1336,209972
META,2024-07-10,530.79,538.88,528.36,534.69,10983276.0,534.286,220271
META,2024-07-11,530.89,535.46,508.3733,512.7,16458253.0,517.1415,372805
META,2024-07-12,497.755,508.09,494.23,498.87,19750544.0,501.4485,431007
META,2024-07-15,498.63,506.6799,493.37,496.16,12539163.0,498.707,307888
META,2024-07-16,501.5,503.9499,485.79,489.79,14075833.0,491.3363,311407
META,2024-07-17,479.17,479.17,459.12,461.99,28076595.0,466.5608,594311
META,2024-07-18,475.0,479.2393,464.54,475.85,19267160.0,472.1319,371129
META,2024-07-19,476.06,486.71,475.71,476.79,15149416.0,480.0009,275815
META,2024-07-22,486.575,492.06,483.9,487.4,12023088.0,487.9114,247754
META,2024-07-23,489.84,495.22,487.72,488.69,9455527.0,490.5502,218059
META,2024-07-24,472.305,476.3,460.58,461.27,17649738.0,466.8113,344938
META,2024-07-25,463.26,463.548,442.65,453.41,18240489.0,455.0198,355518
META,2024-07-26,464.195,469.77,459.42,465.7,14222388.0,465.0311,253195
META,2024-07-29,469.88,473.96,465.02,465.71,11339630.0,468.3443,207978
META,2024-07-30,467.0,472.73,456.7,463.19,11390439.0,463.5718,221092
META,2024-07-31,471.02,476.5,466.75,474.83,24285777.0,480.6513,403555
META,2024-08-01,521.0,527.1709,492.1,497.74,43083082.0,507.8696,692595
META,2024-08-02,489.0,501.145,476.15,488.14,24044658.0,487.3537,415905
META,2024-08-05,451.345,483.48,450.8,475.73,21396191.0,471.2415,450129
META,2024-08-06,479.0,502.56,478.65,494.09,20954959.0,494.4545,369517
META,2024-08-07,503.13,510.15,486.86,488.92,20105307.0,497.2341,348628
META,2024-08-08,497.5,509.96,494.72,509.63,16156843.0,503.9575,283215
META,2024-08-09,507.71,518.34,505.7,517.77,13696640.0,513.4456,240339
META,2024-08-12,516.86,518.02,509.1,515.95,9767422.0,514.8197,199845
META,2024-08-13,520.01,531.4999,518.15,528.54,13743839.0,526.3651,249714
META,2024-08-14,528.06,534.0,523.13,526.76,11444189.0,528.2203,204545
META,2024-08-15,531.79,539.77,526.7,537.33,13482141.0,536.4656,238529
META,2024-08-16,531.9,533.66,524.66,527.42,14776684.0,529.1583,258747
META,2024-08-19,526.87,531.66,522.76,529.28,9879713.0,527.3932,194661
META,2024-08-20,528.35,531.09,525.88,526.73,7944391.0,528.0061,163290
META,2024-08-21,527.15,539.4,526.935,535.16,13423292.0,534.1308,234243
META,2024-08-22,537.0,544.23,528.59,531.93,15708292.0,535.5007,242868
META,2024-08-23,536.92,539.87,525.06,528.0,11323936.0,530.4673,208435
META,2024-08-26,527.6,528.0,514.95,521.12,9584002.0,520.5343,202904
META,2024-08-27,518.98,524.01,515.31,519.1,6282720.0,519.8703,141014
