ticker,date,open,high,low,close,volume,vwap,transactions
MNST,2024-06-17,47.85,49.34,47.63,49.13,8492327.0,48.9047,77443
MNST,2024-06-18,49.005,49.03,48.28,48.42,9376739.0,48.5205,71452
MNST,2024-06-20,48.44,49.07,48.34,48.68,8622019.0,48.732,56743
MNST,2024-06-21,48.9,49.57,48.9,49.09,16238020.0,49.1552,74432
MNST,2024-06-24,49.02,49.79,48.91,49.49,9290045.0,49.4832,61902
MNST,2024-06-25,49.51,50.35,49.5,50.14,7534408.0,49.9992,60442
MNST,2024-06-26,49.65,50.89,49.55,50.46,6302747.0,50.4465,58718
MNST,2024-06-27,50.49,50.71,50.27,50.57,4226788.0,50.533,42542
MNST,2024-06-28,50.4,50.59,49.9,49.95,11843336.0,50.0217,60763
MNST,2024-07-01,50.04,50.23,49.58,49.9,4963801.0,49.9015,45363
MNST,2024-07-02,49.97,49.97,49.13,49.34,6283212.0,49.3299,57947
MNST,2024-07-03,49.2,49.66,49.06,49.16,4172739.0,49.3182,38368
MNST,2024-07-05,49.09,49.83,48.97,49.75,6076772.0,49.5039,60078
MNST,2024-07-08,49.59,50.29,49.465,50.18,6863264.0,50.0804,50963
MNST,2024-07-09,50.19,50.2,49.65,49.8,5851801.0,49.871,47092
MNST,2024-07-10,49.83,49.89,49.205,49.85,4938316.0,49.6509,47239
MNST,2024-07-11,49.74,50.785,49.68,50.28,6504077.0,50.3731,52451
MNST,2024-07-12,50.5,51.14,50.48,50.83,5274210.0,50.8322,46731
MNST,2024-07-15,50.51,50.69,49.685,49.86,5467545.0,50.0988,50816
MNST,2024-07-16,49.81,50.59,49.6,50.49,4105951.0,50.3302,39899
MNST,2024-07-17,50.97,51.48,50.57,50.72,5366379.0,50.8345,56797
MNST,2024-07-18,50.55,51.67,50.48,51.01,6396188.0,51.2133,58898
MNST,2024-07-19,51.09,51.18,50.475,50.89,4851035.0,50.8565,42096
MNST,2024-07-22,50.82,50.91,49.63,50.36,5654695.0,50.1983,51949
MNST,2024-07-23,50.48,50.78,50.2,50.31,6159654.0,50.4509,54466
MNST,2024-07-24,50.26,50.45,49.38,49.59,7109806.0,49.6467,55064
MNST,2024-07-25,49.83,50.34,49.4563,50.1,6462486.0,49.9946,62200
MNST,2024-07-26,50.28,51.03,50.07,51.0,3803316.0,50.8388,37068
MNST,2024-07-29,51.0,51.685,50.58,51.27,4880218.0,51.2937,43858
MNST,2024-07-30,51.24,51.74,50.89,51.57,4024771.0,51.4789,43030
MNST,2024-07-31,51.82,52.23,51.33,51.45,6978179.0,51.7075,59296
MNST,2024-08-01,51.43,51.7,51.105,51.38,4815997.0,51.3595,57273
MNST,2024-08-02,52.12,52.4,50.42,51.61,6058471.0,51.3669,59734
MNST,2024-08-05,52.02,52.4,50.185,50.47,5728989.0,50.5747,68859
MNST,2024-08-06,50.59,51.79,50.33,50.8,5146034.0,51.2707,62816
MNST,2024-08-07,50.84,51.55,50.46,50.53,7295501.0,50.6211,62413
