ticker,date,open,high,low,close,volume,vwap,transactions
MPWR,2024-06-17,810.48,830.31,798.31,827.39,445214.0,819.7004,41049
MPWR,2024-06-18,824.57,856.3,821.04,852.56,531295.0,847.0921,33545
MPWR,2024-06-20,846.0,848.45,819.6252,825.33,672996.0,831.6914,31561
MPWR,2024-06-21,823.4,828.686,806.87,826.17,994612.0,825.328,28378
MPWR,2024-06-24,819.84,834.62,795.03,798.14,752010.0,802.067,36227
MPWR,2024-06-25,810.45,823.745,799.64,819.87,483693.0,817.8085,24754
MPWR,2024-06-26,816.55,825.84,803.9,816.45,295611.0,814.4407,17669
MPWR,2024-06-27,810.61,820.96,807.5,810.7,361093.0,812.3367,21883
MPWR,2024-06-28,820.46,837.34,813.64,821.68,721768.0,823.4201,25494
MPWR,2024-07-01,807.88,822.33,794.11,819.4,548872.0,814.343,25458
MPWR,2024-07-02,818.98,835.0,815.72,828.75,257107.0,825.4033,16976
MPWR,2024-07-03,833.64,848.2399,827.92,839.22,312516.0,838.513,14048
MPWR,2024-07-05,847.36,847.36,829.43,841.65,181657.0,840.1843,13739
MPWR,2024-07-08,843.91,853.27,839.385,851.82,313568.0,847.5427,17728
MPWR,2024-07-09,864.59,868.97,837.96,846.2,259766.0,849.6737,16485
MPWR,2024-07-10,852.22,862.84,844.25,860.81,439086.0,859.125,20137
MPWR,2024-07-11,876.65,876.65,830.03,830.95,629286.0,842.7144,25644
MPWR,2024-07-12,833.08,875.83,816.06,855.67,513200.0,858.476,25297
MPWR,2024-07-15,861.44,883.55,856.37,870.91,335863.0,871.5863,19034
MPWR,2024-07-16,879.72,891.67,864.665,889.48,314438.0,882.5218,17090
MPWR,2024-07-17,861.38,861.38,815.36,817.38,1156208.0,828.5811,54200
MPWR,2024-07-18,839.15,849.64,812.4966,843.47,704140.0,834.5616,35681
MPWR,2024-07-19,852.47,852.47,805.14,808.83,624447.0,813.5418,28926
MPWR,2024-07-22,829.95,859.95,815.92,857.4,625670.0,846.9776,27025
MPWR,2024-07-23,839.93,855.0,839.93,846.41,310788.0,848.4904,18402
MPWR,2024-07-24,832.83,839.23,786.09,787.88,788117.0,798.4815,36935
MPWR,2024-07-25,787.89,825.425,761.345,789.9,876508.0,793.4632,47279
MPWR,2024-07-26,812.2,832.15,804.48,821.78,627371.0,818.823,26738
MPWR,2024-07-29,838.72,849.17,822.1,827.26,429634.0,832.008,19339
MPWR,2024-07-30,831.88,835.93,780.0,781.85,678004.0,789.9558,27086
MPWR,2024-07-31,824.56,863.415,817.235,863.09,861031.0,853.0168,37018
MPWR,2024-08-01,842.25,861.43,778.32,784.95,1133049.0,796.8418,47867
MPWR,2024-08-02,788.55,836.78,769.72,795.76,1366777.0,797.2059,59685
MPWR,2024-08-05,748.28,793.4,729.59,770.44,843413.0,766.1512,42433
MPWR,2024-08-06,784.76,813.94,767.13,790.16,532557.0,794.4472,29598
MPWR,2024-08-07,818.52,828.47,751.79,757.04,689665.0,770.3514,30632
MPWR,2024-08-08,778.39,846.31,765.13,843.52,860890.0,831.2657,33905
MPWR,2024-08-09,838.23,842.63,809.54,823.0,441711.0,822.6759,23524
MPWR,2024-08-12,823.77,839.84,816.86,823.95,318671.0,824.6114,16883
MPWR,2024-08-13,840.11,871.01,840.11,867.81,525515.0,863.5811,26142
MPWR,2024-08-14,865.3,877.5982,843.54,862.62,416158.0,862.1314,22999
MPWR,2024-08-15,888.88,925.895,877.28,920.69,816334.0,916.4659,35373
MPWR,2024-08-16,902.37,924.14,900.155,914.66,448552.0,914.4399,23781
MPWR,2024-08-19,908.84,919.2,895.4,917.21,359314.0,910.4085,20417
MPWR,2024-08-20,913.06,928.37,902.21,904.69,398240.0,909.3559,19483
MPWR,2024-08-21,924.75,952.01,915.55,947.16,505970.0,941.2082,23230
MPWR,2024-08-22,948.63,956.6299,902.26,908.53,565745.0,914.4971,22977
MPWR,2024-08-23,926.39,941.7999,914.49,936.29,413510.0,933.239,19374
MPWR,2024-08-26,925.52,929.21,910.21,912.25,499044.0,916.4918,20241
MPWR,2024-08-27,903.64,951.51,895.0,945.46,482989.0,940.2693,19812
MPWR,2024-08-28,943.51,955.15,914.5801,929.3,462155.0,933.0546,23152
MPWR,2024-08-29,936.82,959.64,920.9,930.61,449294.0,937.7523,23848
MPWR,2024-08-30,948.15,952.17,913.16,934.68,520123.0,930.2327,22341
MPWR,2024-09-03,919.73,923.15,833.26,838.63,960911.0,851.6432,42033
MPWR,2024-09-04,830.49,867.4,826.44,850.51,446543.0,851.3004,25075
MPWR,2024-09-05,835.7,858.38,827.5316,841.49,493609.0,839.655,23848
MPWR,2024-09-06,841.49,843.29,795.95,806.31,804027.0,808.738,30627
MPWR,2024-09-09,819.68,838.39,818.87,836.01,630005.0,833.305,25121
MPWR,2024-09-10,833.7,848.92,814.2,847.7,388570.0,838.705,21377
MPWR,2024-09-11,851.22,897.07,828.8,895.16,770100.0,880.8041,31052
MPWR,2024-09-12,885.92,905.28,877.16,895.91,411517.0,895.0892,22057
MPWR,2024-09-13,906.41,918.82,900.76,914.1,311022.0,913.7464,19794
MPWR,2024-09-16,895.65,900.37,876.0101,885.23,482994.0,885.2555,22889
MPWR,2024-09-17,893.22,903.8099,864.0,867.31,546130.0,875.2132,26853
MPWR,2024-09-18,876.49,890.47,856.48,860.66,446974.0,866.842,25106
MPWR,2024-09-19,895.48,921.6275,885.8,911.12,733673.0,909.3817,30777
MPWR,2024-09-20,899.34,901.69,870.88,891.32,1267746.0,888.5955,34050
MPWR,2024-09-23,897.43,900.12,886.56,893.29,300764.0,892.9573,15205
MPWR,2024-09-24,907.2,917.06,893.12,911.0,275270.0,909.3445,16245
MPWR,2024-09-25,902.35,923.4823,902.1,914.74,312346.0,912.015,17875
MPWR,2024-09-26,940.0,950.29,904.745,944.39,545064.0,938.3579,30021
MPWR,2024-09-27,949.8,949.8,920.64,924.99,571733.0,927.8995,25222
MPWR,2024-09-30,919.94,930.1,907.95,924.5,392142.0,921.9783,20857
MPWR,2024-10-01,921.34,926.48,885.0865,891.81,589058.0,894.143,27171
MPWR,2024-10-02,901.78,930.37,887.29,918.9,362504.0,919.9154,18892
