ticker,date,open,high,low,close,volume,vwap,transactions
MRK,2024-06-17,128.21,128.94,127.37,127.5,8524031.0,127.7119,79229
MRK,2024-06-18,128.27,128.73,127.0901,127.99,6532400.0,127.9352,75403
MRK,2024-06-20,127.39,130.4263,126.75,129.67,10348371.0,129.2728,96390
MRK,2024-06-21,130.17,131.2,129.09,130.72,17182704.0,130.4276,77681
MRK,2024-06-24,131.27,133.31,130.925,132.96,8554044.0,132.6423,91075
MRK,2024-06-25,133.12,134.63,132.6039,132.92,6758429.0,133.191,76781
MRK,2024-06-26,133.38,133.43,131.49,131.5,8492119.0,132.0761,72115
MRK,2024-06-27,131.99,132.29,126.78,129.82,11927599.0,129.3432,125636
MRK,2024-06-28,129.54,130.97,120.87,123.8,57055458.0,124.5289,130543
MRK,2024-07-01,125.38,129.19,125.1,127.9,11532966.0,127.8619,133335
MRK,2024-07-02,128.21,128.24,126.66,127.72,5645359.0,127.5925,72186
MRK,2024-07-03,127.69,127.94,125.3,125.85,4002054.0,126.1611,56578
MRK,2024-07-05,126.53,126.6,124.91,126.45,6786713.0,126.0827,80842
MRK,2024-07-08,126.8,127.455,125.33,125.78,5743436.0,126.0178,67271
MRK,2024-07-09,125.24,126.095,123.7,126.04,6339265.0,125.531,78191
MRK,2024-07-10,125.88,127.48,125.83,127.3,4588745.0,127.0962,59047
MRK,2024-07-11,127.61,129.12,127.59,128.97,7052117.0,128.4652,82546
MRK,2024-07-12,129.4,129.93,127.32,127.76,7022250.0,128.0891,79915
MRK,2024-07-15,128.0,128.34,127.2,128.12,6918594.0,127.907,79456
MRK,2024-07-16,127.87,129.03,125.2,125.44,8194439.0,126.2278,103237
MRK,2024-07-17,125.47,126.69,124.56,125.89,7627972.0,125.765,93555
MRK,2024-07-18,125.3,125.595,122.37,124.25,9501529.0,123.8447,113186
MRK,2024-07-19,125.3,126.99,125.18,125.77,6848758.0,125.8988,76359
MRK,2024-07-22,125.95,126.49,125.03,125.69,4341784.0,125.7064,60172
MRK,2024-07-23,124.99,125.62,124.18,124.38,4285426.0,124.6558,61971
MRK,2024-07-24,124.97,126.17,124.675,125.92,6338450.0,125.6612,77186
MRK,2024-07-25,126.03,127.85,125.71,125.85,7357140.0,126.5269,97085
MRK,2024-07-26,127.235,128.73,125.05,125.26,6467036.0,125.965,79343
MRK,2024-07-29,125.775,127.99,124.92,127.78,9139540.0,127.3032,114915
MRK,2024-07-30,123.48,123.94,113.9101,115.25,35509393.0,116.7886,324716
MRK,2024-07-31,116.0,117.84,112.22,113.13,22732991.0,113.808,214780
MRK,2024-08-01,113.125,114.47,111.405,113.82,14117458.0,113.2429,160624
MRK,2024-08-02,115.16,117.3,114.36,115.2,16562288.0,115.5288,165886
MRK,2024-08-05,114.95,115.12,111.34,112.31,13333985.0,112.6231,165865
MRK,2024-08-06,112.3,113.08,110.92,111.15,9761855.0,111.8534,106711
MRK,2024-08-07,111.68,112.545,110.72,112.49,9756450.0,111.8192,104654
MRK,2024-08-08,112.92,114.23,112.57,113.92,8278156.0,113.627,90657
MRK,2024-08-09,113.78,114.72,112.87,114.55,5914321.0,114.0495,72042
MRK,2024-08-12,114.71,114.71,113.11,113.48,6536044.0,113.6811,82502
MRK,2024-08-13,113.57,114.865,112.84,114.39,9040343.0,114.1294,100322
MRK,2024-08-14,113.66,113.93,111.51,113.58,11029415.0,112.9395,117862
MRK,2024-08-15,114.17,114.5,112.565,113.31,9685136.0,113.1386,117512
MRK,2024-08-16,113.61,113.72,112.62,113.67,10102341.0,113.4012,89166
