ticker,date,open,high,low,close,volume,vwap,transactions
MU,2024-06-17,145.58,148.75,142.14,147.83,23908993.0,146.0472,267111
MU,2024-06-18,151.74,157.535,151.51,153.45,42192569.0,154.4236,429789
MU,2024-06-20,157.01,157.41,142.91,144.19,41284979.0,148.1614,458608
MU,2024-06-21,137.65,142.6,135.7,139.54,51189670.0,139.2724,445765
MU,2024-06-24,142.44,142.83,137.89,139.01,32410058.0,140.2271,331583
MU,2024-06-25,140.07,141.13,137.75,141.12,32370046.0,139.7516,324165
MU,2024-06-26,143.04,144.07,139.54,142.36,55490293.0,139.7054,600024
MU,2024-06-27,135.79,137.39,131.08,132.23,68172714.0,133.9841,645715
MU,2024-06-28,132.82,135.42,130.75,131.53,38140587.0,132.5527,348581
MU,2024-07-01,130.5,132.0834,127.2689,131.52,24748994.0,130.3615,255789
MU,2024-07-02,129.91,132.71,129.42,132.59,20776035.0,131.5685,176100
MU,2024-07-03,132.66,136.82,132.43,136.82,14507146.0,134.7713,165364
MU,2024-07-05,136.82,137.13,130.91,131.6,30104619.0,132.2635,323619
MU,2024-07-08,131.295,133.27,130.09,130.69,20500745.0,131.5731,224091
MU,2024-07-09,131.75,135.21,130.88,131.14,21903375.0,132.4451,226258
MU,2024-07-10,133.105,136.5,132.7,136.39,22460199.0,134.8966,224783
MU,2024-07-11,136.36,136.43,130.07,130.23,25401541.0,132.0643,291037
MU,2024-07-12,131.75,134.43,130.72,133.55,20726899.0,132.9372,217784
MU,2024-07-15,133.91,135.35,130.03,130.87,20416018.0,132.0071,236846
MU,2024-07-16,130.42,130.97,127.24,127.49,21312635.0,128.4064,247672
MU,2024-07-17,122.58,123.03,119.23,119.5,31414074.0,120.8224,386991
MU,2024-07-18,120.5,121.64,114.09,117.45,30404911.0,116.8618,340593
MU,2024-07-19,116.69,117.2124,113.85,114.26,18038924.0,114.998,208159
MU,2024-07-22,115.36,115.58,113.64,115.28,23837761.0,114.863,239729
MU,2024-07-23,115.13,116.335,113.83,114.25,14707710.0,114.7076,152964
MU,2024-07-24,111.47,114.04,110.0,110.28,25261038.0,111.3684,260963
MU,2024-07-25,106.8,110.7,105.04,107.45,29068384.0,107.9325,322323
MU,2024-07-26,110.0,110.63,107.78,109.41,18547885.0,109.1191,207958
MU,2024-07-29,110.54,111.0299,107.14,107.85,13517675.0,108.5447,153032
MU,2024-07-30,109.0,109.25,102.17,102.56,23915140.0,104.2039,249834
MU,2024-07-31,109.85,111.3399,107.75,109.82,26503554.0,109.7183,268587
MU,2024-08-01,107.18,107.86,99.95,101.51,31643707.0,102.8408,325042
MU,2024-08-02,97.16,97.69,91.07,92.7,36039440.0,93.6626,411076
MU,2024-08-05,87.63,92.25,84.91,90.42,36977615.0,89.0629,400907
MU,2024-08-06,89.2,90.86,87.15,89.0,26460039.0,89.2092,279010
MU,2024-08-07,93.38,93.58,86.58,86.8,29483752.0,89.8134,284304
MU,2024-08-08,88.48,92.85,88.03,92.07,24760739.0,91.128,249135
MU,2024-08-09,91.79,94.53,91.45,93.08,21627209.0,93.1564,201766
MU,2024-08-12,93.1,96.53,92.6301,94.64,18886624.0,94.7012,174379
MU,2024-08-13,96.615,97.78,94.91,97.44,23565495.0,96.9246,235849
MU,2024-08-14,101.0,101.95,98.0652,100.41,22458958.0,100.2284,239802
MU,2024-08-15,103.51,108.0483,102.75,106.95,29127952.0,106.2081,255890
MU,2024-08-16,106.83,109.47,105.35,107.99,18383278.0,107.6874,201904
MU,2024-08-19,107.245,108.72,104.76,108.63,15744648.0,106.8571,168148
MU,2024-08-20,108.33,109.19,106.16,107.99,16075515.0,107.8309,158462
MU,2024-08-21,108.16,108.4,106.21,108.33,13658899.0,107.4182,153457
MU,2024-08-22,108.95,111.0,103.96,104.26,17967028.0,106.4905,191062
MU,2024-08-23,103.04,104.41,100.31,102.85,25465076.0,102.4878,273184
MU,2024-08-26,100.67,102.19,97.61,98.91,26752251.0,99.3067,265688
MU,2024-08-27,97.09,98.49,96.668,97.86,17234616.0,97.5119,186849
MU,2024-08-28,97.36,97.6847,92.7,94.86,25564297.0,94.4233,274315
MU,2024-08-29,96.56,97.98,94.99,95.57,18984288.0,96.396,207897
MU,2024-08-30,96.92,98.4129,94.99,96.24,18819367.0,96.2317,172731
MU,2024-09-03,93.63,93.8799,88.31,88.58,28897236.0,89.8883,302441
MU,2024-09-04,88.36,90.73,87.81,89.29,16356537.0,89.3714,205678
MU,2024-09-05,88.1,90.7,87.76,89.39,13890660.0,89.4775,156248
MU,2024-09-06,89.37,89.65,85.26,86.38,23587097.0,86.5211,243897
MU,2024-09-09,87.85,87.96,85.01,86.27,20526393.0,86.1306,192907
MU,2024-09-10,86.97,87.19,84.87,86.85,17019016.0,86.18,172194
MU,2024-09-11,88.2,90.83,86.08,90.65,20879599.0,88.8875,200381
MU,2024-09-12,87.1,88.03,84.12,87.21,30982533.0,86.6041,308552
MU,2024-09-13,88.09,91.47,87.87,91.22,21267222.0,90.6217,199177
MU,2024-09-16,87.24,88.24,85.92,87.18,26494332.0,87.1701,258593
MU,2024-09-17,88.06,89.57,87.5401,88.73,17744764.0,88.5218,171764
MU,2024-09-18,87.99,89.2,86.71,87.35,20130596.0,87.7313,193926
MU,2024-09-19,89.35,90.39,87.58,89.25,25208917.0,89.314,238835
MU,2024-09-20,88.4,90.97,88.33,90.9,28711000.0,90.1737,193087
MU,2024-09-23,92.675,94.8,92.58,93.57,23394101.0,93.6262,249924
MU,2024-09-24,94.73,95.0,92.76,94.0,23043237.0,94.0678,240337
MU,2024-09-25,94.16,96.175,93.93,95.77,54762883.0,98.7316,469345
MU,2024-09-26,113.1,114.8,107.53,109.88,107965892.0,110.5824,926534
MU,2024-09-27,110.5,110.97,107.03,107.5,42960180.0,108.3513,376543
MU,2024-09-30,106.08,106.7483,102.26,103.71,39627713.0,103.9845,349323
MU,2024-10-01,103.4,104.2,98.94,100.31,34309766.0,100.4913,343258
MU,2024-10-02,100.59,102.12,99.33,99.85,26334893.0,100.3595,220080
MU,2024-10-03,99.47,102.53,99.4,101.82,22176651.0,101.585,216210
MU,2024-10-04,103.65,104.2399,101.4,102.25,21945805.0,102.5856,206984
MU,2024-10-07,102.16,104.5932,100.81,102.91,21749278.0,102.7511,197565
MU,2024-10-08,102.18,102.94,101.26,102.54,18858267.0,102.216,181332
MU,2024-10-09,102.25,102.29,100.322,101.7,18442718.0,101.2317,196747
MU,2024-10-10,101.37,106.58,100.845,105.69,27605588.0,104.6816,261896
MU,2024-10-11,105.04,107.65,104.9915,106.92,19133928.0,106.5971,190677
MU,2024-10-14,107.805,108.71,106.8,108.34,15021917.0,107.9611,168926
MU,2024-10-15,107.86,109.49,102.71,104.32,23419132.0,105.0754,261919
MU,2024-10-16,106.02,109.63,105.61,109.24,20450884.0,108.3404,221576
MU,2024-10-17,111.34,114.14,111.01,112.05,26584811.0,112.5545,269206
MU,2024-10-18,111.75,112.9,109.86,111.15,16700370.0,111.0416,173135
MU,2024-10-21,111.1,111.14,107.69,109.08,14829420.0,108.9936,149792
MU,2024-10-22,108.24,108.515,106.37,107.82,13758061.0,107.3895,142283
MU,2024-10-23,106.564,107.1,103.54,105.05,15174706.0,105.1958,175268
MU,2024-10-24,106.775,107.53,105.545,106.85,13206263.0,106.6587,148414
MU,2024-10-25,108.34,109.88,107.72,107.91,12264950.0,108.6155,138805
MU,2024-10-28,106.78,108.18,106.32,106.39,12381045.0,106.8786,129459
MU,2024-10-29,106.585,108.75,105.6037,108.18,15164581.0,107.4135,143228
MU,2024-10-30,106.26,106.8,103.64,104.08,14321780.0,104.7837,168936
MU,2024-10-31,102.2,102.49,99.0707,99.65,19830324.0,99.9467,212304
MU,2024-11-01,100.0,100.61,99.37,99.73,13623350.0,99.9712,152572
MU,2024-11-04,101.5,103.7867,101.0011,101.73,15765848.0,102.1759,154552
MU,2024-11-05,102.0,105.62,101.79,105.49,12071905.0,104.3636,129852
MU,2024-11-06,108.38,112.32,107.0,111.83,20304531.0,110.359,227964
MU,2024-11-07,112.5586,113.86,111.37,113.41,13569838.0,112.9722,166254
MU,2024-11-08,112.14,114.3,110.565,111.9,13045721.0,112.0441,136834
MU,2024-11-11,110.945,111.51,106.77,108.65,14479681.0,108.2249,170479
MU,2024-11-12,105.0,105.09,102.07,104.1,21859729.0,103.6274,252084
MU,2024-11-13,102.8,103.3402,99.82,99.92,18416175.0,100.8871,209938
MU,2024-11-14,101.29,102.29,98.56,99.18,18459749.0,99.8966,210737
MU,2024-11-15,97.55,98.2,95.6374,96.34,18518298.0,96.6007,197846
MU,2024-11-18,96.545,98.07,95.53,97.51,14251177.0,97.2366,133390
MU,2024-11-19,97.0,98.18,96.51,97.73,14160307.0,97.5186,139698
MU,2024-11-20,97.975,98.53,96.53,98.37,10490585.0,97.7778,143504
MU,2024-11-21,100.095,103.2864,98.062,102.76,18915150.0,101.5911,195822
MU,2024-11-22,102.36,103.71,101.65,102.64,12063730.0,102.7096,139404
MU,2024-11-25,103.85,106.4,103.81,104.48,22837895.0,104.8524,185908
MU,2024-11-26,104.0,104.72,100.31,101.8,19275679.0,101.4342,188005
MU,2024-11-27,100.94,101.04,96.635,98.2,17046441.0,98.1856,195525
