ticker,date,open,high,low,close,volume,vwap,transactions
ODFL,2024-06-17,171.48,174.11,170.9321,173.92,1664581.0,173.3329,29489
ODFL,2024-06-18,173.93,174.69,172.02,173.3,1516547.0,173.2185,25939
ODFL,2024-06-20,174.22,176.811,173.305,174.65,1689035.0,175.0055,32411
ODFL,2024-06-21,175.88,176.48,173.11,174.89,2173373.0,175.0854,27081
ODFL,2024-06-24,174.89,178.84,174.05,176.07,1524399.0,176.9193,29238
ODFL,2024-06-25,173.77,175.72,172.45,174.85,1251543.0,174.7534,23107
ODFL,2024-06-26,175.61,178.62,174.98,176.04,1455963.0,176.8079,22725
ODFL,2024-06-27,175.92,177.2,173.65,174.37,1150716.0,174.791,22979
ODFL,2024-06-28,176.0,178.42,174.97,176.6,3118740.0,176.6391,38499
ODFL,2024-07-01,176.16,180.59,175.65,178.7,1862986.0,178.8152,36925
ODFL,2024-07-02,179.06,182.69,178.3,182.17,2515153.0,181.5322,32678
ODFL,2024-07-03,182.86,184.21,181.26,181.87,919779.0,182.3334,17567
ODFL,2024-07-05,182.05,183.68,180.87,182.77,1195390.0,182.8183,25591
ODFL,2024-07-08,182.17,183.1,177.99,181.06,1596022.0,180.3566,27595
ODFL,2024-07-09,181.32,181.5,177.42,178.41,1188748.0,178.6961,23770
ODFL,2024-07-10,179.03,182.32,177.84,182.12,1375570.0,180.8506,25968
ODFL,2024-07-11,183.17,187.7,182.64,186.76,1570147.0,186.3939,30195
ODFL,2024-07-12,187.46,193.57,187.46,190.22,1876687.0,191.3525,35984
ODFL,2024-07-15,190.36,197.77,190.0,195.25,2008850.0,195.8723,36871
ODFL,2024-07-16,195.77,204.115,195.77,203.84,2009754.0,202.476,42784
ODFL,2024-07-17,202.06,204.35,198.67,198.68,2325205.0,200.0935,37485
ODFL,2024-07-18,198.68,200.04,193.89,195.46,1581389.0,196.4377,28546
ODFL,2024-07-19,195.73,197.383,193.605,195.47,1228436.0,195.2851,26241
ODFL,2024-07-22,197.59,199.29,192.88,195.31,1341257.0,194.9411,25916
ODFL,2024-07-23,193.85,196.15,192.66,193.85,1826035.0,194.4143,34685
ODFL,2024-07-24,197.14,200.56,182.86,194.62,3328712.0,194.5421,56612
ODFL,2024-07-25,194.65,210.515,194.65,205.7,3154131.0,206.057,49425
ODFL,2024-07-26,200.0,206.97,199.42,202.93,2484038.0,203.1849,36940
ODFL,2024-07-29,203.61,206.8,200.49,201.5,1270497.0,202.4528,27275
ODFL,2024-07-30,203.29,208.0,203.29,205.03,1210051.0,205.1797,26393
ODFL,2024-07-31,206.19,214.23,205.605,210.18,1643725.0,210.2845,30872
ODFL,2024-08-01,210.71,216.54,202.57,203.2,2034289.0,205.9163,39458
ODFL,2024-08-02,199.37,200.0,191.1,195.12,2107060.0,194.1893,37771
ODFL,2024-08-05,190.655,198.365,187.0,194.26,1645851.0,194.0912,32121
ODFL,2024-08-06,195.0,202.65,194.5,197.86,1537391.0,199.7659,26012
ODFL,2024-08-07,198.37,199.23,193.12,193.15,2497048.0,195.3993,33103
ODFL,2024-08-08,195.71,197.88,192.7,196.0,2529204.0,195.405,35732
ODFL,2024-08-09,196.02,197.47,190.79,193.23,2169928.0,192.3111,38728
ODFL,2024-08-12,193.37,193.84,189.21,190.62,1500897.0,190.8839,26116
ODFL,2024-08-13,191.2,195.29,190.85,195.02,1086872.0,193.6492,24874
ODFL,2024-08-14,195.02,197.78,192.09,193.0,820004.0,194.0926,19225
ODFL,2024-08-15,197.62,201.56,196.64,197.14,1304916.0,198.5322,27693
ODFL,2024-08-16,194.78,200.49,194.78,200.17,1193986.0,199.1877,27080
ODFL,2024-08-19,200.17,200.92,198.298,200.16,755214.0,199.589,22454
ODFL,2024-08-20,199.75,201.96,198.53,198.75,910984.0,199.2159,20856
ODFL,2024-08-21,200.59,203.22,199.35,202.9,913289.0,201.9052,20045
ODFL,2024-08-22,202.98,205.11,199.7,200.9,860642.0,201.2042,21503
ODFL,2024-08-23,201.87,204.765,201.03,203.77,589017.0,203.4978,17150
ODFL,2024-08-26,204.16,205.09,198.71,199.12,873452.0,199.7773,19884
ODFL,2024-08-27,198.08,198.965,191.54,192.86,1035590.0,193.362,23369
ODFL,2024-08-28,192.84,195.43,192.08,194.2,742673.0,194.2245,19430
ODFL,2024-08-29,195.0,195.63,191.12,192.12,873495.0,193.0869,19689
ODFL,2024-08-30,192.05,193.095,188.6,192.8,1451649.0,191.6856,27433
ODFL,2024-09-03,191.57,196.3799,189.96,194.78,1400267.0,194.35,32841
ODFL,2024-09-04,198.14,199.4,194.3,195.64,1103955.0,195.7974,22505
ODFL,2024-09-05,187.21,187.78,179.82,186.06,2693744.0,184.7559,46915
ODFL,2024-09-06,186.29,187.415,182.86,184.82,1429755.0,184.5852,28575
ODFL,2024-09-09,185.98,190.99,185.77,189.78,1445233.0,189.593,30521
ODFL,2024-09-10,190.28,191.72,188.28,191.16,1001908.0,190.7179,21742
ODFL,2024-09-11,190.49,190.55,182.8,188.85,1310150.0,187.2474,29573
ODFL,2024-09-12,189.75,191.69,187.34,191.26,887577.0,190.2007,24124
ODFL,2024-09-13,190.98,193.795,190.075,192.61,989187.0,192.4473,21809
ODFL,2024-09-16,193.78,195.18,190.34,191.92,863763.0,191.7876,22375
