ticker,date,open,high,low,close,volume,vwap,transactions
PANW,2024-06-17,158.005,160.585,155.94,159.795,5080904.0,159.2759,68699
PANW,2024-06-18,160.005,160.57,157.93,158.51,4121360.0,158.8236,56121
PANW,2024-06-20,159.7375,160.55,154.625,155.52,6281036.0,156.1409,74355
PANW,2024-06-21,157.92,160.695,156.13,160.165,14406704.0,159.5788,82349
PANW,2024-06-24,159.37,163.4,157.87,158.34,6381334.0,160.0075,76217
PANW,2024-06-25,158.68,163.195,158.0,161.34,5155936.0,161.3281,63436
PANW,2024-06-26,161.0,163.69,159.9,162.63,4249614.0,162.235,52559
PANW,2024-06-27,165.0,172.705,164.57,170.41,11299140.0,170.32,118163
PANW,2024-06-28,170.0,172.95,168.685,169.505,8344612.0,170.205,79269
PANW,2024-07-01,169.0,171.265,165.74,170.45,4766896.0,169.5884,67022
PANW,2024-07-02,169.685,171.405,168.035,170.22,4240338.0,170.0595,53531
PANW,2024-07-03,169.725,171.22,169.24,170.6,2045296.0,170.567,55717
PANW,2024-07-05,170.4875,172.775,169.1525,171.045,4140730.0,171.0227,61972
PANW,2024-07-08,170.08,170.975,164.665,168.82,5856278.0,167.6937,82420
PANW,2024-07-09,169.5,169.5,166.065,168.09,3594368.0,167.8697,53347
PANW,2024-07-10,168.5,169.005,165.08,168.53,4091366.0,167.4096,50856
PANW,2024-07-11,168.515,170.625,164.56,165.52,5553354.0,166.2107,66799
PANW,2024-07-12,166.005,169.1,165.64,168.25,3581116.0,167.9628,50622
PANW,2024-07-15,166.395,171.845,164.625,170.455,5101012.0,169.6555,58075
PANW,2024-07-16,170.3,170.8438,167.755,169.25,3184060.0,169.3132,44065
PANW,2024-07-17,167.455,167.935,163.815,166.07,4625656.0,165.7277,62522
PANW,2024-07-18,164.635,165.5,160.13,161.94,5020130.0,162.4251,68035
PANW,2024-07-19,165.9795,168.45,163.015,165.445,6454754.0,165.3243,76394
PANW,2024-07-22,167.225,169.435,164.44,166.85,5970354.0,166.475,59892
PANW,2024-07-23,167.495,170.445,166.325,167.78,5494242.0,168.0474,48401
PANW,2024-07-24,167.0,168.135,161.5,162.12,4984268.0,163.5259,54082
PANW,2024-07-25,163.28,164.425,159.365,160.065,4743168.0,161.5655,58466
PANW,2024-07-26,161.615,164.5775,160.635,163.405,3418850.0,163.0453,44635
PANW,2024-07-29,163.75,164.365,160.7,161.03,3124682.0,161.8286,45672
PANW,2024-07-30,162.62,163.4175,157.505,158.755,5412340.0,159.4286,53909
PANW,2024-07-31,160.3225,163.31,158.125,162.365,4082338.0,162.0283,51114
PANW,2024-08-01,161.705,162.82,156.185,157.81,6717674.0,158.576,69124
