ticker,date,open,high,low,close,volume,vwap,transactions
PLTR,2024-06-17,23.47,25.06,23.45,25.02,54101503.0,24.5525,228726
PLTR,2024-06-18,25.15,26.025,24.83,25.82,54458580.0,25.4793,229451
PLTR,2024-06-20,26.44,26.57,25.155,25.56,66734955.0,25.9205,298347
PLTR,2024-06-21,24.71,26.09,23.53,23.84,69981578.0,24.047,273240
PLTR,2024-06-24,23.44,24.3874,23.3,24.16,36477408.0,24.0213,182938
PLTR,2024-06-25,24.16,24.63,23.9201,24.56,29657245.0,24.3926,123598
PLTR,2024-06-26,24.47,24.66,24.025,24.1,24331377.0,24.2675,126154
PLTR,2024-06-27,24.1,25.4,24.05,25.22,37882859.0,25.0014,165338
PLTR,2024-06-28,25.28,25.57,25.03,25.33,38886441.0,25.3373,141559
PLTR,2024-07-01,25.48,26.02,25.1421,25.88,33167921.0,25.6923,152655
PLTR,2024-07-02,25.84,26.43,25.75,25.83,32148242.0,26.082,150956
PLTR,2024-07-03,25.96,26.27,25.76,25.85,18433843.0,26.0063,96954
PLTR,2024-07-05,26.0,27.25,25.975,27.23,46703729.0,26.9077,234478
PLTR,2024-07-08,27.93,27.986,26.84,27.7,59611163.0,27.6396,302672
PLTR,2024-07-09,27.93,28.38,27.23,27.39,53226526.0,27.6908,261946
PLTR,2024-07-10,27.5,28.47,27.37,28.42,43231028.0,28.0137,210238
PLTR,2024-07-11,28.49,28.59,26.9,27.64,61546057.0,27.7306,303810
PLTR,2024-07-12,27.32,28.13,27.28,28.07,30760268.0,27.9087,169120
PLTR,2024-07-15,28.42,29.3,27.9,28.67,49186345.0,28.7873,240800
PLTR,2024-07-16,28.18,28.84,27.47,28.67,59330683.0,28.2781,267145
PLTR,2024-07-17,28.0,28.87,27.6,28.22,45203461.0,28.2116,227409
PLTR,2024-07-18,28.42,29.83,28.15,28.64,76485561.0,28.9634,334829
PLTR,2024-07-19,28.31,29.6,28.27,28.58,49581636.0,28.9632,237865
PLTR,2024-07-22,28.93,28.97,27.69,28.46,38037812.0,28.3522,197146
PLTR,2024-07-23,28.34,29.19,28.31,28.81,31134262.0,28.872,156629
PLTR,2024-07-24,28.44,28.685,26.58,26.6,49004105.0,27.3173,259541
PLTR,2024-07-25,26.04,27.288,25.42,26.63,45474613.0,26.4501,252488
PLTR,2024-07-26,27.0,27.34,26.77,27.18,27432224.0,27.0692,140323
PLTR,2024-07-29,27.56,27.8,26.73,27.08,26038842.0,27.2402,138738
PLTR,2024-07-30,27.25,27.44,25.89,26.37,31819905.0,26.5227,171679
PLTR,2024-07-31,27.02,27.39,26.88,26.89,29111605.0,27.1125,135547
PLTR,2024-08-01,27.02,27.535,25.83,26.08,31189607.0,26.5171,171562
PLTR,2024-08-02,24.75,24.87,23.75,24.74,56092591.0,24.4096,294209
PLTR,2024-08-05,21.74,24.42,21.23,24.09,88023468.0,24.1879,453448
PLTR,2024-08-06,27.05,27.42,25.57,26.59,99622681.0,26.7,452013
PLTR,2024-08-07,27.07,28.36,26.24,26.32,75975382.0,27.4511,354648
PLTR,2024-08-08,27.04,29.375,26.69,29.28,96892918.0,28.4951,400961
PLTR,2024-08-09,29.28,30.36,29.1,30.01,88131106.0,29.8534,372350
PLTR,2024-08-12,30.22,31.2,29.27,29.38,67890322.0,29.9586,307999
PLTR,2024-08-13,29.7887,30.8498,29.56,30.39,57294206.0,30.3299,245655
PLTR,2024-08-14,30.62,31.37,30.33,31.0,49885641.0,30.9076,238627
PLTR,2024-08-15,31.31,31.495,30.83,31.22,43407612.0,31.1854,226541
PLTR,2024-08-16,31.04,32.75,30.98,32.08,64870638.0,32.0876,303440
PLTR,2024-08-19,32.42,32.59,31.814,32.5,52353641.0,32.2714,256623
PLTR,2024-08-20,32.5,32.72,31.63,32.32,40783010.0,32.1701,204722
PLTR,2024-08-21,32.32,32.67,31.97,32.54,38147564.0,32.3064,185933
PLTR,2024-08-22,32.55,33.125,31.85,31.92,43522223.0,32.4313,208486
PLTR,2024-08-23,31.99,32.55,31.622,31.78,34121175.0,31.9575,187521
PLTR,2024-08-26,31.43,31.74,30.79,30.85,35283625.0,31.0701,198642
PLTR,2024-08-27,30.55,31.12,30.38,30.84,23541256.0,30.8267,130208
PLTR,2024-08-28,30.62,30.8,29.75,30.36,33961370.0,30.2587,179643
PLTR,2024-08-29,30.65,31.82,30.484,31.0,39732985.0,31.317,216992
PLTR,2024-08-30,31.05,31.5,30.7,31.48,42388023.0,31.2578,180132
PLTR,2024-09-03,31.35,31.5892,30.165,30.51,34531596.0,30.8339,207586
PLTR,2024-09-04,30.0,30.85,29.31,30.59,33419490.0,30.2687,201591
PLTR,2024-09-05,30.24,30.74,30.01,30.16,24012331.0,30.3495,149240
PLTR,2024-09-06,30.6,31.04,29.5,30.33,50946777.0,30.3935,289883
PLTR,2024-09-09,32.7,34.7,32.47,34.6,140582494.0,33.9552,694877
PLTR,2024-09-10,34.81,35.2,33.71,34.76,91720986.0,34.3793,454496
PLTR,2024-09-11,34.01,34.87,33.62,34.85,68302252.0,34.307,334480
PLTR,2024-09-12,34.86,35.4,34.5308,34.91,54391843.0,34.9792,290615
