ticker,date,open,high,low,close,volume,vwap,transactions
QQQ,2024-06-17,479.46,486.86,478.14,485.06,37054504.0,483.0518,326989
QQQ,2024-06-18,485.01,485.9,483.43,485.21,24438565.0,484.9316,249179
QQQ,2024-06-20,486.42,486.8387,479.62,481.47,33918683.0,483.085,333038
QQQ,2024-06-21,481.19,482.535,478.67,480.18,39432913.0,480.6679,290553
QQQ,2024-06-24,478.18,479.93,473.82,473.96,37750969.0,476.4717,343346
QQQ,2024-06-25,476.07,479.68,475.12,479.38,29250209.0,477.9066,246603
QQQ,2024-06-26,478.55,480.92,478.13,480.37,22737105.0,479.6596,233143
QQQ,2024-06-27,480.12,483.1,479.3,481.61,26222135.0,481.272,216626
QQQ,2024-06-28,482.41,487.2,478.46,479.11,34881581.0,482.0873,317453
QQQ,2024-07-01,480.04,482.49,476.255,481.92,24898336.0,479.9141,267956
QQQ,2024-07-02,480.41,487.04,480.28,486.98,26723559.0,484.4303,255320
QQQ,2024-07-03,486.22,491.17,486.22,491.04,18064880.0,489.1158,203164
QQQ,2024-07-05,491.89,496.6,491.59,496.16,28495936.0,494.8431,285772
QQQ,2024-07-08,496.53,497.895,495.5,497.34,22109420.0,496.6625,256289
QQQ,2024-07-09,498.87,500.0,496.24,497.77,25701253.0,498.0284,238426
QQQ,2024-07-10,499.71,503.52,498.39,502.96,28046901.0,501.212,264545
QQQ,2024-07-11,503.07,503.28,490.725,491.93,49966590.0,495.6484,497036
QQQ,2024-07-12,492.51,499.62,492.04,494.82,37109399.0,495.8143,319966
QQQ,2024-07-15,496.61,501.01,494.09,496.15,31151386.0,497.0779,317900
QQQ,2024-07-16,497.62,498.44,493.15,496.34,25950622.0,495.4178,271881
QQQ,2024-07-17,488.28,488.7984,481.7,481.77,56268768.0,485.6591,519248
QQQ,2024-07-18,485.53,485.71,476.27,479.49,49347361.0,480.0436,433743
QQQ,2024-07-19,479.15,481.69,473.94,475.24,42042856.0,476.8533,363746
QQQ,2024-07-22,481.16,483.35,477.7068,482.32,40299999.0,480.7488,349670
QQQ,2024-07-23,481.41,484.43,480.14,480.62,23282454.0,481.8883,255856
QQQ,2024-07-24,473.82,474.19,462.51,463.38,58818629.0,468.5202,515506
QQQ,2024-07-25,463.72,467.94,455.63,458.27,59256759.0,461.9749,533569
QQQ,2024-07-26,462.65,465.93,459.77,462.97,39992132.0,462.5793,401685
QQQ,2024-07-29,465.71,467.91,461.615,463.9,28218476.0,465.1188,318656
QQQ,2024-07-30,465.85,466.561,454.15,457.53,41317210.0,458.8569,397268
QQQ,2024-07-31,467.87,472.79,466.41,471.07,44552134.0,469.4184,444022
QQQ,2024-08-01,471.76,475.55,455.98,459.66,56653900.0,463.2863,571700
QQQ,2024-08-02,450.89,453.57,444.47,448.75,66323244.0,448.8166,709648
QQQ,2024-08-05,424.71,442.29,423.45,435.37,87483452.0,434.5607,1063062
QQQ,2024-08-06,437.23,447.07,434.56,439.53,63164429.0,441.3044,632351
QQQ,2024-08-07,446.49,449.0,434.37,434.77,54929163.0,441.5521,559480
QQQ,2024-08-08,441.06,448.99,437.15,448.07,47890071.0,444.1325,488152
QQQ,2024-08-09,446.74,452.06,445.61,450.41,33573976.0,448.9487,371460
QQQ,2024-08-12,451.39,454.37,448.5546,451.38,27795006.0,451.4308,324636
QQQ,2024-08-13,455.82,462.85,455.68,462.58,40084457.0,459.703,346913
QQQ,2024-08-14,463.51,465.1093,458.4,462.73,34733746.0,462.1639,345689
QQQ,2024-08-15,468.76,474.82,468.38,474.42,38280565.0,472.2873,359087
QQQ,2024-08-16,472.62,476.41,471.65,475.03,38383623.0,474.1238,303430
QQQ,2024-08-19,475.17,481.31,473.37,481.27,23737674.0,477.4844,277160
QQQ,2024-08-20,480.35,482.94,478.55,480.26,29209340.0,480.6103,277583
QQQ,2024-08-21,481.05,484.37,479.32,482.5,25658787.0,481.8433,267863
QQQ,2024-08-22,484.84,485.54,473.81,474.85,37739576.0,478.2682,363093
QQQ,2024-08-23,479.24,482.74,475.28,480.0,36061508.0,479.089,367679
QQQ,2024-08-26,479.45,480.38,473.24,475.34,27452641.0,475.7539,324165
QQQ,2024-08-27,473.69,477.84,471.71,476.76,27510003.0,475.997,290937
QQQ,2024-08-28,476.29,477.02,467.89,471.35,37372436.0,471.3714,388950
