ticker,date,open,high,low,close,volume,vwap,transactions
ROP,2024-06-17,549.0,554.16,547.63,553.59,632786.0,552.6412,22481
ROP,2024-06-18,551.74,561.885,551.74,560.1,496136.0,559.23,16611
ROP,2024-06-20,560.0,563.9187,556.0612,559.22,548346.0,559.3514,17977
ROP,2024-06-21,564.88,564.88,557.58,561.49,1028932.0,561.7029,17349
ROP,2024-06-24,560.63,568.68,558.25,562.55,529195.0,563.7382,15422
ROP,2024-06-25,565.09,566.465,561.82,562.99,391338.0,563.3436,11538
ROP,2024-06-26,559.98,562.5,556.635,557.54,372106.0,558.4583,13893
ROP,2024-06-27,560.08,565.43,556.93,562.06,435646.0,562.3086,16592
ROP,2024-06-28,561.97,569.495,559.94,563.66,742921.0,565.0758,18057
ROP,2024-07-01,567.11,568.55,560.63,562.63,360351.0,562.5888,14798
ROP,2024-07-02,564.14,567.54,561.25,563.11,503655.0,563.3321,14494
ROP,2024-07-03,563.15,564.335,559.03,560.45,284848.0,560.9191,8724
ROP,2024-07-05,558.32,563.06,556.1,562.56,324764.0,560.1946,12638
ROP,2024-07-08,558.63,559.81,553.57,556.8,315266.0,556.2362,12122
ROP,2024-07-09,557.67,557.67,549.24,550.47,348687.0,551.65,12673
ROP,2024-07-10,551.26,553.06,549.46,553.06,443671.0,551.9274,15251
ROP,2024-07-11,553.18,558.16,553.18,555.93,436431.0,555.8228,15632
ROP,2024-07-12,558.96,561.75,557.01,558.38,400690.0,559.2226,13626
ROP,2024-07-15,557.88,560.68,554.29,559.15,566546.0,557.967,15823
ROP,2024-07-16,559.16,567.42,558.36,567.07,405658.0,565.616,12287
ROP,2024-07-17,570.04,574.295,566.58,571.27,661678.0,570.8456,23136
ROP,2024-07-18,571.27,573.17,567.85,571.19,352235.0,570.6763,14439
ROP,2024-07-19,572.75,575.0,564.35,567.31,459205.0,567.974,14417
ROP,2024-07-22,570.82,577.23,570.25,576.55,505296.0,575.2207,15362
ROP,2024-07-23,577.5,579.1,573.48,574.27,430783.0,575.1393,13248
ROP,2024-07-24,546.0,546.0,520.44,531.97,2064398.0,529.5983,51828
ROP,2024-07-25,541.13,548.19,534.61,540.89,1094747.0,541.6699,28006
ROP,2024-07-26,550.65,553.55,542.27,548.53,777957.0,548.4333,18679
ROP,2024-07-29,549.08,555.95,542.64,545.69,400635.0,546.4942,15904
ROP,2024-07-30,546.52,551.5,541.66,544.81,327047.0,544.7459,14185
ROP,2024-07-31,548.0,550.255,543.0,544.75,560536.0,545.6633,15380
ROP,2024-08-01,544.45,549.15,537.85,544.4,440983.0,543.0658,15714
ROP,2024-08-02,546.9,548.01,532.07,536.03,739991.0,538.0193,19819
ROP,2024-08-05,571.19,571.19,515.875,517.53,934563.0,522.2592,26900
ROP,2024-08-06,520.5,529.23,517.92,518.14,596883.0,522.3137,21369
ROP,2024-08-07,524.91,527.125,514.79,515.25,465791.0,518.7901,15296
ROP,2024-08-08,518.97,525.775,516.38,523.02,347142.0,522.8687,15509
ROP,2024-08-09,521.23,527.79,517.965,526.78,300107.0,525.5779,12871
ROP,2024-08-12,524.51,526.24,519.23,520.07,298972.0,521.3691,11073
ROP,2024-08-13,520.07,525.16,518.87,525.02,388510.0,523.8415,11160
ROP,2024-08-14,524.23,528.375,523.7,528.0,272638.0,526.74,9863
ROP,2024-08-15,535.24,549.065,532.49,546.57,608002.0,545.1333,18262
ROP,2024-08-16,548.45,549.8,545.36,548.5,389768.0,548.0234,13122
ROP,2024-08-19,547.62,550.58,546.12,549.88,273977.0,549.0078,10815
ROP,2024-08-20,550.42,551.87,544.83,547.45,266834.0,547.2231,10851
ROP,2024-08-21,549.94,551.91,547.39,551.48,324374.0,550.2145,9972
ROP,2024-08-22,552.58,554.5,545.01,545.97,456416.0,546.8252,14233
ROP,2024-08-23,550.16,550.67,542.77,547.82,392340.0,546.5821,13563
ROP,2024-08-26,547.94,552.33,545.34,546.73,330268.0,547.7953,10825
