ticker,date,open,high,low,close,volume,vwap,transactions
ROST,2024-06-17,145.66,150.44,145.0,150.38,2651968.0,149.4887,47405
ROST,2024-06-18,150.0,150.18,148.38,148.69,2510431.0,149.0667,47429
ROST,2024-06-20,148.37,149.38,146.9201,147.37,2714887.0,147.6645,46971
ROST,2024-06-21,148.4,149.6,147.62,149.29,4545777.0,148.8993,39003
ROST,2024-06-24,149.91,149.91,148.34,149.25,1655567.0,149.3234,35086
ROST,2024-06-25,149.53,149.53,147.4901,148.46,1790357.0,148.3977,31195
ROST,2024-06-26,148.16,149.28,147.8,148.74,1717533.0,148.6002,32385
ROST,2024-06-27,148.37,148.42,145.96,146.08,1794521.0,146.4403,34414
ROST,2024-06-28,145.75,146.35,144.87,145.32,8585963.0,145.3879,48459
ROST,2024-07-01,145.77,146.28,144.41,145.24,1965820.0,145.1063,28819
ROST,2024-07-02,145.25,146.14,144.19,144.4,1854497.0,144.5784,30658
ROST,2024-07-03,144.4,144.8,143.785,144.0,1170620.0,144.218,20688
ROST,2024-07-05,144.24,145.86,144.02,145.55,1601693.0,145.2987,28184
ROST,2024-07-08,146.21,146.98,145.68,146.69,1088857.0,146.4662,23312
ROST,2024-07-09,147.22,147.785,146.67,146.83,1313743.0,147.0414,21245
ROST,2024-07-10,146.83,148.26,146.83,148.03,1432303.0,147.7682,25241
ROST,2024-07-11,148.62,151.1,148.505,150.8,1779650.0,150.449,32679
ROST,2024-07-12,151.26,153.06,151.17,151.73,1648666.0,152.0575,31520
ROST,2024-07-15,150.41,151.38,147.87,148.08,2685569.0,148.5054,36267
ROST,2024-07-16,147.9,149.355,147.15,148.87,2026994.0,148.7131,37934
ROST,2024-07-17,148.64,148.99,146.765,147.6,2058260.0,147.5138,35605
ROST,2024-07-18,147.79,147.79,143.95,144.5,2168823.0,145.0515,40336
ROST,2024-07-19,145.0,145.39,142.81,143.5,3550702.0,143.5992,35337
ROST,2024-07-22,144.32,145.009,143.45,144.92,1957434.0,144.5908,33659
ROST,2024-07-23,144.92,145.26,143.24,143.78,1906427.0,144.1226,28064
ROST,2024-07-24,143.58,143.7491,141.79,142.09,1939804.0,142.6256,35571
ROST,2024-07-25,142.1,143.31,141.01,141.11,1800491.0,141.8232,35850
ROST,2024-07-26,142.0,142.51,140.42,140.91,1853660.0,141.0521,33241
ROST,2024-07-29,141.43,142.41,139.65,141.91,1595561.0,141.6402,25108
ROST,2024-07-30,142.22,143.29,141.81,142.75,1210135.0,142.6215,27025
ROST,2024-07-31,143.38,144.375,142.65,143.23,1743804.0,143.4245,30799
ROST,2024-08-01,143.71,143.71,141.61,142.975,1862118.0,142.6347,36311
ROST,2024-08-02,143.59,144.25,137.66,140.24,2363529.0,139.8405,41927
ROST,2024-08-05,138.36,139.71,135.52,136.06,2565085.0,136.4419,43159
ROST,2024-08-06,135.84,138.33,135.53,136.98,1926482.0,137.2546,33122
ROST,2024-08-07,138.17,139.8215,136.16,136.33,1421410.0,137.4248,25989
ROST,2024-08-08,137.4,139.4,136.64,139.22,1892532.0,138.6249,31521
ROST,2024-08-09,139.13,139.84,138.23,139.64,1225694.0,139.4024,22957
ROST,2024-08-12,140.14,141.155,139.105,140.67,1708354.0,140.3677,28724
ROST,2024-08-13,141.05,141.92,140.32,141.65,1218262.0,141.386,27495
ROST,2024-08-14,140.94,142.29,140.2,141.34,1529726.0,141.3495,27238
ROST,2024-08-15,144.8,147.87,144.48,147.8,2443063.0,146.9979,48298
ROST,2024-08-16,147.19,147.89,146.15,147.4,3117174.0,147.2947,36842
ROST,2024-08-19,147.41,148.39,146.86,147.4,1363742.0,147.5154,27592
ROST,2024-08-20,147.7,148.25,147.16,147.7,1537566.0,147.5946,28927
ROST,2024-08-21,156.26,157.85,152.1,153.95,3173767.0,154.0068,49132
ROST,2024-08-22,153.8,154.11,152.24,152.52,3215565.0,153.8971,49650
ROST,2024-08-23,163.555,163.6,153.37,155.21,5124334.0,156.391,76551
ROST,2024-08-26,155.54,157.4,153.7,154.21,2393724.0,155.1871,35534
ROST,2024-08-27,153.59,154.42,153.1,153.33,2283058.0,153.5005,33216
ROST,2024-08-28,153.0,153.47,149.8,149.9,2829626.0,150.9607,41374
ROST,2024-08-29,151.45,153.19,149.66,151.8,1976469.0,151.9231,34823
ROST,2024-08-30,151.84,152.29,149.34,150.61,2287787.0,150.3745,36271
ROST,2024-09-03,150.06,151.79,150.06,151.68,2476819.0,151.4,33674
ROST,2024-09-04,151.41,151.97,150.08,151.76,3216929.0,151.3933,32525
