ticker,date,open,high,low,close,volume,vwap,transactions
SNPS,2024-06-17,591.0,614.95,587.57,612.72,1203367.0,606.916,37387
SNPS,2024-06-18,611.41,620.59,607.31,620.31,1040947.0,617.5782,33344
SNPS,2024-06-20,622.93,622.99,607.27,610.18,1156936.0,613.1598,36112
SNPS,2024-06-21,613.6,613.6,599.67,605.53,1670885.0,606.9152,32722
SNPS,2024-06-24,599.26,603.2,595.5,595.6,899171.0,597.4563,31148
SNPS,2024-06-25,597.69,600.51,593.67,600.14,764114.0,598.5215,23892
SNPS,2024-06-26,597.44,601.79,594.26,598.52,559104.0,598.0628,19877
SNPS,2024-06-27,600.31,606.41,593.89,595.0,594518.0,598.1345,24410
SNPS,2024-06-28,596.82,608.16,593.9,595.06,1019091.0,598.0399,26487
SNPS,2024-07-01,594.79,604.44,588.8257,601.75,613056.0,598.8626,23144
SNPS,2024-07-02,601.42,610.64,600.57,609.66,531534.0,607.0722,19608
SNPS,2024-07-03,609.0,612.9,606.0443,606.99,491508.0,608.3389,16593
SNPS,2024-07-05,611.9,622.79,609.05,621.3,946152.0,618.7019,27483
SNPS,2024-07-08,621.65,622.0,611.41,615.49,559598.0,615.8314,22334
SNPS,2024-07-09,616.4,616.555,603.335,607.94,466543.0,607.8535,20920
SNPS,2024-07-10,609.15,621.01,603.12,619.56,691395.0,617.0243,24241
SNPS,2024-07-11,620.0,624.8015,606.98,608.74,553939.0,612.4568,26214
SNPS,2024-07-12,606.85,620.325,604.62,614.05,505046.0,614.7213,18844
SNPS,2024-07-15,612.56,621.24,612.38,616.01,494209.0,616.1469,19982
SNPS,2024-07-16,619.39,620.43,609.1775,613.01,473516.0,613.0272,18813
SNPS,2024-07-17,604.35,604.825,569.3,570.38,1405168.0,578.1252,46187
SNPS,2024-07-18,576.3,576.3,546.86,560.38,1204134.0,558.0375,39764
SNPS,2024-07-19,565.71,568.445,558.06,563.12,981897.0,562.9776,30809
SNPS,2024-07-22,573.0,589.05,571.44,587.71,1080072.0,582.9691,35872
SNPS,2024-07-23,581.37,593.98,581.37,588.33,708883.0,588.6924,26100
SNPS,2024-07-24,576.02,583.1,551.12,553.33,1033312.0,561.6021,32213
SNPS,2024-07-25,556.45,557.88,537.09,538.72,1283595.0,544.3276,42548
SNPS,2024-07-26,548.36,555.415,543.37,546.38,677583.0,548.8591,24390
SNPS,2024-07-29,550.25,555.13,544.14,547.52,490679.0,549.3749,20698
SNPS,2024-07-30,551.56,552.0838,522.19,525.89,1253198.0,530.4615,35410
SNPS,2024-07-31,552.99,560.82,548.15,558.32,1133553.0,555.3086,33743
SNPS,2024-08-01,556.04,569.0,534.0185,540.67,1370837.0,546.009,34339
SNPS,2024-08-02,504.0,515.4,483.7,505.78,2843665.0,496.6299,77307
SNPS,2024-08-05,475.0,495.0,474.5724,487.84,2050445.0,484.4758,59420
SNPS,2024-08-06,500.0,510.554,487.8676,499.39,1488842.0,501.0182,37755
SNPS,2024-08-07,513.2,520.98,488.45,489.97,1901696.0,499.8131,43503
SNPS,2024-08-08,504.4,518.13,493.71,515.03,1110493.0,510.8425,33099
SNPS,2024-08-09,512.28,526.32,512.28,524.73,852935.0,522.0901,30638
SNPS,2024-08-12,523.04,528.44,517.95,520.84,623418.0,521.956,21988
SNPS,2024-08-13,530.0,534.375,526.14,528.64,780573.0,528.8062,21597
SNPS,2024-08-14,530.41,534.0,524.21,530.8,613414.0,530.0265,20375
SNPS,2024-08-15,541.68,549.29,538.5,548.28,622164.0,546.982,21627
SNPS,2024-08-16,548.0,554.075,543.38,549.0,580190.0,549.2186,21706
SNPS,2024-08-19,549.0,558.78,544.82,558.22,741283.0,553.4381,25413
SNPS,2024-08-20,558.74,565.87,553.5,557.03,703885.0,558.116,24271
SNPS,2024-08-21,559.57,568.44,556.68,564.68,867778.0,564.0535,33690
SNPS,2024-08-22,577.26,585.665,546.92,548.06,1312215.0,557.0017,43782
SNPS,2024-08-23,558.88,558.88,538.12,539.39,1053743.0,544.4029,34069
SNPS,2024-08-26,533.52,537.34,523.45,525.91,971342.0,527.3439,30642
SNPS,2024-08-27,521.93,529.545,518.07,521.78,1462214.0,521.9279,37031
SNPS,2024-08-28,522.91,523.8,506.33,509.98,1082766.0,511.581,30444
SNPS,2024-08-29,514.92,526.43,513.43,517.02,932428.0,518.7422,27042
SNPS,2024-08-30,525.53,529.0,514.44,519.58,1233560.0,518.9998,29472
SNPS,2024-09-03,514.15,514.4,479.09,481.22,2561965.0,488.5015,71736
SNPS,2024-09-04,476.91,483.4,472.6,477.53,1897822.0,479.3817,48943
SNPS,2024-09-05,475.06,484.08,469.58,476.03,1234293.0,476.6656,34275
SNPS,2024-09-06,477.92,482.0,462.42,463.97,1137870.0,465.4572,36703
SNPS,2024-09-09,466.53,467.16,457.515,464.16,1954912.0,463.0248,47289
SNPS,2024-09-10,463.36,467.87,458.785,465.5,985200.0,464.4554,28450
SNPS,2024-09-11,466.49,482.535,460.13,481.5,1617105.0,475.0533,36068
SNPS,2024-09-12,480.14,494.63,476.93,488.95,1239746.0,488.7103,40191
SNPS,2024-09-13,488.95,494.77,485.0,490.07,955289.0,490.257,26338
SNPS,2024-09-16,491.96,501.32,491.16,498.57,1189284.0,497.4109,33341
SNPS,2024-09-17,505.86,507.6,496.27,502.25,1424605.0,502.2062,27555
SNPS,2024-09-18,506.49,506.85,493.0901,495.95,1075091.0,498.3722,30295
SNPS,2024-09-19,517.18,521.43,510.69,514.12,1269506.0,515.4374,39229
SNPS,2024-09-20,510.7,513.1325,502.5,506.65,1582666.0,507.0794,29067
SNPS,2024-09-23,507.41,509.92,505.285,505.79,732051.0,506.9403,27095
SNPS,2024-09-24,507.69,510.96,497.16,506.83,1017170.0,504.7881,29176
SNPS,2024-09-25,506.02,511.79,503.82,510.36,838440.0,509.1113,22672
SNPS,2024-09-26,523.98,525.49,509.2001,515.4,891195.0,514.5059,27925
SNPS,2024-09-27,519.14,519.14,509.075,513.31,528289.0,513.4449,20652
SNPS,2024-09-30,511.48,511.48,502.1,506.39,835061.0,506.5757,23657
SNPS,2024-10-01,507.54,508.355,490.555,495.56,1117098.0,495.6583,33012
SNPS,2024-10-02,493.91,506.265,493.28,496.82,644973.0,499.7522,22075
