ticker,date,open,high,low,close,volume,vwap,transactions
TRI,2024-06-17,169.4259,170.3197,168.7652,169.8322,489840.324038,169.7436,7568
TRI,2024-06-18,169.6189,170.3096,168.3493,169.2431,419217.826052,169.2609,6098
TRI,2024-06-20,169.1415,170.2486,169.04,169.5173,419998.582233,169.5062,8930
TRI,2024-06-21,169.365,170.1064,167.2524,167.811,727732.695863,167.9845,9103
TRI,2024-06-24,168.6032,169.3091,167.7297,167.9735,670405.697846,168.4634,11818
TRI,2024-06-25,169.1111,170.858,167.1102,170.7869,694495.91506,169.3429,12281
TRI,2024-06-26,170.3197,171.4877,169.5072,170.8987,633999.617991,171.0013,10016
TRI,2024-06-27,171.376,173.5293,171.376,173.1636,425869.514277,173.0654,9096
TRI,2024-06-28,172.6558,173.3566,171.0002,171.2135,325536.929866,172.1526,8094
TRI,2024-07-01,170.858,171.0002,169.2939,170.7057,211444.133105,170.2868,6493
TRI,2024-07-02,169.9947,172.2241,169.9947,170.9901,416445.304731,171.0091,7876
TRI,2024-07-03,171.0408,172.9605,171.0408,171.0408,364885.859944,171.7948,7770
TRI,2024-07-05,172.3612,172.4628,170.1978,171.8737,434855.594566,171.1401,9051
TRI,2024-07-08,172.2394,172.4933,169.4259,170.5025,365075.880049,170.344,8247
TRI,2024-07-09,170.6447,171.437,169.5072,169.6392,600148.471667,170.0618,8360
TRI,2024-07-10,169.69,170.6346,169.558,170.3197,420688.758883,170.2262,9073
TRI,2024-07-11,170.6346,172.2394,167.2879,167.75,791226.978523,168.57,12770
TRI,2024-07-12,168.6946,168.8165,167.6383,167.6485,428947.249237,168.0675,9983
TRI,2024-07-15,168.1157,168.8368,166.0335,166.5922,330676.333734,166.8239,8250
TRI,2024-07-16,167.1711,167.9125,166.3687,167.5875,606241.9143,167.0142,10642
TRI,2024-07-17,166.257,166.8156,165.4343,166.582,1048493.524548,166.2849,14354
TRI,2024-07-18,166.6226,166.7851,164.0225,165.6577,655395.094134,165.4117,10403
TRI,2024-07-19,165.871,166.4906,164.6928,165.2108,366115.575544,165.3813,7014
TRI,2024-07-22,166.1554,168.4153,165.2921,168.2579,363091.006831,167.6026,7920
TRI,2024-07-23,168.4001,169.1517,167.5774,167.5875,353469.885259,168.2773,8049
TRI,2024-07-24,167.1406,167.3031,165.0788,166.064,669611.157823,165.9633,9867
TRI,2024-07-25,165.8609,167.1813,164.835,164.8858,607897.944435,165.9739,10280
TRI,2024-07-26,165.8812,166.0742,163.6365,164.2358,749063.191038,164.3223,14121
TRI,2024-07-29,164.4897,164.9366,163.3064,164.6319,733237.37154,164.1427,12836
TRI,2024-07-30,165.8202,165.8812,162.5904,163.149,693618.671986,163.6129,13478
TRI,2024-07-31,164.1139,165.2616,162.7529,164.4592,602282.013465,164.4834,10719
TRI,2024-08-01,159.2793,163.3369,157.9589,161.3614,1132061.019098,160.8185,18377
TRI,2024-08-02,161.1786,161.2497,157.517,159.8988,511010.335912,159.1608,11447
TRI,2024-08-05,154.9017,158.4565,152.3596,157.1971,369791.923063,157.1257,9075
TRI,2024-08-06,158.2026,161.7677,157.6135,160.9348,485630.344931,160.7626,11458
TRI,2024-08-07,162.499,162.763,160.1731,160.2746,322107.70694,160.86,7802
TRI,2024-08-08,161.1989,163.5096,160.4981,162.8748,533006.393733,162.753,6479
TRI,2024-08-09,163.1185,164.0606,162.2349,163.9819,227684.452417,163.4982,5648
TRI,2024-08-12,163.6467,164.4389,162.9255,163.1693,585057.134024,163.3287,4886
TRI,2024-08-13,164.8249,165.546,163.2049,165.2007,246094.742252,164.7964,5815
TRI,2024-08-14,164.9061,168.6743,164.9061,168.3594,317845.546145,167.4779,7639
TRI,2024-08-15,168.2782,168.8876,166.4804,166.7344,894231.659122,166.9846,8033
TRI,2024-08-16,167.2727,167.6688,166.1158,166.1453,191735.208461,166.6802,6111
TRI,2024-08-19,166.9578,167.4352,166.257,166.3687,269451.46217,166.6583,6031
TRI,2024-08-20,166.1859,166.7851,165.6171,166.2773,246773.10418,166.1105,5169
TRI,2024-08-21,166.7344,168.5931,166.3382,168.461,210807.122702,167.8262,4830
TRI,2024-08-22,168.461,169.2634,167.6586,168.3594,290454.098822,168.4242,4431
TRI,2024-08-23,168.1462,169.8728,167.684,168.847,226835.761587,168.7228,4670
TRI,2024-08-26,168.786,170.1572,168.786,169.8017,295875.086887,169.7779,5078
TRI,2024-08-27,170.8885,174.2199,170.8885,173.6004,446887.903891,173.5132,6504
TRI,2024-08-28,173.4785,174.2098,171.8432,172.991,416249.377266,173.0957,5998
TRI,2024-08-29,173.6512,174.159,172.2292,172.2292,264209.664048,173.0608,6282
TRI,2024-08-30,172.2292,174.3824,171.6503,173.8644,241178.833533,173.1656,6628
TRI,2024-09-03,172.8284,173.5293,170.5533,170.7869,193693.498556,171.3537,5656
TRI,2024-09-04,169.8423,172.28,169.8423,172.1378,189156.645485,171.6603,4505
