ticker,date,open,high,low,close,volume,vwap,transactions
TSLA,2024-06-17,177.92,188.81,177.0,187.44,109786083.0,185.196,1250018
TSLA,2024-06-18,186.56,187.2,182.37,184.86,68982265.0,184.3727,839261
TSLA,2024-06-20,184.68,185.21,179.66,181.57,55893139.0,182.0025,781089
TSLA,2024-06-21,182.3,183.95,180.69,183.01,63029482.0,182.3603,653882
TSLA,2024-06-24,184.97,188.8,182.55,182.58,61992070.0,184.9784,835021
TSLA,2024-06-25,184.4,187.97,182.01,187.35,63678265.0,185.9078,757448
TSLA,2024-06-26,186.54,197.755,186.36,196.37,95737066.0,193.9659,1157377
TSLA,2024-06-27,195.17,198.72,194.05,197.42,72746521.0,196.2308,879683
TSLA,2024-06-28,199.55,203.2,195.26,197.88,95438068.0,199.3173,1064913
TSLA,2024-07-01,201.02,213.23,200.85,209.86,135691395.0,209.0916,1561630
TSLA,2024-07-02,218.89,231.3,218.06,231.26,205047920.0,226.617,2267405
TSLA,2024-07-03,234.56,248.35,234.25,246.39,166561471.0,242.2613,1985685
TSLA,2024-07-05,249.81,252.37,242.4601,251.52,154501152.0,248.1651,1719319
TSLA,2024-07-08,247.71,259.439,244.57,252.94,157219580.0,252.6184,1689276
TSLA,2024-07-09,251.0,265.61,250.3,262.33,160742516.0,260.2048,1651527
TSLA,2024-07-10,262.8,267.59,257.86,263.26,128519430.0,263.4158,1420791
TSLA,2024-07-11,263.3,271.0,239.65,241.03,221707273.0,252.7686,2469329
TSLA,2024-07-12,235.8,251.84,233.0912,248.23,155955773.0,246.7136,1717924
TSLA,2024-07-15,255.97,265.6,251.73,252.64,146912920.0,259.2278,1684907
TSLA,2024-07-16,255.31,258.62,245.8001,256.56,126332470.0,253.0523,1351343
TSLA,2024-07-17,252.73,258.47,246.182,248.5,115584810.0,250.7349,1328854
TSLA,2024-07-18,251.09,257.14,247.2,249.23,110869037.0,252.2171,1262136
TSLA,2024-07-19,247.79,249.44,236.83,239.2,87403903.0,241.633,1169238
