ticker,date,open,high,low,close,volume,vwap,transactions
WMT,2024-06-17,66.92,67.44,66.4125,67.42,12103044.0,67.1733,115474
WMT,2024-06-18,67.63,67.87,67.295,67.6,12093549.0,67.6072,104011
WMT,2024-06-20,67.35,68.13,67.3,68.01,13860763.0,67.85,133197
WMT,2024-06-21,68.26,68.55,67.83,67.91,25891526.0,68.0828,130119
WMT,2024-06-24,68.05,69.04,67.9,68.9,12470448.0,68.8066,116080
WMT,2024-06-25,67.17,67.59,66.55,67.42,20904039.0,67.2318,170386
WMT,2024-06-26,67.4,68.5999,67.21,68.29,14177522.0,68.2528,116982
WMT,2024-06-27,68.29,68.58,67.665,67.88,12899186.0,67.9909,98113
WMT,2024-06-28,67.87,68.0981,67.32,67.71,18816720.0,67.6613,111015
WMT,2024-07-01,67.89,68.24,67.25,67.48,8666021.0,67.5667,94450
WMT,2024-07-02,67.44,68.085,67.26,68.07,9436487.0,67.8069,88328
WMT,2024-07-03,67.81,68.25,67.62,68.24,6287545.0,68.0308,64594
WMT,2024-07-05,68.16,70.15,68.1,70.04,21586100.0,69.6787,139192
WMT,2024-07-08,69.9,70.14,69.35,69.68,12077679.0,69.6081,115628
WMT,2024-07-09,69.9,70.25,69.67,69.9,9781831.0,69.9748,93736
WMT,2024-07-10,70.1,70.44,69.72,70.41,10803405.0,70.1494,104175
WMT,2024-07-11,70.18,70.45,69.26,69.8,15624796.0,69.6372,135640
WMT,2024-07-12,69.9,70.0299,69.17,69.24,12145317.0,69.5337,112294
WMT,2024-07-15,69.3,69.975,69.3,69.61,10171137.0,69.6984,115696
WMT,2024-07-16,69.82,70.24,69.58,69.99,9836824.0,70.0018,105895
WMT,2024-07-17,70.18,71.1,69.95,71.03,13533791.0,70.7382,151151
WMT,2024-07-18,70.68,71.19,70.43,70.82,10682742.0,70.8118,112843
WMT,2024-07-19,71.2,71.33,70.65,70.75,11665526.0,70.9023,121793
WMT,2024-07-22,70.86,71.26,70.2301,70.38,12666130.0,70.4775,97266
WMT,2024-07-23,70.47,70.7,70.11,70.65,9263561.0,70.5148,105103
WMT,2024-07-24,70.52,70.84,70.34,70.6,22490783.0,70.6168,133439
WMT,2024-07-25,70.6,70.77,69.95,70.02,18821199.0,70.2586,135681
WMT,2024-07-26,70.23,70.235,68.83,69.78,16789306.0,69.6436,134948
WMT,2024-07-29,69.85,69.9,69.13,69.62,10315305.0,69.5044,99126
WMT,2024-07-30,69.55,69.845,68.98,69.19,12522469.0,69.319,107036
WMT,2024-07-31,69.18,69.25,68.29,68.64,22908760.0,68.7327,169084
WMT,2024-08-01,68.91,69.8,68.52,69.79,17275532.0,69.3948,160076
WMT,2024-08-02,69.6,70.235,67.74,68.46,23578664.0,68.5511,183257
WMT,2024-08-05,68.1,68.58,66.91,67.59,20770455.0,67.4675,195558
WMT,2024-08-06,67.84,68.63,67.68,67.74,14815072.0,68.0936,124034
WMT,2024-08-07,67.87,68.01,66.81,66.91,18499200.0,67.2675,144002
WMT,2024-08-08,66.84,67.9199,66.67,67.66,12489819.0,67.5612,113376
