ticker,date,open,high,low,close,volume,vwap,transactions
XOM,2024-06-17,109.17,109.46,108.18,108.36,21147943.0,108.7425,176388
XOM,2024-06-18,109.03,110.72,108.8,109.38,17762915.0,109.5442,153006
XOM,2024-06-20,109.91,112.62,109.59,111.74,17433192.0,111.6204,171418
XOM,2024-06-21,111.9,112.695,110.76,110.76,52220574.0,111.0743,151485
XOM,2024-06-24,111.64,114.525,111.64,114.05,16266688.0,113.6656,135518
XOM,2024-06-25,114.11,114.55,113.455,114.37,16213682.0,114.1796,118986
XOM,2024-06-26,114.39,114.815,113.14,114.41,15771751.0,114.2199,130498
XOM,2024-06-27,114.99,114.99,114.11,114.9,16812731.0,114.6115,110097
XOM,2024-06-28,115.86,116.54,114.675,115.12,24565910.0,115.237,158192
XOM,2024-07-01,115.71,116.74,114.53,114.96,11972881.0,115.2692,125632
XOM,2024-07-02,115.9,115.94,113.49,114.18,13326703.0,114.3498,131764
XOM,2024-07-03,114.27,115.66,114.27,114.76,7732928.0,114.948,77800
XOM,2024-07-05,114.61,114.63,112.685,113.37,12630986.0,113.3606,121892
XOM,2024-07-08,112.39,113.55,111.42,112.18,13350549.0,112.2383,140536
XOM,2024-07-09,111.11,112.54,110.62,110.94,11729085.0,111.3985,120494
XOM,2024-07-10,110.92,111.96,110.42,111.92,10004094.0,111.4678,104495
XOM,2024-07-11,111.43,113.315,110.93,113.25,13084875.0,112.727,133526
XOM,2024-07-12,113.99,114.15,112.63,113.27,11684946.0,113.2435,114616
XOM,2024-07-15,114.27,116.16,113.575,115.21,13032503.0,115.2028,156985
XOM,2024-07-16,114.35,116.35,113.71,116.04,13614050.0,115.6314,136240
XOM,2024-07-17,116.74,118.175,116.55,117.64,13602766.0,117.5269,168523
XOM,2024-07-18,117.95,119.92,117.435,118.8,13033563.0,118.9847,146731
XOM,2024-07-19,118.59,118.8793,115.87,116.07,16157707.0,116.9429,171865
XOM,2024-07-22,115.18,115.94,114.58,115.27,12065877.0,115.3429,114513
XOM,2024-07-23,114.81,115.17,113.17,113.41,11251733.0,113.779,134121
XOM,2024-07-24,113.765,115.2,113.065,115.01,14925184.0,114.7176,135485
XOM,2024-07-25,115.17,118.03,114.56,117.43,17021698.0,116.8872,135879
XOM,2024-07-26,116.77,118.03,116.47,117.33,11252479.0,117.3864,108030
XOM,2024-07-29,117.32,117.39,115.38,116.1,8861806.0,116.1555,96522
XOM,2024-07-30,116.36,118.595,116.23,118.17,12483857.0,117.8596,128233
XOM,2024-07-31,119.64,119.76,118.56,118.59,15137710.0,119.0406,128348
XOM,2024-08-01,118.35,119.49,116.36,116.95,15051482.0,117.2639,157102
XOM,2024-08-02,115.97,118.87,115.42,116.88,20403773.0,116.8219,205620
XOM,2024-08-05,115.54,116.03,113.25,114.77,18025858.0,114.7516,190977
XOM,2024-08-06,114.45,115.63,113.63,114.16,13647778.0,114.6481,146640
XOM,2024-08-07,115.45,117.119,115.26,115.68,13660657.0,116.0817,128690
XOM,2024-08-08,116.08,118.105,115.73,117.89,13850993.0,117.5214,116107
XOM,2024-08-09,117.885,119.31,117.36,118.85,12151867.0,118.542,106439
XOM,2024-08-12,119.55,120.1699,118.02,119.0,13228911.0,118.8661,131358
XOM,2024-08-13,118.275,118.51,117.5,117.86,11585067.0,117.9426,117530
XOM,2024-08-14,118.1,119.9,117.63,118.95,12194520.0,118.8812,109008
XOM,2024-08-15,118.25,119.63,118.12,118.73,11579432.0,118.859,111685
XOM,2024-08-16,117.99,118.48,117.66,118.17,10056024.0,118.0993,89864
XOM,2024-08-19,118.4,120.5,118.17,118.53,12417467.0,119.2072,115102
XOM,2024-08-20,118.65,118.65,114.51,114.58,15631967.0,115.4321,153200
