ticker,date,open,high,low,close,volume,vwap,transactions,turnover
HSTECH,2026-03-09,4760.16,4947.49,4760.16,4941.72998,1878874073,,,74213814521
HSTECH,2026-03-10,5040.8,5060.53,4960.79,5060.52979,1555239866,,,77433794445
HSTECH,2026-03-11,5104.58,5124.55,5035.9,5054.8501,1125039532,,,65540663493
HSTECH,2026-03-12,5024.53,5088.59,4973.32,5027.64014,1497263316,,,46553641057
HSTECH,2026-03-13,5006.29,5046.29,4963.02,4978.08008,2152400564,,,43982217361
HSTECH,2026-03-16,4988.47,5127.25,4935.85,5111.77979,1821880816,,,59203280837
HSTECH,2026-03-17,5137.33,5232.33,5094.32,5107.64014,1491913096,,,59397989404
HSTECH,2026-03-18,5112.97,5136.02,5053.74,5108.29981,1317586347,,,56697428065
HSTECH,2026-03-19,5000.99,5069.24,4981.92,4996.27979,1570337425,,,88265899369
HSTECH,2026-03-20,4948.04,4997.7,4835.87,4872.37988,1937592465,,,86915949276
HSTECH,2026-03-23,4780.04,4806.61,4657.55,4712.47998,2156292674,,,82887354903
HSTECH,2026-03-24,4773.58,4840.61,4693.49,4830.89014,1432262486,,,60000377336
HSTECH,2026-03-25,4878.64,4955.47,4806.72,4922.93994,2532070119,,,95584643243
HSTECH,2026-03-26,4889.55,4902.42,4745.55,4761.54004,1672938527,,,68379997392
HSTECH,2026-03-27,4740.78,4836.78,4722.5,4778.00977,1261861465,,,53142656600
HSTECH,2026-03-30,4645.26,4727.42,4619.67,4690.08008,1561604800,,,61094921799
HSTECH,2026-03-31,4693.61,4742.04,4623.65,4649.81982,1322164004,,,52205758956
HSTECH,2026-04-01,4777.67,4792.65,4708.89,4756.4502,1587361566,,,51116223339
HSTECH,2026-04-02,4732.95,4742.78,4629.15,4679.1001,1674099791,,,52899535356
HSTECH,2026-04-08,4817.01,4930.67,4809.8,4923.25,2477888482,,,96068510823
HSTECH,2026-04-09,4868.39,4889.89,4809.96,4821.66992,1355007460,,,52618598176
HSTECH,2026-04-10,4844.15,4935.97,4844.14,4860.25977,1379650087,,,55192503783
HSTECH,2026-04-13,4826.86,4843.99,4791.86,4822.00977,1046182006,,,43252800463
HSTECH,2026-04-14,4888.22,4900.49,4801.9,4851.95996,1114889722,,,40457405972
HSTECH,2026-04-15,4961.5,4973.43,4905.58,4911.79004,1172114771,,,49153844442
HSTECH,2026-04-16,4976.17,5095.76,4976.17,5092.08008,1374077555,,,66005946886
HSTECH,2026-04-17,5055.58,5072.38,5000.84,5042.68018,1356338993,,,45328665676
HSTECH,2026-04-20,5059.58,5103.03,5020.2,5065.62988,1326844036,,,52707205537
HSTECH,2026-04-21,5092.53,5092.53,5017.39,5061.5,947680549,,,33431105440
HSTECH,2026-04-22,5009.76,5009.76,4940.09,4963.93994,1025621743,,,47650884440
HSTECH,2026-04-23,4962.08,4962.08,4846.09,4865.52002,1095500445,,,49837762113
HSTECH,2026-04-24,4826.62,4911.68,4775.59,4902.2002,1418068989,,,61939137604
HSTECH,2026-04-27,4929.58,4975.23,4900.52,4939.83984,1165377200,,,69893512340
HSTECH,2026-04-28,4923.78,4934.76,4813.56,4827.18994,1345350292,,,58607410510
HSTECH,2026-04-29,4878.97,4918.7,4851.53,4910.02002,1335938833,,,55163953450
HSTECH,2026-04-30,4876.72,4897.39,4823.75,4871.31982,2066971666,,,77837351405
HSTECH,2026-05-04,4948.43,5053.48,4948.43,4976.7002,891659835,,,45770829862
HSTECH,2026-05-05,4949.12,4949.12,4859.44,4929.68018,612714477,,,26307572464
HSTECH,2026-05-06,4971.69,5026.76,4924.43,4969.2002,1677061996,,,89818529191
HSTECH,2026-05-07,5089.11,5137.85,5070.3,5121.1001,1972510485,,,87561934641
HSTECH,2026-05-08,5079.77,5122.91,5047.17,5102.79004,1324397412,,,66705369448
HSTECH,2026-05-11,5078.36,5119.33,5055.72,5106.3999,2812730616,,,72080880288
HSTECH,2026-05-12,5129.54,5141.49,5059.58,5070.60986,1265664507,,,63019317466
HSTECH,2026-05-13,5055.41,5122.26,5017.71,5093.8501,1323015782,,,65842200035
HSTECH,2026-05-14,5258.56,5258.56,5074.02,5076.2002,2151921033,,,90184986607
HSTECH,2026-05-15,5069.46,5069.46,4910.76,4941.14014,2031431951,,,74128005113
HSTECH,2026-05-18,4897.71,4897.71,4804.87,4844.93994,1531273438,,,67268316743
HSTECH,2026-05-19,4838.36,4880.53,4812.67,4857.45996,1270897873,,,61698848404
HSTECH,2026-05-20,4840.61,4892.19,4819.85,4873.81982,1440705677,,,68310323611
HSTECH,2026-05-21,4924.69,4936.31,4756.15,4768.8999,2129365526,,,86779019720
HSTECH,2026-05-22,4843.95,4882.23,4797.92,4869.56982,1973698491,,,77595697284
HSTECH,2026-05-26,4962.22,4986.84,4874.2,4946.87988,2906837035,,,114927455197
HSTECH,2026-05-27,4979.63,5009.0,4888.21,4907.56982,2137706052,,,84889740614
HSTECH,2026-05-28,4895.28,4910.26,4814.98,4888.58008,2559530436,,,106549763602
HSTECH,2026-05-29,4939.91,4980.78,4867.56,4884.22998,3525252953,,,133086622365
HSTECH,2026-06-01,4894.94,5015.94,4894.94,4964.91992,2389687427,,,85812833664
HSTECH,2026-06-02,4995.83,5203.11,4995.83,5199.27979,2345017594,,,134825714461
HSTECH,2026-06-03,5162.81,5162.81,5042.33,5056.97022,1989875920,,,90899167291
HSTECH,2026-06-04,4994.94,5014.48,4962.91,4975.35986,1756262425,,,60688818810
HSTECH,2026-06-05,4959.93,4969.03,4872.39,4888.39014,2093237509,,,83864228109
HSTECH,2026-06-08,4769.69,4821.14,4709.44,4755.91016,2200651820,,,82124102025
HSTECH,2026-06-09,4743.52,4828.79,4738.26,4769.60986,1497241342,,,66781584094
HSTECH,2026-06-10,4751.5,4773.36,4660.87,4724.79004,2175143231,,,78684989145
HSTECH,2026-06-11,4715.42,4734.19,4590.9,4655.74023,1919568648,,,69447302309
HSTECH,2026-06-12,4713.29,4750.6,4677.13,4705.2002,2171619834,,,65436688760
HSTECH,2026-06-15,4788.83,4794.67,4737.97,4765.58008,1373505080,,,63480357994
HSTECH,2026-06-16,4765.49,4765.49,4639.81,4658.6499,1226202926,,,55634864531
HSTECH,2026-06-17,4636.78,4681.19,4617.49,4669.06982,1534009041,,,58327254831
HSTECH,2026-06-18,4628.07,4639.36,4567.28,4604.3501,2378182754,,,99416651845
HSTECH,2026-06-22,4595.07,4595.07,4513.97,4549.41016,1846763081,,,89825552972
HSTECH,2026-06-23,4551.45,4559.59,4380.76,4399.22022,1707954215,,,82538156496
HSTECH,2026-06-24,4420.41,4543.67,4411.91,4479.02002,2027109768,,,91966165840
HSTECH,2026-06-25,4497.27,4497.27,4353.16,4405.91992,1730062538,,,80254125765
HSTECH,2026-06-26,4371.54,4371.54,4229.94,4255.58984,2663455249,,,84678475505
HSTECH,2026-06-29,4323.56,4431.39,4320.85,4393.00977,3221997661,,,83501031533
HSTECH,2026-06-30,4416.68,4495.05,4401.68,4472.22998,2716990486,,,75765756279
HSTECH,2026-07-02,4528.24,4583.1,4434.25,4454.27979,2127293553,,,88269125569
HSTECH,2026-07-03,4487.98,4558.09,4480.58,4499.0,1990741489,,,73020464953
